ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DOMPO-1-1,DOMPO,Dompo,1,I,mi,,
DOMPO-2-1,DOMPO,Dompo,2,you,wo,,
DOMPO-3-1,DOMPO,Dompo,3,we,aniya,,
DOMPO-11-1,DOMPO,Dompo,11,one,ko,,
DOMPO-12-1,DOMPO,Dompo,12,two,ny~o,,
DOMPO-18-1,DOMPO,Dompo,18,person,Sy~a,,
DOMPO-19-1,DOMPO,Dompo,19,fish,kabE,,
DOMPO-21-1,DOMPO,Dompo,21,dog,kant~iti,,
DOMPO-22-1,DOMPO,Dompo,22,louse,Ns~o7,,
DOMPO-23-1,DOMPO,Dompo,23,tree,yi,,
DOMPO-25-1,DOMPO,Dompo,25,leaf,mf~ana,,
DOMPO-28-1,DOMPO,Dompo,28,skin,bla,,
DOMPO-30-1,DOMPO,Dompo,30,blood,nk~la,,
DOMPO-31-1,DOMPO,Dompo,31,bone,wu,,
DOMPO-34-1,DOMPO,Dompo,34,horn,mf~a,,
DOMPO-39-1,DOMPO,Dompo,39,ear,sepe,,
DOMPO-40-1,DOMPO,Dompo,40,eye,ny~isi,,
DOMPO-41-1,DOMPO,Dompo,41,nose,kaNg~ono,,
DOMPO-43-1,DOMPO,Dompo,43,tooth,ny~i,,
DOMPO-44-1,DOMPO,Dompo,44,tongue,dand~ulo,,
DOMPO-47-1,DOMPO,Dompo,47,knee,Ngw$ali,,
DOMPO-48-1,DOMPO,Dompo,48,hand,hale,,
DOMPO-51-1,DOMPO,Dompo,51,breast,ny~upo,,
DOMPO-53-1,DOMPO,Dompo,53,liver,buruTE7,,
DOMPO-54-1,DOMPO,Dompo,54,drink,nu,,
DOMPO-57-1,DOMPO,Dompo,57,see,wu,,
DOMPO-58-1,DOMPO,Dompo,58,hear,nu,,
DOMPO-61-1,DOMPO,Dompo,61,die,wu,,
DOMPO-66-1,DOMPO,Dompo,66,come,ba,,
DOMPO-72-1,DOMPO,Dompo,72,sun,pa,,
DOMPO-74-1,DOMPO,Dompo,74,star,mpw$ETE abi,,
DOMPO-75-1,DOMPO,Dompo,75,water,ns~u,,
DOMPO-77-1,DOMPO,Dompo,77,stone,bw~i,,
DOMPO-82-1,DOMPO,Dompo,82,fire,de,,
DOMPO-86-1,DOMPO,Dompo,86,mountain,bi,,
DOMPO-92-1,DOMPO,Dompo,92,night,kany~a,,
DOMPO-100-1,DOMPO,Dompo,100,name,ny~inE,,
