ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DONGSHAN_CHINESE-1-1,DONGSHAN_CHINESE,Dongshan Chinese,1,I,gua,,
DONGSHAN_CHINESE-2-1,DONGSHAN_CHINESE,Dongshan Chinese,2,you,li,,
DONGSHAN_CHINESE-3-1,DONGSHAN_CHINESE,Dongshan Chinese,3,we,guan,,
DONGSHAN_CHINESE-11-1,DONGSHAN_CHINESE,Dongshan Chinese,11,one,cit,,
DONGSHAN_CHINESE-11-2,DONGSHAN_CHINESE,Dongshan Chinese,11,one,it,,
DONGSHAN_CHINESE-12-1,DONGSHAN_CHINESE,Dongshan Chinese,12,two,no,,
DONGSHAN_CHINESE-12-2,DONGSHAN_CHINESE,Dongshan Chinese,12,two,ci,,
DONGSHAN_CHINESE-18-1,DONGSHAN_CHINESE,Dongshan Chinese,18,person,laN,,
DONGSHAN_CHINESE-19-1,DONGSHAN_CHINESE,Dongshan Chinese,19,fish,hi,,
DONGSHAN_CHINESE-21-1,DONGSHAN_CHINESE,Dongshan Chinese,21,dog,kau,,
DONGSHAN_CHINESE-22-1,DONGSHAN_CHINESE,Dongshan Chinese,22,louse,satb3,,
DONGSHAN_CHINESE-23-1,DONGSHAN_CHINESE,Dongshan Chinese,23,tree,ch~iu,,
DONGSHAN_CHINESE-23-2,DONGSHAN_CHINESE,Dongshan Chinese,23,tree,ch~iua,,
DONGSHAN_CHINESE-25-1,DONGSHAN_CHINESE,Dongshan Chinese,25,leaf,hio7,,
DONGSHAN_CHINESE-25-2,DONGSHAN_CHINESE,Dongshan Chinese,25,leaf,ch~iuhio7,,
DONGSHAN_CHINESE-28-1,DONGSHAN_CHINESE,Dongshan Chinese,28,skin,ph~ue,,
DONGSHAN_CHINESE-30-1,DONGSHAN_CHINESE,Dongshan Chinese,30,blood,hue7,,
DONGSHAN_CHINESE-31-1,DONGSHAN_CHINESE,Dongshan Chinese,31,bone,kut,,
DONGSHAN_CHINESE-34-1,DONGSHAN_CHINESE,Dongshan Chinese,34,horn,kak,,
DONGSHAN_CHINESE-39-1,DONGSHAN_CHINESE,Dongshan Chinese,39,ear,hia,,
DONGSHAN_CHINESE-40-1,DONGSHAN_CHINESE,Dongshan Chinese,40,eye,bakciu,,
DONGSHAN_CHINESE-41-1,DONGSHAN_CHINESE,Dongshan Chinese,41,nose,ph~i*,,
DONGSHAN_CHINESE-43-1,DONGSHAN_CHINESE,Dongshan Chinese,43,tooth,ch~uikh~i,,
DONGSHAN_CHINESE-43-2,DONGSHAN_CHINESE,Dongshan Chinese,43,tooth,ge,,
DONGSHAN_CHINESE-44-1,DONGSHAN_CHINESE,Dongshan Chinese,44,tongue,ci7,,
DONGSHAN_CHINESE-47-1,DONGSHAN_CHINESE,Dongshan Chinese,47,knee,kh~ath~auu,,
DONGSHAN_CHINESE-48-1,DONGSHAN_CHINESE,Dongshan Chinese,48,hand,ch~iu,,
DONGSHAN_CHINESE-51-1,DONGSHAN_CHINESE,Dongshan Chinese,51,breast,leN,,
DONGSHAN_CHINESE-53-1,DONGSHAN_CHINESE,Dongshan Chinese,53,liver,kua*,,
DONGSHAN_CHINESE-54-1,DONGSHAN_CHINESE,Dongshan Chinese,54,drink,cia7,,
DONGSHAN_CHINESE-57-1,DONGSHAN_CHINESE,Dongshan Chinese,57,see,kh~ua*,,
DONGSHAN_CHINESE-58-1,DONGSHAN_CHINESE,Dongshan Chinese,58,hear,th~ia*,,
DONGSHAN_CHINESE-61-1,DONGSHAN_CHINESE,Dongshan Chinese,61,die,si,,
DONGSHAN_CHINESE-66-1,DONGSHAN_CHINESE,Dongshan Chinese,66,come,lai,,
DONGSHAN_CHINESE-72-1,DONGSHAN_CHINESE,Dongshan Chinese,72,sun,citth~au,,
DONGSHAN_CHINESE-74-1,DONGSHAN_CHINESE,Dongshan Chinese,74,star,ch~e*,,
DONGSHAN_CHINESE-75-1,DONGSHAN_CHINESE,Dongshan Chinese,75,water,cui,,
DONGSHAN_CHINESE-77-1,DONGSHAN_CHINESE,Dongshan Chinese,77,stone,cio7,,
DONGSHAN_CHINESE-77-2,DONGSHAN_CHINESE,Dongshan Chinese,77,stone,cioth~au,,
DONGSHAN_CHINESE-82-1,DONGSHAN_CHINESE,Dongshan Chinese,82,fire,hue,,
DONGSHAN_CHINESE-85-1,DONGSHAN_CHINESE,Dongshan Chinese,85,path,lo,,
DONGSHAN_CHINESE-86-1,DONGSHAN_CHINESE,Dongshan Chinese,86,mountain,sua*,,
DONGSHAN_CHINESE-92-1,DONGSHAN_CHINESE,Dongshan Chinese,92,night,mehui*si,,
DONGSHAN_CHINESE-92-2,DONGSHAN_CHINESE,Dongshan Chinese,92,night,mekan,,
DONGSHAN_CHINESE-95-1,DONGSHAN_CHINESE,Dongshan Chinese,95,full,mua,,
DONGSHAN_CHINESE-96-1,DONGSHAN_CHINESE,Dongshan Chinese,96,new,sin,,
DONGSHAN_CHINESE-100-1,DONGSHAN_CHINESE,Dongshan Chinese,100,name,mia,,
