ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DUTCH-1-1,DUTCH,Dutch,1,I,ik,,
DUTCH-2-1,DUTCH,Dutch,2,you,yEi,,
DUTCH-2-2,DUTCH,Dutch,2,you,y3,,
DUTCH-3-1,DUTCH,Dutch,3,we,vEi,,
DUTCH-3-2,DUTCH,Dutch,3,we,v3,,
DUTCH-11-1,DUTCH,Dutch,11,one,en,,
DUTCH-12-1,DUTCH,Dutch,12,two,tve,,
DUTCH-18-1,DUTCH,Dutch,18,person,pErson,,
DUTCH-18-2,DUTCH,Dutch,18,person,mEns,,
DUTCH-19-1,DUTCH,Dutch,19,fish,vis,,
DUTCH-21-1,DUTCH,Dutch,21,dog,hont,,
DUTCH-22-1,DUTCH,Dutch,22,louse,l3is,,
DUTCH-23-1,DUTCH,Dutch,23,tree,bom,,
DUTCH-25-1,DUTCH,Dutch,25,leaf,blat,,
DUTCH-28-1,DUTCH,Dutch,28,skin,h3id,,
DUTCH-28-2,DUTCH,Dutch,28,skin,vEl,,
DUTCH-30-1,DUTCH,Dutch,30,blood,blut,,
DUTCH-31-1,DUTCH,Dutch,31,bone,ben,,
DUTCH-34-1,DUTCH,Dutch,34,horn,horn,,
DUTCH-39-1,DUTCH,Dutch,39,ear,or,,
DUTCH-40-1,DUTCH,Dutch,40,eye,oX,,
DUTCH-41-1,DUTCH,Dutch,41,nose,nes,,
DUTCH-43-1,DUTCH,Dutch,43,tooth,tant,,
DUTCH-44-1,DUTCH,Dutch,44,tongue,toN,,
DUTCH-47-1,DUTCH,Dutch,47,knee,kni,,
DUTCH-48-1,DUTCH,Dutch,48,hand,hant,,
DUTCH-51-1,DUTCH,Dutch,51,breast,borst,,
DUTCH-53-1,DUTCH,Dutch,53,liver,lev3r,,
DUTCH-54-1,DUTCH,Dutch,54,drink,driNk3n,,
DUTCH-57-1,DUTCH,Dutch,57,see,zin,,
DUTCH-58-1,DUTCH,Dutch,58,hear,hor3n,,
DUTCH-61-1,DUTCH,Dutch,61,die,stErv3n,,
DUTCH-66-1,DUTCH,Dutch,66,come,kom3n,,
DUTCH-72-1,DUTCH,Dutch,72,sun,zon,,
DUTCH-74-1,DUTCH,Dutch,74,star,ster,,
DUTCH-75-1,DUTCH,Dutch,75,water,vat3r,,
DUTCH-77-1,DUTCH,Dutch,77,stone,sten,,
DUTCH-82-1,DUTCH,Dutch,82,fire,vir,,
DUTCH-85-1,DUTCH,Dutch,85,path,pat,,
DUTCH-85-2,DUTCH,Dutch,85,path,vEx,,
DUTCH-86-1,DUTCH,Dutch,86,mountain,bErx,,
DUTCH-92-1,DUTCH,Dutch,92,night,nat,,
DUTCH-95-1,DUTCH,Dutch,95,full,vol,,
DUTCH-96-1,DUTCH,Dutch,96,new,niu,,
DUTCH-100-1,DUTCH,Dutch,100,name,nam,,
