ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
DZING_KAANTSA-11-1,DZING_KAANTSA,Dzing Kaantsa,11,one,jE mbey,,
DZING_KAANTSA-11-2,DZING_KAANTSA,Dzing Kaantsa,11,one,aye,,
DZING_KAANTSA-11-3,DZING_KAANTSA,Dzing Kaantsa,11,one,layE,,
DZING_KAANTSA-12-1,DZING_KAANTSA,Dzing Kaantsa,12,two,wEl,,
DZING_KAANTSA-18-1,DZING_KAANTSA,Dzing Kaantsa,18,person,ur,,
DZING_KAANTSA-19-1,DZING_KAANTSA,Dzing Kaantsa,19,fish,cE,,
DZING_KAANTSA-21-1,DZING_KAANTSA,Dzing Kaantsa,21,dog,bwa,,
DZING_KAANTSA-22-1,DZING_KAANTSA,Dzing Kaantsa,22,louse,cin,,
DZING_KAANTSA-23-1,DZING_KAANTSA,Dzing Kaantsa,23,tree,te,,
DZING_KAANTSA-25-1,DZING_KAANTSA,Dzing Kaantsa,25,leaf,kay,,
DZING_KAANTSA-28-1,DZING_KAANTSA,Dzing Kaantsa,28,skin,puy ndyr,,
DZING_KAANTSA-30-1,DZING_KAANTSA,Dzing Kaantsa,30,blood,luNa,,
DZING_KAANTSA-31-1,DZING_KAANTSA,Dzing Kaantsa,31,bone,kwo,,
DZING_KAANTSA-34-1,DZING_KAANTSA,Dzing Kaantsa,34,horn,bon,,
DZING_KAANTSA-34-2,DZING_KAANTSA,Dzing Kaantsa,34,horn,boN,,
DZING_KAANTSA-39-1,DZING_KAANTSA,Dzing Kaantsa,39,ear,c3,,
DZING_KAANTSA-40-1,DZING_KAANTSA,Dzing Kaantsa,40,eye,i,,
DZING_KAANTSA-41-1,DZING_KAANTSA,Dzing Kaantsa,41,nose,bom,,
DZING_KAANTSA-43-1,DZING_KAANTSA,Dzing Kaantsa,43,tooth,cin,,
DZING_KAANTSA-44-1,DZING_KAANTSA,Dzing Kaantsa,44,tongue,em,,
DZING_KAANTSA-47-1,DZING_KAANTSA,Dzing Kaantsa,47,knee,boN,,
DZING_KAANTSA-51-1,DZING_KAANTSA,Dzing Kaantsa,51,breast,bel,,
DZING_KAANTSA-53-1,DZING_KAANTSA,Dzing Kaantsa,53,liver,sisa,,
DZING_KAANTSA-57-1,DZING_KAANTSA,Dzing Kaantsa,57,see,man,,
DZING_KAANTSA-58-1,DZING_KAANTSA,Dzing Kaantsa,58,hear,wa,,
DZING_KAANTSA-61-1,DZING_KAANTSA,Dzing Kaantsa,61,die,kwa,,
DZING_KAANTSA-66-1,DZING_KAANTSA,Dzing Kaantsa,66,come,ya,,
DZING_KAANTSA-72-1,DZING_KAANTSA,Dzing Kaantsa,72,sun,vyn,,
DZING_KAANTSA-74-1,DZING_KAANTSA,Dzing Kaantsa,74,star,bor,,
DZING_KAANTSA-75-1,DZING_KAANTSA,Dzing Kaantsa,75,water,aca,,
DZING_KAANTSA-77-1,DZING_KAANTSA,Dzing Kaantsa,77,stone,tar,,
DZING_KAANTSA-77-2,DZING_KAANTSA,Dzing Kaantsa,77,stone,kul,,
DZING_KAANTSA-82-1,DZING_KAANTSA,Dzing Kaantsa,82,fire,ba,,
DZING_KAANTSA-85-1,DZING_KAANTSA,Dzing Kaantsa,85,path,cil,,
DZING_KAANTSA-85-2,DZING_KAANTSA,Dzing Kaantsa,85,path,bwo,,
DZING_KAANTSA-86-1,DZING_KAANTSA,Dzing Kaantsa,86,mountain,mon,,
DZING_KAANTSA-92-1,DZING_KAANTSA,Dzing Kaantsa,92,night,pip,,
DZING_KAANTSA-95-1,DZING_KAANTSA,Dzing Kaantsa,95,full,api,,
DZING_KAANTSA-96-1,DZING_KAANTSA,Dzing Kaantsa,96,new,k3na,,
DZING_KAANTSA-100-1,DZING_KAANTSA,Dzing Kaantsa,100,name,cin,,
