ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
EAST_BERAWAN-1-1,EAST_BERAWAN,East Berawan,1,I,akau,,
EAST_BERAWAN-2-1,EAST_BERAWAN,East Berawan,2,you,kaau,,
EAST_BERAWAN-3-1,EAST_BERAWAN,East Berawan,3,we,kamai,,
EAST_BERAWAN-3-2,EAST_BERAWAN,East Berawan,3,we,kita,,
EAST_BERAWAN-11-1,EAST_BERAWAN,East Berawan,11,one,ate,,
EAST_BERAWAN-11-2,EAST_BERAWAN,East Berawan,11,one,aCe,,
EAST_BERAWAN-12-1,EAST_BERAWAN,East Berawan,12,two,depwe,,
EAST_BERAWAN-19-1,EAST_BERAWAN,East Berawan,19,fish,sejo,,
EAST_BERAWAN-19-2,EAST_BERAWAN,East Berawan,19,fish,siju,,
EAST_BERAWAN-21-1,EAST_BERAWAN,East Berawan,21,dog,aCau,,
EAST_BERAWAN-22-1,EAST_BERAWAN,East Berawan,22,louse,kutau,,
EAST_BERAWAN-23-1,EAST_BERAWAN,East Berawan,23,tree,kajo,,
EAST_BERAWAN-25-1,EAST_BERAWAN,East Berawan,25,leaf,diyauN,,
EAST_BERAWAN-28-1,EAST_BERAWAN,East Berawan,28,skin,kulait,,
EAST_BERAWAN-30-1,EAST_BERAWAN,East Berawan,30,blood,sema,,
EAST_BERAWAN-31-1,EAST_BERAWAN,East Berawan,31,bone,tulaN,,
EAST_BERAWAN-39-1,EAST_BERAWAN,East Berawan,39,ear,anaiN,,
EAST_BERAWAN-40-1,EAST_BERAWAN,East Berawan,40,eye,mata,,
EAST_BERAWAN-41-1,EAST_BERAWAN,East Berawan,41,nose,sauN,,
EAST_BERAWAN-41-2,EAST_BERAWAN,East Berawan,41,nose,CoN,,
EAST_BERAWAN-43-1,EAST_BERAWAN,East Berawan,43,tooth,jipien,,
EAST_BERAWAN-43-2,EAST_BERAWAN,East Berawan,43,tooth,dipien,,
EAST_BERAWAN-44-1,EAST_BERAWAN,East Berawan,44,tongue,jilia,,
EAST_BERAWAN-48-1,EAST_BERAWAN,East Berawan,48,hand,tujo,,
EAST_BERAWAN-48-2,EAST_BERAWAN,East Berawan,48,hand,palat,,
EAST_BERAWAN-51-1,EAST_BERAWAN,East Berawan,51,breast,ete,,
EAST_BERAWAN-53-1,EAST_BERAWAN,East Berawan,53,liver,atai,,
EAST_BERAWAN-54-1,EAST_BERAWAN,East Berawan,54,drink,mesam,,
EAST_BERAWAN-54-2,EAST_BERAWAN,East Berawan,54,drink,meCap,,
EAST_BERAWAN-57-1,EAST_BERAWAN,East Berawan,57,see,tele,,
EAST_BERAWAN-57-2,EAST_BERAWAN,East Berawan,57,see,nili,,
EAST_BERAWAN-58-1,EAST_BERAWAN,East Berawan,58,hear,NeleNa,,
EAST_BERAWAN-58-2,EAST_BERAWAN,East Berawan,58,hear,liNa,,
EAST_BERAWAN-61-1,EAST_BERAWAN,East Berawan,61,die,meta,,
EAST_BERAWAN-61-2,EAST_BERAWAN,East Berawan,61,die,deta,,
EAST_BERAWAN-66-1,EAST_BERAWAN,East Berawan,66,come,sake,,
EAST_BERAWAN-72-1,EAST_BERAWAN,East Berawan,72,sun,matatiu,,
EAST_BERAWAN-72-2,EAST_BERAWAN,East Berawan,72,sun,tamaCiu,,
EAST_BERAWAN-74-1,EAST_BERAWAN,East Berawan,74,star,katavan,,
EAST_BERAWAN-74-2,EAST_BERAWAN,East Berawan,74,star,takuwan,,
EAST_BERAWAN-75-1,EAST_BERAWAN,East Berawan,75,water,pea,,
EAST_BERAWAN-77-1,EAST_BERAWAN,East Berawan,77,stone,betau,,
EAST_BERAWAN-82-1,EAST_BERAWAN,East Berawan,82,fire,apoi,,
EAST_BERAWAN-85-1,EAST_BERAWAN,East Berawan,85,path,noen,,
EAST_BERAWAN-85-2,EAST_BERAWAN,East Berawan,85,path,lakau,,
EAST_BERAWAN-92-1,EAST_BERAWAN,East Berawan,92,night,lemalan,,
EAST_BERAWAN-92-2,EAST_BERAWAN,East Berawan,92,night,liCam,,
EAST_BERAWAN-100-1,EAST_BERAWAN,East Berawan,100,name,naran,,
EAST_BERAWAN-100-2,EAST_BERAWAN,East Berawan,100,name,Naran,,
