ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
EBUGHU-1-1,EBUGHU,Ebughu,1,I,ami,,
EBUGHU-2-1,EBUGHU,Ebughu,2,you,avi,,
EBUGHU-3-1,EBUGHU,Ebughu,3,we,ayin,,
EBUGHU-11-1,EBUGHU,Ebughu,11,one,siN,,
EBUGHU-12-1,EBUGHU,Ebughu,12,two,iba,,
EBUGHU-18-1,EBUGHU,Ebughu,18,person,w*i,,
EBUGHU-19-1,EBUGHU,Ebughu,19,fish,yak,,
EBUGHU-21-1,EBUGHU,Ebughu,21,dog,ba,,
EBUGHU-22-1,EBUGHU,Ebughu,22,louse,laN,,
EBUGHU-23-1,EBUGHU,Ebughu,23,tree,tiE,,
EBUGHU-25-1,EBUGHU,Ebughu,25,leaf,faN,,
EBUGHU-28-1,EBUGHU,Ebughu,28,skin,pa ile,,
EBUGHU-30-1,EBUGHU,Ebughu,30,blood,bra,,
EBUGHU-31-1,EBUGHU,Ebughu,31,bone,po,,
EBUGHU-34-1,EBUGHU,Ebughu,34,horn,dok,,
EBUGHU-39-1,EBUGHU,Ebughu,39,ear,toN,,
EBUGHU-40-1,EBUGHU,Ebughu,40,eye,5e,,
EBUGHU-41-1,EBUGHU,Ebughu,41,nose,buro,,
EBUGHU-43-1,EBUGHU,Ebughu,43,tooth,ri,,
EBUGHU-44-1,EBUGHU,Ebughu,44,tongue,lei,,
EBUGHU-47-1,EBUGHU,Ebughu,47,knee,loN,,
EBUGHU-48-1,EBUGHU,Ebughu,48,hand,ka ubok,,
EBUGHU-51-1,EBUGHU,Ebughu,51,breast,bE,,
EBUGHU-54-1,EBUGHU,Ebughu,54,drink,w*oN,,
EBUGHU-57-1,EBUGHU,Ebughu,57,see,kit,,
EBUGHU-61-1,EBUGHU,Ebughu,61,die,pe,,
EBUGHU-66-1,EBUGHU,Ebughu,66,come,di,,
EBUGHU-72-1,EBUGHU,Ebughu,72,sun,tin,,
EBUGHU-74-1,EBUGHU,Ebughu,74,star,ta nt~a ofioN,,
EBUGHU-75-1,EBUGHU,Ebughu,75,water,moN,,
EBUGHU-77-1,EBUGHU,Ebughu,77,stone,tigE,,
EBUGHU-82-1,EBUGHU,Ebughu,82,fire,kaN,,
EBUGHU-85-1,EBUGHU,Ebughu,85,path,yafaN,,
EBUGHU-86-1,EBUGHU,Ebughu,86,mountain,bot,,
EBUGHU-92-1,EBUGHU,Ebughu,92,night,go eje,,
EBUGHU-95-1,EBUGHU,Ebughu,95,full,oyoro,,
EBUGHU-96-1,EBUGHU,Ebughu,96,new,nj~afa,,
EBUGHU-100-1,EBUGHU,Ebughu,100,name,y*in,,
