ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
EGENE-1-1,EGENE,Egene,1,I,mE,,
EGENE-3-1,EGENE,Egene,3,we,ni,,
EGENE-12-1,EGENE,Egene,12,two,ve,,
EGENE-19-1,EGENE,Egene,19,fish,seni,,
EGENE-21-1,EGENE,Egene,21,dog,"b""ua",,
EGENE-22-1,EGENE,Egene,22,louse,kpElEsi,,
EGENE-23-1,EGENE,Egene,23,tree,tai,,
EGENE-25-1,EGENE,Egene,25,leaf,"b""i",,
EGENE-28-1,EGENE,Egene,28,skin,fi,,
EGENE-30-1,EGENE,Egene,30,blood,bura,,
EGENE-34-1,EGENE,Egene,34,horn,kp~ani,,
EGENE-39-1,EGENE,Egene,39,ear,so,,
EGENE-40-1,EGENE,Egene,40,eye,"d""u",,
EGENE-41-1,EGENE,Egene,41,nose,suei,,
EGENE-43-1,EGENE,Egene,43,tooth,ku,,
EGENE-44-1,EGENE,Egene,44,tongue,"d""Emu",,
EGENE-48-1,EGENE,Egene,48,hand,"b""o",,
EGENE-53-1,EGENE,Egene,53,liver,kp~ebi,,
EGENE-54-1,EGENE,Egene,54,drink,y*o,,
EGENE-57-1,EGENE,Egene,57,see,moni,,
EGENE-58-1,EGENE,Egene,58,hear,siono,,
EGENE-61-1,EGENE,Egene,61,die,wu,,
EGENE-75-1,EGENE,Egene,75,water,mini,,
EGENE-77-1,EGENE,Egene,77,stone,dio,,
EGENE-92-1,EGENE,Egene,92,night,su,,
EGENE-95-1,EGENE,Egene,95,full,vo,,
EGENE-96-1,EGENE,Egene,96,new,fa,,
EGENE-100-1,EGENE,Egene,100,name,ni,,
