ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ELPAPUTIH_SERAM_1-1-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,1,I,a7u,,
ELPAPUTIH_SERAM_1-2-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,2,you,ale,,
ELPAPUTIH_SERAM_1-3-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,3,we,ike,,
ELPAPUTIH_SERAM_1-11-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,11,one,sa7e,,
ELPAPUTIH_SERAM_1-12-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,12,two,ru7a,,
ELPAPUTIH_SERAM_1-19-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,19,fish,iane,,
ELPAPUTIH_SERAM_1-21-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,21,dog,asu,,
ELPAPUTIH_SERAM_1-22-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,22,louse,utu,,
ELPAPUTIH_SERAM_1-23-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,23,tree,a7i,,
ELPAPUTIH_SERAM_1-23-2,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,23,tree,a7ini,,
ELPAPUTIH_SERAM_1-25-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,25,leaf,la7uni,,
ELPAPUTIH_SERAM_1-28-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,28,skin,wehuri,,
ELPAPUTIH_SERAM_1-30-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,30,blood,lala,,
ELPAPUTIH_SERAM_1-31-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,31,bone,riria,,
ELPAPUTIH_SERAM_1-39-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,39,ear,terina,,
ELPAPUTIH_SERAM_1-40-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,40,eye,mata,,
ELPAPUTIH_SERAM_1-41-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,41,nose,iri,,
ELPAPUTIH_SERAM_1-43-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,43,tooth,nife,,
ELPAPUTIH_SERAM_1-44-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,44,tongue,me7i,,
ELPAPUTIH_SERAM_1-47-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,47,knee,tuha7ale,,
ELPAPUTIH_SERAM_1-48-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,48,hand,rima,,
ELPAPUTIH_SERAM_1-51-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,51,breast,susu,,
ELPAPUTIH_SERAM_1-54-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,54,drink,unu,,
ELPAPUTIH_SERAM_1-61-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,61,die,mata,,
ELPAPUTIH_SERAM_1-66-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,66,come,le7u,,
ELPAPUTIH_SERAM_1-72-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,72,sun,ri7amata7i,,
ELPAPUTIH_SERAM_1-74-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,74,star,umari,,
ELPAPUTIH_SERAM_1-75-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,75,water,wa7ele,,
ELPAPUTIH_SERAM_1-77-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,77,stone,weseri,,
ELPAPUTIH_SERAM_1-77-2,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,77,stone,hatu,,
ELPAPUTIH_SERAM_1-82-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,82,fire,afu,,
ELPAPUTIH_SERAM_1-82-2,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,82,fire,ururu,,
ELPAPUTIH_SERAM_1-85-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,85,path,lakine,,
ELPAPUTIH_SERAM_1-86-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,86,mountain,ulate,,
ELPAPUTIH_SERAM_1-92-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,92,night,humele7e,,
ELPAPUTIH_SERAM_1-95-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,95,full,penu,,
ELPAPUTIH_SERAM_1-96-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,96,new,heru7i,,
ELPAPUTIH_SERAM_1-100-1,ELPAPUTIH_SERAM_1,Elpaputih Seram 1,100,name,nala,,
