ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
EVEN-1-1,EVEN,Even,1,I,bi,,
EVEN-2-1,EVEN,Even,2,you,hi,,
EVEN-3-1,EVEN,Even,3,we,mut,,
EVEN-11-1,EVEN,Even,11,one,um3n,,
EVEN-12-1,EVEN,Even,12,two,Zur,,
EVEN-18-1,EVEN,Even,18,person,b3y,,
EVEN-19-1,EVEN,Even,19,fish,olra,,
EVEN-21-1,EVEN,Even,21,dog,Nen,,
EVEN-22-1,EVEN,Even,22,louse,kumk3,,
EVEN-23-1,EVEN,Even,23,tree,mo,,
EVEN-23-2,EVEN,Even,23,tree,h3kita,,
EVEN-25-1,EVEN,Even,25,leaf,3bd3ndr3,,
EVEN-28-1,EVEN,Even,28,skin,3rt3,,
EVEN-28-2,EVEN,Even,28,skin,nanra,,
EVEN-30-1,EVEN,Even,30,blood,huN3l,,
EVEN-31-1,EVEN,Even,31,bone,ik3ri,,
EVEN-34-1,EVEN,Even,34,horn,koye,,
EVEN-34-2,EVEN,Even,34,horn,taNna,,
EVEN-39-1,EVEN,Even,39,ear,korot,,
EVEN-40-1,EVEN,Even,40,eye,yasal,,
EVEN-41-1,EVEN,Even,41,nose,oNat,,
EVEN-43-1,EVEN,Even,43,tooth,it,,
EVEN-44-1,EVEN,Even,44,tongue,siN3,,
EVEN-47-1,EVEN,Even,47,knee,h3nN3n,,
EVEN-48-1,EVEN,Even,48,hand,Nal,,
EVEN-51-1,EVEN,Even,51,breast,3r3n,,
EVEN-53-1,EVEN,Even,53,liver,hakan,,
EVEN-54-1,EVEN,Even,54,drink,kol,,
EVEN-57-1,EVEN,Even,57,see,it,,
EVEN-58-1,EVEN,Even,58,hear,dolda,,
EVEN-58-2,EVEN,Even,58,hear,dolCi,,
EVEN-61-1,EVEN,Even,61,die,d3r3mk3,,
EVEN-66-1,EVEN,Even,66,come,3m,,
EVEN-72-1,EVEN,Even,72,sun,53lt3n,,
EVEN-74-1,EVEN,Even,74,star,osikat,,
EVEN-75-1,EVEN,Even,75,water,mu,,
EVEN-77-1,EVEN,Even,77,stone,Zol,,
EVEN-82-1,EVEN,Even,82,fire,tog,,
EVEN-85-1,EVEN,Even,85,path,hot,,
EVEN-86-1,EVEN,Even,86,mountain,ur3kC3n,,
EVEN-92-1,EVEN,Even,92,night,dolboni,,
EVEN-95-1,EVEN,Even,95,full,milt3r3,,
EVEN-95-2,EVEN,Even,95,full,t3li,,
EVEN-96-1,EVEN,Even,96,new,anNamta,,
EVEN-96-2,EVEN,Even,96,new,neye,,
EVEN-100-1,EVEN,Even,100,name,g3rb3,,
