ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
FATALUKU-1-1,FATALUKU,Fataluku,1,I,ana,,
FATALUKU-2-1,FATALUKU,Fataluku,2,you,a,,
FATALUKU-3-1,FATALUKU,Fataluku,3,we,afa,,
FATALUKU-11-1,FATALUKU,Fataluku,11,one,ukani,,
FATALUKU-12-1,FATALUKU,Fataluku,12,two,iafu,,
FATALUKU-18-1,FATALUKU,Fataluku,18,person,ma7aru,,
FATALUKU-19-1,FATALUKU,Fataluku,19,fish,api,,
FATALUKU-21-1,FATALUKU,Fataluku,21,dog,iparu,,
FATALUKU-22-1,FATALUKU,Fataluku,22,louse,haminu,,
FATALUKU-25-1,FATALUKU,Fataluku,25,leaf,asa,,
FATALUKU-28-1,FATALUKU,Fataluku,28,skin,vele,,
FATALUKU-30-1,FATALUKU,Fataluku,30,blood,vehe,,
FATALUKU-31-1,FATALUKU,Fataluku,31,bone,hafa,,
FATALUKU-39-1,FATALUKU,Fataluku,39,ear,valiku,,
FATALUKU-40-1,FATALUKU,Fataluku,40,eye,ina,,
FATALUKU-40-2,FATALUKU,Fataluku,40,eye,nina,,
FATALUKU-41-1,FATALUKU,Fataluku,41,nose,miniku,,
FATALUKU-43-1,FATALUKU,Fataluku,43,tooth,vahinu,,
FATALUKU-44-1,FATALUKU,Fataluku,44,tongue,ililu,,
FATALUKU-48-1,FATALUKU,Fataluku,48,hand,tana,,
FATALUKU-51-1,FATALUKU,Fataluku,51,breast,amitapunu,,
FATALUKU-53-1,FATALUKU,Fataluku,53,liver,ari,,
FATALUKU-54-1,FATALUKU,Fataluku,54,drink,nava,,
FATALUKU-54-2,FATALUKU,Fataluku,54,drink,una,,
FATALUKU-57-1,FATALUKU,Fataluku,57,see,aCi,,
FATALUKU-57-2,FATALUKU,Fataluku,57,see,ha7a,,
FATALUKU-58-1,FATALUKU,Fataluku,58,hear,vari,,
FATALUKU-61-1,FATALUKU,Fataluku,61,die,umu,,
FATALUKU-66-1,FATALUKU,Fataluku,66,come,ma7u,,
FATALUKU-74-1,FATALUKU,Fataluku,74,star,ipinaka,,
FATALUKU-75-1,FATALUKU,Fataluku,75,water,ira,,
FATALUKU-77-1,FATALUKU,Fataluku,77,stone,mataru,,
FATALUKU-82-1,FATALUKU,Fataluku,82,fire,aCa,,
FATALUKU-85-1,FATALUKU,Fataluku,85,path,i7a,,
FATALUKU-92-1,FATALUKU,Fataluku,92,night,kounu,,
FATALUKU-100-1,FATALUKU,Fataluku,100,name,nai,,
