ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
FOLOPA-1-1,FOLOPA,Folopa,1,I,yano,,
FOLOPA-2-1,FOLOPA,Folopa,2,you,ya*,,
FOLOPA-2-2,FOLOPA,Folopa,2,you,nao,,
FOLOPA-3-1,FOLOPA,Folopa,3,we,da*,,
FOLOPA-11-1,FOLOPA,Folopa,11,one,beta*,,
FOLOPA-12-1,FOLOPA,Folopa,12,two,tamo,,
FOLOPA-18-1,FOLOPA,Folopa,18,person,wi*,,
FOLOPA-19-1,FOLOPA,Folopa,19,fish,yia,,
FOLOPA-21-1,FOLOPA,Folopa,21,dog,yuwi,,
FOLOPA-22-1,FOLOPA,Folopa,22,louse,doi,,
FOLOPA-23-1,FOLOPA,Folopa,23,tree,ni,,
FOLOPA-25-1,FOLOPA,Folopa,25,leaf,saku,,
FOLOPA-28-1,FOLOPA,Folopa,28,skin,seka*i,,
FOLOPA-30-1,FOLOPA,Folopa,30,blood,samia,,
FOLOPA-31-1,FOLOPA,Folopa,31,bone,diri,,
FOLOPA-39-1,FOLOPA,Folopa,39,ear,woseni,,
FOLOPA-40-1,FOLOPA,Folopa,40,eye,kele,,
FOLOPA-41-1,FOLOPA,Folopa,41,nose,popae,,
FOLOPA-43-1,FOLOPA,Folopa,43,tooth,sereke,,
FOLOPA-44-1,FOLOPA,Folopa,44,tongue,hape,,
FOLOPA-47-1,FOLOPA,Folopa,47,knee,bukutiri,,
FOLOPA-48-1,FOLOPA,Folopa,48,hand,nase,,
FOLOPA-51-1,FOLOPA,Folopa,51,breast,a*wa*,,
FOLOPA-53-1,FOLOPA,Folopa,53,liver,hosa,,
FOLOPA-54-1,FOLOPA,Folopa,54,drink,nuku,,
FOLOPA-57-1,FOLOPA,Folopa,57,see,kel,,
FOLOPA-58-1,FOLOPA,Folopa,58,hear,wos,,
FOLOPA-61-1,FOLOPA,Folopa,61,die,suk,,
FOLOPA-66-1,FOLOPA,Folopa,66,come,wa,,
FOLOPA-72-1,FOLOPA,Folopa,72,sun,suka,,
FOLOPA-74-1,FOLOPA,Folopa,74,star,hore,,
FOLOPA-75-1,FOLOPA,Folopa,75,water,we*i,,
FOLOPA-77-1,FOLOPA,Folopa,77,stone,kapo,,
FOLOPA-82-1,FOLOPA,Folopa,82,fire,si,,
FOLOPA-85-1,FOLOPA,Folopa,85,path,tu*,,
FOLOPA-86-1,FOLOPA,Folopa,86,mountain,hasi,,
FOLOPA-92-1,FOLOPA,Folopa,92,night,be diliki,,
FOLOPA-95-1,FOLOPA,Folopa,95,full,fa*,,
FOLOPA-96-1,FOLOPA,Folopa,96,new,kisi,,
FOLOPA-100-1,FOLOPA,Folopa,100,name,doi,,
