ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
FRISIAN_WESTERN-1-1,FRISIAN_WESTERN,Frisian Western,1,I,ik,,
FRISIAN_WESTERN-2-1,FRISIAN_WESTERN,Frisian Western,2,you,do,,
FRISIAN_WESTERN-2-2,FRISIAN_WESTERN,Frisian Western,2,you,yo,,
FRISIAN_WESTERN-3-1,FRISIAN_WESTERN,Frisian Western,3,we,vEi,,
FRISIAN_WESTERN-11-1,FRISIAN_WESTERN,Frisian Western,11,one,i3n,,
FRISIAN_WESTERN-11-2,FRISIAN_WESTERN,Frisian Western,11,one,yin,,
FRISIAN_WESTERN-12-1,FRISIAN_WESTERN,Frisian Western,12,two,tw~a,,
FRISIAN_WESTERN-12-2,FRISIAN_WESTERN,Frisian Western,12,two,tva,,
FRISIAN_WESTERN-18-1,FRISIAN_WESTERN,Frisian Western,18,person,mi*nsk,,
FRISIAN_WESTERN-19-1,FRISIAN_WESTERN,Frisian Western,19,fish,fisk,,
FRISIAN_WESTERN-21-1,FRISIAN_WESTERN,Frisian Western,21,dog,hun,,
FRISIAN_WESTERN-22-1,FRISIAN_WESTERN,Frisian Western,22,louse,lis,,
FRISIAN_WESTERN-23-1,FRISIAN_WESTERN,Frisian Western,23,tree,bi3m,,
FRISIAN_WESTERN-23-2,FRISIAN_WESTERN,Frisian Western,23,tree,by~Em,,
FRISIAN_WESTERN-25-1,FRISIAN_WESTERN,Frisian Western,25,leaf,blEt,,
FRISIAN_WESTERN-28-1,FRISIAN_WESTERN,Frisian Western,28,skin,hut,,
FRISIAN_WESTERN-30-1,FRISIAN_WESTERN,Frisian Western,30,blood,blu3t,,
FRISIAN_WESTERN-31-1,FRISIAN_WESTERN,Frisian Western,31,bone,boNk3,,
FRISIAN_WESTERN-34-1,FRISIAN_WESTERN,Frisian Western,34,horn,ho3n,,
FRISIAN_WESTERN-34-2,FRISIAN_WESTERN,Frisian Western,34,horn,hw~an,,
FRISIAN_WESTERN-39-1,FRISIAN_WESTERN,Frisian Western,39,ear,i3r,,
FRISIAN_WESTERN-40-1,FRISIAN_WESTERN,Frisian Western,40,eye,i3x,,
FRISIAN_WESTERN-41-1,FRISIAN_WESTERN,Frisian Western,41,nose,nes,,
FRISIAN_WESTERN-41-2,FRISIAN_WESTERN,Frisian Western,41,nose,nas3,,
FRISIAN_WESTERN-43-1,FRISIAN_WESTERN,Frisian Western,43,tooth,tosk,,
FRISIAN_WESTERN-44-1,FRISIAN_WESTERN,Frisian Western,44,tongue,toN3,,
FRISIAN_WESTERN-44-2,FRISIAN_WESTERN,Frisian Western,44,tongue,toNg3,,
FRISIAN_WESTERN-47-1,FRISIAN_WESTERN,Frisian Western,47,knee,knib3l,,
FRISIAN_WESTERN-48-1,FRISIAN_WESTERN,Frisian Western,48,hand,hon,,
FRISIAN_WESTERN-51-1,FRISIAN_WESTERN,Frisian Western,51,breast,bo3st,,
FRISIAN_WESTERN-51-2,FRISIAN_WESTERN,Frisian Western,51,breast,bast,,
FRISIAN_WESTERN-53-1,FRISIAN_WESTERN,Frisian Western,53,liver,lew3r,,
FRISIAN_WESTERN-54-1,FRISIAN_WESTERN,Frisian Western,54,drink,driNk3,,
FRISIAN_WESTERN-57-1,FRISIAN_WESTERN,Frisian Western,57,see,sy~En,,
FRISIAN_WESTERN-58-1,FRISIAN_WESTERN,Frisian Western,58,hear,hy~Er3,,
FRISIAN_WESTERN-58-2,FRISIAN_WESTERN,Frisian Western,58,hear,hi3r3,,
FRISIAN_WESTERN-61-1,FRISIAN_WESTERN,Frisian Western,61,die,sty~Er3,,
FRISIAN_WESTERN-61-2,FRISIAN_WESTERN,Frisian Western,61,die,di3gi3n,,
FRISIAN_WESTERN-66-1,FRISIAN_WESTERN,Frisian Western,66,come,kom3,,
FRISIAN_WESTERN-72-1,FRISIAN_WESTERN,Frisian Western,72,sun,sin3,,
FRISIAN_WESTERN-74-1,FRISIAN_WESTERN,Frisian Western,74,star,sty~Er,,
FRISIAN_WESTERN-75-1,FRISIAN_WESTERN,Frisian Western,75,water,vEt3r,,
FRISIAN_WESTERN-77-1,FRISIAN_WESTERN,Frisian Western,77,stone,sti3n,,
FRISIAN_WESTERN-82-1,FRISIAN_WESTERN,Frisian Western,82,fire,fy~u3r,,
FRISIAN_WESTERN-85-1,FRISIAN_WESTERN,Frisian Western,85,path,dik,,
FRISIAN_WESTERN-85-2,FRISIAN_WESTERN,Frisian Western,85,path,dEik,,
FRISIAN_WESTERN-86-1,FRISIAN_WESTERN,Frisian Western,86,mountain,bErx,,
FRISIAN_WESTERN-92-1,FRISIAN_WESTERN,Frisian Western,92,night,nat,,
FRISIAN_WESTERN-95-1,FRISIAN_WESTERN,Frisian Western,95,full,fol,,
FRISIAN_WESTERN-96-1,FRISIAN_WESTERN,Frisian Western,96,new,nEy,,
FRISIAN_WESTERN-96-2,FRISIAN_WESTERN,Frisian Western,96,new,nEi,,
FRISIAN_WESTERN-100-1,FRISIAN_WESTERN,Frisian Western,100,name,nam3,,
