ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GALU-1-1,GALU,Galu,1,I,ki3,,
GALU-2-1,GALU,Galu,2,you,yi,,
GALU-3-1,GALU,Galu,3,we,ku3,,
GALU-11-1,GALU,Galu,11,one,hon3waipon,,
GALU-12-1,GALU,Galu,12,two,fi3,,
GALU-19-1,GALU,Galu,19,fish,hayut3,,
GALU-21-1,GALU,Galu,21,dog,pat3,,
GALU-22-1,GALU,Galu,22,louse,wurar3t3,,
GALU-23-1,GALU,Galu,23,tree,nip3,,
GALU-25-1,GALU,Galu,25,leaf,yu,,
GALU-28-1,GALU,Galu,28,skin,paw3ltE,,
GALU-30-1,GALU,Galu,30,blood,hong3,,
GALU-31-1,GALU,Galu,31,bone,lah3te,,
GALU-39-1,GALU,Galu,39,ear,mo,,
GALU-40-1,GALU,Galu,40,eye,nap3t3,,
GALU-41-1,GALU,Galu,41,nose,malk3,,
GALU-43-1,GALU,Galu,43,tooth,nat3n,,
GALU-44-1,GALU,Galu,44,tongue,luwat3,,
GALU-47-1,GALU,Galu,47,knee,hap3not3,,
GALU-51-1,GALU,Galu,51,breast,mat3,,
GALU-53-1,GALU,Galu,53,liver,pal3,,
GALU-54-1,GALU,Galu,54,drink,anamo,,
GALU-57-1,GALU,Galu,57,see,am3si,,
GALU-58-1,GALU,Galu,58,hear,amoromo,,
GALU-61-1,GALU,Galu,61,die,amu3hi,,
GALU-66-1,GALU,Galu,66,come,pahien3,,
GALU-72-1,GALU,Galu,72,sun,hal,,
GALU-74-1,GALU,Galu,74,star,miru,,
GALU-75-1,GALU,Galu,75,water,w3n,,
GALU-82-1,GALU,Galu,82,fire,yak3,,
GALU-85-1,GALU,Galu,85,path,yapi,,
GALU-86-1,GALU,Galu,86,mountain,panik3,,
GALU-92-1,GALU,Galu,92,night,halih3,,
GALU-95-1,GALU,Galu,95,full,kak3,,
GALU-96-1,GALU,Galu,96,new,oNgaino,,
GALU-100-1,GALU,Galu,100,name,haut3,,
