ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GBAYA_BOZOUM-18-1,GBAYA_BOZOUM,Gbaya Bozoum,18,person,were,,
GBAYA_BOZOUM-19-1,GBAYA_BOZOUM,Gbaya Bozoum,19,fish,zoro,,
GBAYA_BOZOUM-21-1,GBAYA_BOZOUM,Gbaya Bozoum,21,dog,toro,,
GBAYA_BOZOUM-22-1,GBAYA_BOZOUM,Gbaya Bozoum,22,louse,bisi,,
GBAYA_BOZOUM-23-1,GBAYA_BOZOUM,Gbaya Bozoum,23,tree,te,,
GBAYA_BOZOUM-25-1,GBAYA_BOZOUM,Gbaya Bozoum,25,leaf,wa,,
GBAYA_BOZOUM-28-1,GBAYA_BOZOUM,Gbaya Bozoum,28,skin,yo,,
GBAYA_BOZOUM-30-1,GBAYA_BOZOUM,Gbaya Bozoum,30,blood,to*,,
GBAYA_BOZOUM-31-1,GBAYA_BOZOUM,Gbaya Bozoum,31,bone,gba*ra*,,
GBAYA_BOZOUM-34-1,GBAYA_BOZOUM,Gbaya Bozoum,34,horn,zak,,
GBAYA_BOZOUM-39-1,GBAYA_BOZOUM,Gbaya Bozoum,39,ear,zErE,,
GBAYA_BOZOUM-40-1,GBAYA_BOZOUM,Gbaya Bozoum,40,eye,ri,,
GBAYA_BOZOUM-41-1,GBAYA_BOZOUM,Gbaya Bozoum,41,nose,zofo,,
GBAYA_BOZOUM-43-1,GBAYA_BOZOUM,Gbaya Bozoum,43,tooth,5in,,
GBAYA_BOZOUM-44-1,GBAYA_BOZOUM,Gbaya Bozoum,44,tongue,lebe,,
GBAYA_BOZOUM-47-1,GBAYA_BOZOUM,Gbaya Bozoum,47,knee,zugur,,
GBAYA_BOZOUM-48-1,GBAYA_BOZOUM,Gbaya Bozoum,48,hand,ere,,
GBAYA_BOZOUM-51-1,GBAYA_BOZOUM,Gbaya Bozoum,51,breast,ngudu,,
GBAYA_BOZOUM-53-1,GBAYA_BOZOUM,Gbaya Bozoum,53,liver,sErE,,
GBAYA_BOZOUM-54-1,GBAYA_BOZOUM,Gbaya Bozoum,54,drink,no,,
GBAYA_BOZOUM-54-2,GBAYA_BOZOUM,Gbaya Bozoum,54,drink,noa,,
GBAYA_BOZOUM-57-1,GBAYA_BOZOUM,Gbaya Bozoum,57,see,zo,,
GBAYA_BOZOUM-57-2,GBAYA_BOZOUM,Gbaya Bozoum,57,see,zoka,,
GBAYA_BOZOUM-61-1,GBAYA_BOZOUM,Gbaya Bozoum,61,die,fe,,
GBAYA_BOZOUM-61-2,GBAYA_BOZOUM,Gbaya Bozoum,61,die,fea,,
GBAYA_BOZOUM-66-1,GBAYA_BOZOUM,Gbaya Bozoum,66,come,tE,,
GBAYA_BOZOUM-66-2,GBAYA_BOZOUM,Gbaya Bozoum,66,come,tEa,,
GBAYA_BOZOUM-72-1,GBAYA_BOZOUM,Gbaya Bozoum,72,sun,wese,,
GBAYA_BOZOUM-74-1,GBAYA_BOZOUM,Gbaya Bozoum,74,star,sora,,
GBAYA_BOZOUM-77-1,GBAYA_BOZOUM,Gbaya Bozoum,77,stone,ta,,
GBAYA_BOZOUM-82-1,GBAYA_BOZOUM,Gbaya Bozoum,82,fire,we,,
GBAYA_BOZOUM-85-1,GBAYA_BOZOUM,Gbaya Bozoum,85,path,riwa,,
GBAYA_BOZOUM-86-1,GBAYA_BOZOUM,Gbaya Bozoum,86,mountain,kara,,
GBAYA_BOZOUM-92-1,GBAYA_BOZOUM,Gbaya Bozoum,92,night,zE,,
GBAYA_BOZOUM-96-1,GBAYA_BOZOUM,Gbaya Bozoum,96,new,mbe,,
