ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GILAKI-1-1,GILAKI,Gilaki,1,I,mEn,,
GILAKI-2-1,GILAKI,Gilaki,2,you,tu,,
GILAKI-3-1,GILAKI,Gilaki,3,we,ama,,
GILAKI-11-1,GILAKI,Gilaki,11,one,i,,
GILAKI-12-1,GILAKI,Gilaki,12,two,du,,
GILAKI-18-1,GILAKI,Gilaki,18,person,mErd,,
GILAKI-19-1,GILAKI,Gilaki,19,fish,mahi,,
GILAKI-21-1,GILAKI,Gilaki,21,dog,sEg,,
GILAKI-23-1,GILAKI,Gilaki,23,tree,dar,,
GILAKI-23-2,GILAKI,Gilaki,23,tree,dErEXt,,
GILAKI-25-1,GILAKI,Gilaki,25,leaf,balg,,
GILAKI-30-1,GILAKI,Gilaki,30,blood,Xun,,
GILAKI-31-1,GILAKI,Gilaki,31,bone,ostEXan,,
GILAKI-39-1,GILAKI,Gilaki,39,ear,guS,,
GILAKI-40-1,GILAKI,Gilaki,40,eye,Cum,,
GILAKI-41-1,GILAKI,Gilaki,41,nose,dEmaq,,
GILAKI-43-1,GILAKI,Gilaki,43,tooth,gaz,,
GILAKI-44-1,GILAKI,Gilaki,44,tongue,zEban,,
GILAKI-47-1,GILAKI,Gilaki,47,knee,zanu,,
GILAKI-48-1,GILAKI,Gilaki,48,hand,dEst,,
GILAKI-51-1,GILAKI,Gilaki,51,breast,sinE,,
GILAKI-54-1,GILAKI,Gilaki,54,drink,XurdEn,,
GILAKI-57-1,GILAKI,Gilaki,57,see,deEn,,
GILAKI-58-1,GILAKI,Gilaki,58,hear,iSnavEstEn,,
GILAKI-61-1,GILAKI,Gilaki,61,die,mErdEn,,
GILAKI-66-1,GILAKI,Gilaki,66,come,amon,,
GILAKI-72-1,GILAKI,Gilaki,72,sun,XurSid,,
GILAKI-72-2,GILAKI,Gilaki,72,sun,aftab,,
GILAKI-74-1,GILAKI,Gilaki,74,star,sEtarE,,
GILAKI-75-1,GILAKI,Gilaki,75,water,ab,,
GILAKI-77-1,GILAKI,Gilaki,77,stone,sENg,,
GILAKI-82-1,GILAKI,Gilaki,82,fire,atES,,
GILAKI-86-1,GILAKI,Gilaki,86,mountain,ku,,
GILAKI-92-1,GILAKI,Gilaki,92,night,SEb,,
