ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GLAVDA-11-1,GLAVDA,Glavda,11,one,pala,,
GLAVDA-11-2,GLAVDA,Glavda,11,one,kika,,
GLAVDA-12-1,GLAVDA,Glavda,12,two,buwa,,
GLAVDA-18-1,GLAVDA,Glavda,18,person,uda,,
GLAVDA-19-1,GLAVDA,Glavda,19,fish,kilfa,,
GLAVDA-21-1,GLAVDA,Glavda,21,dog,xugy~a,,
GLAVDA-22-1,GLAVDA,Glavda,22,louse,CaCa,,
GLAVDA-23-1,GLAVDA,Glavda,23,tree,ufa,,
GLAVDA-25-1,GLAVDA,Glavda,25,leaf,xy~imi ufa,,
GLAVDA-28-1,GLAVDA,Glavda,28,skin,x3zuwa,,
GLAVDA-28-2,GLAVDA,Glavda,28,skin,x3luwa,,
GLAVDA-30-1,GLAVDA,Glavda,30,blood,avza,,
GLAVDA-31-1,GLAVDA,Glavda,31,bone,LaLa,,
GLAVDA-34-1,GLAVDA,Glavda,34,horn,durawa,,
GLAVDA-39-1,GLAVDA,Glavda,39,ear,ximiya,,
GLAVDA-39-2,GLAVDA,Glavda,39,ear,ximiyaxa,,
GLAVDA-40-1,GLAVDA,Glavda,40,eye,giya,,
GLAVDA-40-2,GLAVDA,Glavda,40,eye,giyaxa,,
GLAVDA-41-1,GLAVDA,Glavda,41,nose,xutura,,
GLAVDA-43-1,GLAVDA,Glavda,43,tooth,L3rda,,
GLAVDA-44-1,GLAVDA,Glavda,44,tongue,arexa,,
GLAVDA-47-1,GLAVDA,Glavda,47,knee,xunja,,
GLAVDA-51-1,GLAVDA,Glavda,51,breast,uba,,
GLAVDA-53-1,GLAVDA,Glavda,53,liver,ury~a,,
GLAVDA-54-1,GLAVDA,Glavda,54,drink,x3bu,,
GLAVDA-57-1,GLAVDA,Glavda,57,see,nuxa,,
GLAVDA-58-1,GLAVDA,Glavda,58,hear,CiNx~a,,
GLAVDA-61-1,GLAVDA,Glavda,61,die,mca,,
GLAVDA-66-1,GLAVDA,Glavda,66,come,suxa,,
GLAVDA-72-1,GLAVDA,Glavda,72,sun,faCiya,,
GLAVDA-74-1,GLAVDA,Glavda,74,star,kw~a8a8a,,
GLAVDA-75-1,GLAVDA,Glavda,75,water,iwa,,
GLAVDA-77-1,GLAVDA,Glavda,77,stone,akw~ura,,
GLAVDA-77-2,GLAVDA,Glavda,77,stone,gila furdexa,,
GLAVDA-82-1,GLAVDA,Glavda,82,fire,kara,,
GLAVDA-85-1,GLAVDA,Glavda,85,path,dula,,
GLAVDA-86-1,GLAVDA,Glavda,86,mountain,xw~a,,
GLAVDA-92-1,GLAVDA,Glavda,92,night,zavuda,,
GLAVDA-96-1,GLAVDA,Glavda,96,new,dala,,
GLAVDA-100-1,GLAVDA,Glavda,100,name,daga,,
