ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GOR-1-1,GOR,Gor,1,I,mi,,
GOR-2-1,GOR,Gor,2,you,i*,,
GOR-11-1,GOR,Gor,11,one,kare,,
GOR-12-1,GOR,Gor,12,two,jo,,
GOR-18-1,GOR,Gor,18,person,di*g3m,,
GOR-19-1,GOR,Gor,19,fish,ka*j3,,
GOR-21-1,GOR,Gor,21,dog,busu,,
GOR-23-1,GOR,Gor,23,tree,kag3,,
GOR-25-1,GOR,Gor,25,leaf,mbi,,
GOR-28-1,GOR,Gor,28,skin,ndar,,
GOR-30-1,GOR,Gor,30,blood,mos3,,
GOR-31-1,GOR,Gor,31,bone,siNg3,,
GOR-34-1,GOR,Gor,34,horn,gaj3,,
GOR-39-1,GOR,Gor,39,ear,mbi,,
GOR-40-1,GOR,Gor,40,eye,ku*m,,
GOR-41-1,GOR,Gor,41,nose,u*m,,
GOR-43-1,GOR,Gor,43,tooth,NgaNg3,,
GOR-44-1,GOR,Gor,44,tongue,ndon,,
GOR-47-1,GOR,Gor,47,knee,m3k3s,,
GOR-48-1,GOR,Gor,48,hand,dalaj3,,
GOR-51-1,GOR,Gor,51,breast,mba,,
GOR-54-1,GOR,Gor,54,drink,a*i*,,
GOR-57-1,GOR,Gor,57,see,o,,
GOR-58-1,GOR,Gor,58,hear,o,,
GOR-61-1,GOR,Gor,61,die,oi,,
GOR-66-1,GOR,Gor,66,come,s3re,,
GOR-72-1,GOR,Gor,72,sun,kad3,,
GOR-74-1,GOR,Gor,74,star,mme,,
GOR-75-1,GOR,Gor,75,water,ma*n,,
GOR-77-1,GOR,Gor,77,stone,mbal,,
GOR-82-1,GOR,Gor,82,fire,por,,
GOR-86-1,GOR,Gor,86,mountain,dobarbat3lo,,
GOR-92-1,GOR,Gor,92,night,ko*do,,
GOR-95-1,GOR,Gor,95,full,ros3,,
GOR-96-1,GOR,Gor,96,new,s3g3,,
GOR-100-1,GOR,Gor,100,name,to,,
