ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GUDE-11-1,GUDE,Gude,11,one,tan,,
GUDE-12-1,GUDE,Gude,12,two,bray,,
GUDE-12-2,GUDE,Gude,12,two,bra,,
GUDE-18-1,GUDE,Gude,18,person,nda,,
GUDE-19-1,GUDE,Gude,19,fish,xurfin,,
GUDE-21-1,GUDE,Gude,21,dog,3da,,
GUDE-22-1,GUDE,Gude,22,louse,juNk~ara,,
GUDE-23-1,GUDE,Gude,23,tree,uNfw~a,,
GUDE-25-1,GUDE,Gude,25,leaf,ba7,,
GUDE-28-1,GUDE,Gude,28,skin,kuvu7un,,
GUDE-30-1,GUDE,Gude,30,blood,idina,,
GUDE-31-1,GUDE,Gude,31,bone,ila,,
GUDE-34-1,GUDE,Gude,34,horn,mapa,,
GUDE-39-1,GUDE,Gude,39,ear,limin,,
GUDE-40-1,GUDE,Gude,40,eye,gin,,
GUDE-41-1,GUDE,Gude,41,nose,Sin37,,
GUDE-43-1,GUDE,Gude,43,tooth,liNin,,
GUDE-44-1,GUDE,Gude,44,tongue,g3na,,
GUDE-47-1,GUDE,Gude,47,knee,ida,,
GUDE-51-1,GUDE,Gude,51,breast,wan,,
GUDE-53-1,GUDE,Gude,53,liver,vurSin,,
GUDE-54-1,GUDE,Gude,54,drink,Si,,
GUDE-57-1,GUDE,Gude,57,see,nEi,,
GUDE-58-1,GUDE,Gude,58,hear,fi,,
GUDE-61-1,GUDE,Gude,61,die,Nk~i,,
GUDE-66-1,GUDE,Gude,66,come,Si,,
GUDE-72-1,GUDE,Gude,72,sun,gad3gy~i,,
GUDE-72-2,GUDE,Gude,72,sun,usura,,
GUDE-74-1,GUDE,Gude,74,star,t3kisa,,
GUDE-75-1,GUDE,Gude,75,water,ma7in,,
GUDE-77-1,GUDE,Gude,77,stone,fara,,
GUDE-82-1,GUDE,Gude,82,fire,gw~un,,
GUDE-85-1,GUDE,Gude,85,path,rugw~a,,
GUDE-86-1,GUDE,Gude,86,mountain,gy~iNw~a,,
GUDE-92-1,GUDE,Gude,92,night,vuda,,
GUDE-92-2,GUDE,Gude,92,night,davuda,,
GUDE-96-1,GUDE,Gude,96,new,kuraki,,
GUDE-100-1,GUDE,Gude,100,name,l3ma,,
