ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GUHU_SAMANE-1-1,GUHU_SAMANE,Guhu Samane,1,I,ana,,
GUHU_SAMANE-1-2,GUHU_SAMANE,Guhu Samane,1,I,anai,,
GUHU_SAMANE-2-1,GUHU_SAMANE,Guhu Samane,2,you,ni,,
GUHU_SAMANE-3-1,GUHU_SAMANE,Guhu Samane,3,we,napa,,
GUHU_SAMANE-11-1,GUHU_SAMANE,Guhu Samane,11,one,tena,,
GUHU_SAMANE-11-2,GUHU_SAMANE,Guhu Samane,11,one,te,,
GUHU_SAMANE-12-1,GUHU_SAMANE,Guhu Samane,12,two,eseri,,
GUHU_SAMANE-18-1,GUHU_SAMANE,Guhu Samane,18,person,abi,,
GUHU_SAMANE-18-2,GUHU_SAMANE,Guhu Samane,18,person,atapa,,
GUHU_SAMANE-19-1,GUHU_SAMANE,Guhu Samane,19,fish,oba ma besaho khacaca,,
GUHU_SAMANE-21-1,GUHU_SAMANE,Guhu Samane,21,dog,ha,,
GUHU_SAMANE-21-2,GUHU_SAMANE,Guhu Samane,21,dog,teko,,
GUHU_SAMANE-22-1,GUHU_SAMANE,Guhu Samane,22,louse,caru,,
GUHU_SAMANE-23-1,GUHU_SAMANE,Guhu Samane,23,tree,e,,
GUHU_SAMANE-25-1,GUHU_SAMANE,Guhu Samane,25,leaf,ge,,
GUHU_SAMANE-28-1,GUHU_SAMANE,Guhu Samane,28,skin,sasa,,
GUHU_SAMANE-30-1,GUHU_SAMANE,Guhu Samane,30,blood,cu,,
GUHU_SAMANE-31-1,GUHU_SAMANE,Guhu Samane,31,bone,gota,,
GUHU_SAMANE-34-1,GUHU_SAMANE,Guhu Samane,34,horn,to7ena,,
GUHU_SAMANE-34-2,GUHU_SAMANE,Guhu Samane,34,horn,kui tei oni,,
GUHU_SAMANE-39-1,GUHU_SAMANE,Guhu Samane,39,ear,toma,,
GUHU_SAMANE-40-1,GUHU_SAMANE,Guhu Samane,40,eye,nese,,
GUHU_SAMANE-41-1,GUHU_SAMANE,Guhu Samane,41,nose,koko,,
GUHU_SAMANE-43-1,GUHU_SAMANE,Guhu Samane,43,tooth,otiru,,
GUHU_SAMANE-43-2,GUHU_SAMANE,Guhu Samane,43,tooth,to kaka tena7a,,
GUHU_SAMANE-44-1,GUHU_SAMANE,Guhu Samane,44,tongue,etete,,
GUHU_SAMANE-47-1,GUHU_SAMANE,Guhu Samane,47,knee,poma,,
GUHU_SAMANE-48-1,GUHU_SAMANE,Guhu Samane,48,hand,boto,,
GUHU_SAMANE-48-2,GUHU_SAMANE,Guhu Samane,48,hand,tigi,,
GUHU_SAMANE-51-1,GUHU_SAMANE,Guhu Samane,51,breast,amena tota7i ma tota7i,,
GUHU_SAMANE-53-1,GUHU_SAMANE,Guhu Samane,53,liver,ca,,
GUHU_SAMANE-54-1,GUHU_SAMANE,Guhu Samane,54,drink,oba muna7u mae nukuba7u,,
GUHU_SAMANE-57-1,GUHU_SAMANE,Guhu Samane,57,see,mora7u,,
GUHU_SAMANE-58-1,GUHU_SAMANE,Guhu Samane,58,hear,noka7u,,
GUHU_SAMANE-58-2,GUHU_SAMANE,Guhu Samane,58,hear,noka hisi,,
GUHU_SAMANE-61-1,GUHU_SAMANE,Guhu Samane,61,die,bata7u,,
GUHU_SAMANE-66-1,GUHU_SAMANE,Guhu Samane,66,come,baba7u,,
GUHU_SAMANE-72-1,GUHU_SAMANE,Guhu Samane,72,sun,ete,,
GUHU_SAMANE-74-1,GUHU_SAMANE,Guhu Samane,74,star,pomati,,
GUHU_SAMANE-75-1,GUHU_SAMANE,Guhu Samane,75,water,oba,,
GUHU_SAMANE-77-1,GUHU_SAMANE,Guhu Samane,77,stone,oma,,
GUHU_SAMANE-82-1,GUHU_SAMANE,Guhu Samane,82,fire,epa,,
GUHU_SAMANE-82-2,GUHU_SAMANE,Guhu Samane,82,fire,gaubica7u,,
GUHU_SAMANE-85-1,GUHU_SAMANE,Guhu Samane,85,path,oko tete,,
GUHU_SAMANE-86-1,GUHU_SAMANE,Guhu Samane,86,mountain,tora,,
GUHU_SAMANE-92-1,GUHU_SAMANE,Guhu Samane,92,night,upi,,
GUHU_SAMANE-95-1,GUHU_SAMANE,Guhu Samane,95,full,au isiNi,,
GUHU_SAMANE-95-2,GUHU_SAMANE,Guhu Samane,95,full,henoma,,
GUHU_SAMANE-96-1,GUHU_SAMANE,Guhu Samane,96,new,nese agiagi,,
GUHU_SAMANE-100-1,GUHU_SAMANE,Guhu Samane,100,name,capa,,
