ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GULAY-19-1,GULAY,Gulay,19,fish,kanji,,
GULAY-23-1,GULAY,Gulay,23,tree,kag,,
GULAY-31-1,GULAY,Gulay,31,bone,koNo,,
GULAY-39-1,GULAY,Gulay,39,ear,mbi5,,
GULAY-40-1,GULAY,Gulay,40,eye,kum,,
GULAY-41-1,GULAY,Gulay,41,nose,um,,
GULAY-43-1,GULAY,Gulay,43,tooth,Nog,,
GULAY-48-1,GULAY,Gulay,48,hand,jiji,,
GULAY-51-1,GULAY,Gulay,51,breast,kade,,
GULAY-54-1,GULAY,Gulay,54,drink,kase,,
GULAY-72-1,GULAY,Gulay,72,sun,kadeo siNoi,,
GULAY-75-1,GULAY,Gulay,75,water,man,,
GULAY-77-1,GULAY,Gulay,77,stone,Non mbal,,
GULAY-82-1,GULAY,Gulay,82,fire,poro,,
GULAY-86-1,GULAY,Gulay,86,mountain,mbal,,
GULAY-92-1,GULAY,Gulay,92,night,ndo,,
