ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
GUYAMBAL-11-1,GUYAMBAL,Guyambal,11,one,tunway,,
GUYAMBAL-11-2,GUYAMBAL,Guyambal,11,one,tanway,,
GUYAMBAL-12-1,GUYAMBAL,Guyambal,12,two,bubiya,,
GUYAMBAL-21-1,GUYAMBAL,Guyambal,21,dog,miri,,
GUYAMBAL-28-1,GUYAMBAL,Guyambal,28,skin,yutay,,
GUYAMBAL-30-1,GUYAMBAL,Guyambal,30,blood,kuninba,,
GUYAMBAL-39-1,GUYAMBAL,Guyambal,39,ear,bulikin,,
GUYAMBAL-39-2,GUYAMBAL,Guyambal,39,ear,bulakin,,
GUYAMBAL-40-1,GUYAMBAL,Guyambal,40,eye,miya5,,
GUYAMBAL-41-1,GUYAMBAL,Guyambal,41,nose,mariyu,,
GUYAMBAL-43-1,GUYAMBAL,Guyambal,43,tooth,tiriya,,
GUYAMBAL-44-1,GUYAMBAL,Guyambal,44,tongue,8a8ay,,
GUYAMBAL-48-1,GUYAMBAL,Guyambal,48,hand,yambiya,,
GUYAMBAL-51-1,GUYAMBAL,Guyambal,51,breast,munbi,,
GUYAMBAL-51-2,GUYAMBAL,Guyambal,51,breast,munbay,,
GUYAMBAL-54-1,GUYAMBAL,Guyambal,54,drink,Nambila,,
GUYAMBAL-57-1,GUYAMBAL,Guyambal,57,see,nili,,
GUYAMBAL-66-1,GUYAMBAL,Guyambal,66,come,kaway,,
GUYAMBAL-72-1,GUYAMBAL,Guyambal,72,sun,tuni,,
GUYAMBAL-74-1,GUYAMBAL,Guyambal,74,star,miriya,,
GUYAMBAL-75-1,GUYAMBAL,Guyambal,75,water,kuki,,
GUYAMBAL-75-2,GUYAMBAL,Guyambal,75,water,kukay,,
GUYAMBAL-82-1,GUYAMBAL,Guyambal,82,fire,wayi,,
GUYAMBAL-82-2,GUYAMBAL,Guyambal,82,fire,wiyi,,
GUYAMBAL-92-1,GUYAMBAL,Guyambal,92,night,ma8a,,
