ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HAISLA-1-1,HAISLA,Haisla,1,I,nugw~a,,
HAISLA-2-1,HAISLA,Haisla,2,you,yXsu,,
HAISLA-2-2,HAISLA,Haisla,2,you,yXw~su,,
HAISLA-3-1,HAISLA,Haisla,3,we,nugw~anis,,
HAISLA-11-1,HAISLA,Haisla,11,one,"n""aukw~",,
HAISLA-12-1,HAISLA,Haisla,12,two,ma7La,,
HAISLA-18-1,HAISLA,Haisla,18,person,wism,,
HAISLA-19-1,HAISLA,Haisla,19,fish,my,,
HAISLA-21-1,HAISLA,Haisla,21,dog,"w""ac""",,
HAISLA-22-1,HAISLA,Haisla,22,louse,Gin,,
HAISLA-23-1,HAISLA,Haisla,23,tree,"Law""s",,
HAISLA-25-1,HAISLA,Haisla,25,leaf,"q""w~axela",,
HAISLA-28-1,HAISLA,Haisla,28,skin,"L""is",,
HAISLA-30-1,HAISLA,Haisla,30,blood,blxLm,,
HAISLA-31-1,HAISLA,Haisla,31,bone,XaX,,
HAISLA-34-1,HAISLA,Haisla,34,horn,"wL""aq",,
HAISLA-39-1,HAISLA,Haisla,39,ear,"p""sp""yu",,
HAISLA-40-1,HAISLA,Haisla,40,eye,GGs,,
HAISLA-41-1,HAISLA,Haisla,41,nose,Xuma7x,,
HAISLA-43-1,HAISLA,Haisla,43,tooth,gi7gi,,
HAISLA-44-1,HAISLA,Haisla,44,tongue,"k""lm",,
HAISLA-47-1,HAISLA,Haisla,47,knee,"k""u7k""w~s Xdamwa",,
HAISLA-48-1,HAISLA,Haisla,48,hand,ha7isu,,
HAISLA-48-2,HAISLA,Haisla,48,hand,hayasu,,
HAISLA-51-1,HAISLA,Haisla,51,breast,"jam""i",,
HAISLA-53-1,HAISLA,Haisla,53,liver,"l""Gis",,
HAISLA-54-1,HAISLA,Haisla,54,drink,naqa,,
HAISLA-57-1,HAISLA,Haisla,57,see,duqw~la,,
HAISLA-58-1,HAISLA,Haisla,58,hear,humala,,
HAISLA-61-1,HAISLA,Haisla,61,die,Ll,,
HAISLA-66-1,HAISLA,Haisla,66,come,"Gan""akw~",,
HAISLA-72-1,HAISLA,Haisla,72,sun,"L""isla",,
HAISLA-74-1,HAISLA,Haisla,74,star,"t""ut""u",,
HAISLA-75-1,HAISLA,Haisla,75,water,"w""ap",,
HAISLA-77-1,HAISLA,Haisla,77,stone,"t""ism",,
HAISLA-82-1,HAISLA,Haisla,82,fire,xw~ltla,,
HAISLA-85-1,HAISLA,Haisla,85,path,"t""lxs",,
HAISLA-86-1,HAISLA,Haisla,86,mountain,n3ge,,
HAISLA-92-1,HAISLA,Haisla,92,night,GanuL,,
HAISLA-95-1,HAISLA,Haisla,95,full,"qut""a",,
HAISLA-96-1,HAISLA,Haisla,96,new,"h""aluL",,
HAISLA-100-1,HAISLA,Haisla,100,name,dunt,,
