ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HATERUMA_YAEYAMA-1-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,1,I,banu,,
HATERUMA_YAEYAMA-2-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,2,you,da,,
HATERUMA_YAEYAMA-3-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,3,we,baima,,
HATERUMA_YAEYAMA-11-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,11,one,p3tuCi,,
HATERUMA_YAEYAMA-12-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,12,two,futac3,,
HATERUMA_YAEYAMA-18-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,18,person,p3tu,,
HATERUMA_YAEYAMA-19-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,19,fish,yu,,
HATERUMA_YAEYAMA-21-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,21,dog,inu,,
HATERUMA_YAEYAMA-22-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,22,louse,saN,,
HATERUMA_YAEYAMA-23-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,23,tree,ki,,
HATERUMA_YAEYAMA-25-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,25,leaf,pa,,
HATERUMA_YAEYAMA-28-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,28,skin,p3sa,,
HATERUMA_YAEYAMA-30-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,30,blood,c3,,
HATERUMA_YAEYAMA-31-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,31,bone,puni,,
HATERUMA_YAEYAMA-34-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,34,horn,Sino,,
HATERUMA_YAEYAMA-39-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,39,ear,misikurumiN,,
HATERUMA_YAEYAMA-40-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,40,eye,miN,,
HATERUMA_YAEYAMA-41-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,41,nose,ph~ana,,
HATERUMA_YAEYAMA-43-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,43,tooth,pan,,
HATERUMA_YAEYAMA-44-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,44,tongue,s3ta,,
HATERUMA_YAEYAMA-47-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,47,knee,panuyuN,,
HATERUMA_YAEYAMA-48-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,48,hand,s3,,
HATERUMA_YAEYAMA-51-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,51,breast,c3,,
HATERUMA_YAEYAMA-54-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,54,drink,numuN,,
HATERUMA_YAEYAMA-57-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,57,see,miruN,,
HATERUMA_YAEYAMA-58-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,58,hear,s3kuN,,
HATERUMA_YAEYAMA-58-2,HATERUMA_YAEYAMA,Hateruma Yaeyama,58,hear,sukuN,,
HATERUMA_YAEYAMA-61-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,61,die,s3nuN,,
HATERUMA_YAEYAMA-66-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,66,come,kuN,,
HATERUMA_YAEYAMA-72-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,72,sun,Sina,,
HATERUMA_YAEYAMA-74-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,74,star,puc3,,
HATERUMA_YAEYAMA-74-2,HATERUMA_YAEYAMA,Hateruma Yaeyama,74,star,pucu,,
HATERUMA_YAEYAMA-75-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,75,water,mic3,,
HATERUMA_YAEYAMA-77-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,77,stone,isi,,
HATERUMA_YAEYAMA-82-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,82,fire,p3,,
HATERUMA_YAEYAMA-85-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,85,path,misuna,,
HATERUMA_YAEYAMA-86-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,86,mountain,yama,,
HATERUMA_YAEYAMA-92-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,92,night,yuru,,
HATERUMA_YAEYAMA-95-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,95,full,mansiN,,
HATERUMA_YAEYAMA-96-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,96,new,memunu,,
HATERUMA_YAEYAMA-100-1,HATERUMA_YAEYAMA,Hateruma Yaeyama,100,name,naN,,
