ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HEYO-1-1,HEYO,Heyo,1,I,wabun,,
HEYO-2-1,HEYO,Heyo,2,you,aye,,
HEYO-3-1,HEYO,Heyo,3,we,apap,,
HEYO-11-1,HEYO,Heyo,11,one,belun,,
HEYO-12-1,HEYO,Heyo,12,two,olow,,
HEYO-18-1,HEYO,Heyo,18,person,nisan,,
HEYO-19-1,HEYO,Heyo,19,fish,yu7wa,,
HEYO-21-1,HEYO,Heyo,21,dog,bata,,
HEYO-22-1,HEYO,Heyo,22,louse,yomata,,
HEYO-23-1,HEYO,Heyo,23,tree,lowa,,
HEYO-25-1,HEYO,Heyo,25,leaf,itapa,,
HEYO-28-1,HEYO,Heyo,28,skin,Erpetea,,
HEYO-30-1,HEYO,Heyo,30,blood,wiyeva,,
HEYO-31-1,HEYO,Heyo,31,bone,yeva,,
HEYO-39-1,HEYO,Heyo,39,ear,raguna,,
HEYO-40-1,HEYO,Heyo,40,eye,nagElga,,
HEYO-41-1,HEYO,Heyo,41,nose,ruweta,,
HEYO-43-1,HEYO,Heyo,43,tooth,bargEta,,
HEYO-44-1,HEYO,Heyo,44,tongue,elgitiva,,
HEYO-48-1,HEYO,Heyo,48,hand,natega,,
HEYO-51-1,HEYO,Heyo,51,breast,bElpa,,
HEYO-53-1,HEYO,Heyo,53,liver,bageta,,
HEYO-54-1,HEYO,Heyo,54,drink,ma,,
HEYO-57-1,HEYO,Heyo,57,see,ata,,
HEYO-61-1,HEYO,Heyo,61,die,awun,,
HEYO-66-1,HEYO,Heyo,66,come,naveg,,
HEYO-72-1,HEYO,Heyo,72,sun,bala7a,,
HEYO-74-1,HEYO,Heyo,74,star,ebuna,,
HEYO-74-2,HEYO,Heyo,74,star,yuwarona,,
HEYO-75-1,HEYO,Heyo,75,water,ibela,,
HEYO-77-1,HEYO,Heyo,77,stone,wutuba,,
HEYO-82-1,HEYO,Heyo,82,fire,yava,,
HEYO-85-1,HEYO,Heyo,85,path,ya7eva,,
HEYO-86-1,HEYO,Heyo,86,mountain,hEl7eva,,
HEYO-92-1,HEYO,Heyo,92,night,vesona,,
HEYO-95-1,HEYO,Heyo,95,full,towur,,
HEYO-96-1,HEYO,Heyo,96,new,yaiyisa,,
HEYO-100-1,HEYO,Heyo,100,name,yowula,,
