ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HITTITE-1-1,HITTITE,Hittite,1,I,uk,,
HITTITE-2-1,HITTITE,Hittite,2,you,sumes,,
HITTITE-3-1,HITTITE,Hittite,3,we,wes,,
HITTITE-11-1,HITTITE,Hittite,11,one,sija,,
HITTITE-12-1,HITTITE,Hittite,12,two,ta,,
HITTITE-18-1,HITTITE,Hittite,18,person,antuhsas,,
HITTITE-23-1,HITTITE,Hittite,23,tree,dar,,
HITTITE-25-1,HITTITE,Hittite,25,leaf,parsdu,,
HITTITE-28-1,HITTITE,Hittite,28,skin,kursa,,
HITTITE-30-1,HITTITE,Hittite,30,blood,eShar,,
HITTITE-31-1,HITTITE,Hittite,31,bone,hastai,,
HITTITE-34-1,HITTITE,Hittite,34,horn,karawar,,
HITTITE-39-1,HITTITE,Hittite,39,ear,istaman,,
HITTITE-40-1,HITTITE,Hittite,40,eye,sakuwa,,
HITTITE-44-1,HITTITE,Hittite,44,tongue,lala,,
HITTITE-47-1,HITTITE,Hittite,47,knee,kenu,,
HITTITE-48-1,HITTITE,Hittite,48,hand,kissar,,
HITTITE-54-1,HITTITE,Hittite,54,drink,ekw~,,
HITTITE-54-2,HITTITE,Hittite,54,drink,akw~,,
HITTITE-57-1,HITTITE,Hittite,57,see,u,,
HITTITE-57-2,HITTITE,Hittite,57,see,au,,
HITTITE-58-1,HITTITE,Hittite,58,hear,istamass,,
HITTITE-61-1,HITTITE,Hittite,61,die,akk,,
HITTITE-66-1,HITTITE,Hittite,66,come,uwa,,
HITTITE-74-1,HITTITE,Hittite,74,star,Sittar,,
HITTITE-75-1,HITTITE,Hittite,75,water,watar,,
HITTITE-75-2,HITTITE,Hittite,75,water,witen,,
HITTITE-82-1,HITTITE,Hittite,82,fire,pahhur,,
HITTITE-85-1,HITTITE,Hittite,85,path,harawa,,
HITTITE-86-1,HITTITE,Hittite,86,mountain,kalmara,,
HITTITE-92-1,HITTITE,Hittite,92,night,ispant,,
HITTITE-96-1,HITTITE,Hittite,96,new,newa,,
HITTITE-100-1,HITTITE,Hittite,100,name,laman,,
