ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HIW-1-1,HIW,Hiw,1,I,noko,,
HIW-2-1,HIW,Hiw,2,you,ik3,,
HIW-3-1,HIW,Hiw,3,we,tit3,,
HIW-11-1,HIW,Hiw,11,one,tuw3,,
HIW-11-2,HIW,Hiw,11,one,bise,,
HIW-12-1,HIW,Hiw,12,two,xo,,
HIW-18-1,HIW,Hiw,18,person,tayE,,
HIW-19-1,HIW,Hiw,19,fish,ex3,,
HIW-22-1,HIW,Hiw,22,louse,xit,,
HIW-23-1,HIW,Hiw,23,tree,xexe,,
HIW-25-1,HIW,Hiw,25,leaf,ti,,
HIW-28-1,HIW,Hiw,28,skin,xiti,,
HIW-30-1,HIW,Hiw,30,blood,taxa,,
HIW-31-1,HIW,Hiw,31,bone,sixi,,
HIW-39-1,HIW,Hiw,39,ear,toiNo,,
HIW-40-1,HIW,Hiw,40,eye,muto,,
HIW-41-1,HIW,Hiw,41,nose,miti,,
HIW-43-1,HIW,Hiw,43,tooth,yiwo,,
HIW-44-1,HIW,Hiw,44,tongue,xamie,,
HIW-47-1,HIW,Hiw,47,knee,xoNo,,
HIW-48-1,HIW,Hiw,48,hand,my~o,,
HIW-51-1,HIW,Hiw,51,breast,tit,,
HIW-53-1,HIW,Hiw,53,liver,wus3,,
HIW-54-1,HIW,Hiw,54,drink,ni,,
HIW-57-1,HIW,Hiw,57,see,ye,,
HIW-58-1,HIW,Hiw,58,hear,xoN,,
HIW-61-1,HIW,Hiw,61,die,met,,
HIW-66-1,HIW,Hiw,66,come,to m3,,
HIW-72-1,HIW,Hiw,72,sun,xi3,,
HIW-74-1,HIW,Hiw,74,star,bti,,
HIW-75-1,HIW,Hiw,75,water,pe,,
HIW-77-1,HIW,Hiw,77,stone,bot,,
HIW-82-1,HIW,Hiw,82,fire,ob,,
HIW-85-1,HIW,Hiw,85,path,xaia,,
HIW-86-1,HIW,Hiw,86,mountain,tuw3,,
HIW-92-1,HIW,Hiw,92,night,yokw~oN,,
HIW-96-1,HIW,Hiw,96,new,xakw~3,,
HIW-100-1,HIW,Hiw,100,name,yo,,
