ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HMU-1-1,HMU,Hmu,1,I,vi,,
HMU-2-1,HMU,Hmu,2,you,mon,,
HMU-3-1,HMU,Hmu,3,we,pi,,
HMU-18-1,HMU,Hmu,18,person,nE,,
HMU-19-1,HMU,Hmu,19,fish,zE,,
HMU-21-1,HMU,Hmu,21,dog,lh~a,,
HMU-22-1,HMU,Hmu,22,louse,kantE,,
HMU-23-1,HMU,Hmu,23,tree,t3,,
HMU-25-1,HMU,Hmu,25,leaf,nu,,
HMU-28-1,HMU,Hmu,28,skin,qatu,,
HMU-30-1,HMU,Hmu,30,blood,Th~n,,
HMU-31-1,HMU,Hmu,31,bone,sh~on,,
HMU-34-1,HMU,Hmu,34,horn,ki,,
HMU-39-1,HMU,Hmu,39,ear,qazE,,
HMU-40-1,HMU,Hmu,40,eye,5h~umE,,
HMU-41-1,HMU,Hmu,41,nose,pozE,,
HMU-43-1,HMU,Hmu,43,tooth,mh~i,,
HMU-44-1,HMU,Hmu,44,tongue,qani,,
HMU-47-1,HMU,Hmu,47,knee,qh~anv3t3,,
HMU-48-1,HMU,Hmu,48,hand,pi,,
HMU-53-1,HMU,Hmu,53,liver,fh~u zE Ton,,
HMU-54-1,HMU,Hmu,54,drink,h3,,
HMU-57-1,HMU,Hmu,57,see,Th~i,,
HMU-58-1,HMU,Hmu,58,hear,nh~an,,
HMU-61-1,HMU,Hmu,61,die,ta,,
HMU-66-1,HMU,Hmu,66,come,lo,,
HMU-72-1,HMU,Hmu,72,sun,nh~E,,
HMU-74-1,HMU,Hmu,74,star,tEqE,,
HMU-77-1,HMU,Hmu,77,stone,xi,,
HMU-82-1,HMU,Hmu,82,fire,tu,,
HMU-85-1,HMU,Hmu,85,path,ki,,
HMU-86-1,HMU,Hmu,86,mountain,qapo,,
HMU-92-1,HMU,Hmu,92,night,Th~imh~am,,
HMU-95-1,HMU,Hmu,95,full,pe,,
HMU-96-1,HMU,Hmu,96,new,xh~i,,
HMU-100-1,HMU,Hmu,100,name,zanpi,,
