ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
HUPA-19-1,HUPA,Hupa,19,fish,"Loq""",,
HUPA-19-2,HUPA,Hupa,19,fish,tonay,,
HUPA-21-1,HUPA,Hupa,21,dog,"LiN""",,
HUPA-22-1,HUPA,Hupa,22,louse,ya7,,
HUPA-23-1,HUPA,Hupa,23,tree,kiN,,
HUPA-25-1,HUPA,Hupa,25,leaf,"mit""aN7",,
HUPA-28-1,HUPA,Hupa,28,skin,"sic""",,
HUPA-30-1,HUPA,Hupa,30,blood,celiN,,
HUPA-31-1,HUPA,Hupa,31,bone,"c""ine7",,
HUPA-31-2,HUPA,Hupa,31,bone,"c""iN7",,
HUPA-34-1,HUPA,Hupa,34,horn,de7,,
HUPA-39-1,HUPA,Hupa,39,ear,"jiw""",,
HUPA-39-2,HUPA,Hupa,39,ear,jiwe7,,
HUPA-40-1,HUPA,Hupa,40,eye,na7,,
HUPA-41-1,HUPA,Hupa,41,nose,nCw$iwh~,,
HUPA-43-1,HUPA,Hupa,43,tooth,wo7,,
HUPA-44-1,HUPA,Hupa,44,tongue,sastan,,
HUPA-47-1,HUPA,Hupa,47,knee,"qot""",,
HUPA-48-1,HUPA,Hupa,48,hand,la7,,
HUPA-51-1,HUPA,Hupa,51,breast,"c""o7",,
HUPA-53-1,HUPA,Hupa,53,liver,"sit""",,
HUPA-54-1,HUPA,Hupa,54,drink,tad3nan,,
HUPA-57-1,HUPA,Hupa,57,see,Lc3s,,
HUPA-57-2,HUPA,Hupa,57,see,Lcan,,
HUPA-61-1,HUPA,Hupa,61,die,"C""iC""it",,
HUPA-72-1,HUPA,Hupa,72,sun,wh~a,,
HUPA-74-1,HUPA,Hupa,74,star,"ciN""",,
HUPA-75-1,HUPA,Hupa,75,water,to,,
HUPA-77-1,HUPA,Hupa,77,stone,ce,,
HUPA-82-1,HUPA,Hupa,82,fire,"xoN""",,
HUPA-85-1,HUPA,Hupa,85,path,tin,,
HUPA-86-1,HUPA,Hupa,86,mountain,ninisan,,
HUPA-92-1,HUPA,Hupa,92,night,"xiL""e7",,
HUPA-92-2,HUPA,Hupa,92,night,"xuL""e7",,
HUPA-100-1,HUPA,Hupa,100,name,xw~owh~e7,,
