ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
INDONESIAN_2-1-1,INDONESIAN_2,Indonesian 2,1,I,zon,,
INDONESIAN_2-2-1,INDONESIAN_2,Indonesian 2,2,you,kamu,,
INDONESIAN_2-3-1,INDONESIAN_2,Indonesian 2,3,we,nen,,
INDONESIAN_2-11-1,INDONESIAN_2,Indonesian 2,11,one,satu,,
INDONESIAN_2-12-1,INDONESIAN_2,Indonesian 2,12,two,dua,,
INDONESIAN_2-18-1,INDONESIAN_2,Indonesian 2,18,person,insan,,
INDONESIAN_2-19-1,INDONESIAN_2,Indonesian 2,19,fish,ikan,,
INDONESIAN_2-21-1,INDONESIAN_2,Indonesian 2,21,dog,anjiN,,
INDONESIAN_2-22-1,INDONESIAN_2,Indonesian 2,22,louse,tuma,,
INDONESIAN_2-23-1,INDONESIAN_2,Indonesian 2,23,tree,pohon,,
INDONESIAN_2-25-1,INDONESIAN_2,Indonesian 2,25,leaf,daun,,
INDONESIAN_2-28-1,INDONESIAN_2,Indonesian 2,28,skin,belulaN,,
INDONESIAN_2-30-1,INDONESIAN_2,Indonesian 2,30,blood,darah,,
INDONESIAN_2-31-1,INDONESIAN_2,Indonesian 2,31,bone,tulaN,,
INDONESIAN_2-34-1,INDONESIAN_2,Indonesian 2,34,horn,tanduk,,
INDONESIAN_2-39-1,INDONESIAN_2,Indonesian 2,39,ear,kupiN,,
INDONESIAN_2-40-1,INDONESIAN_2,Indonesian 2,40,eye,mata,,
INDONESIAN_2-41-1,INDONESIAN_2,Indonesian 2,41,nose,hiduN,,
INDONESIAN_2-43-1,INDONESIAN_2,Indonesian 2,43,tooth,gigi,,
INDONESIAN_2-44-1,INDONESIAN_2,Indonesian 2,44,tongue,lidah,,
INDONESIAN_2-47-1,INDONESIAN_2,Indonesian 2,47,knee,lutut,,
INDONESIAN_2-48-1,INDONESIAN_2,Indonesian 2,48,hand,taNan,,
INDONESIAN_2-51-1,INDONESIAN_2,Indonesian 2,51,breast,payudara,,
INDONESIAN_2-53-1,INDONESIAN_2,Indonesian 2,53,liver,hati,,
INDONESIAN_2-54-1,INDONESIAN_2,Indonesian 2,54,drink,minum,,
INDONESIAN_2-57-1,INDONESIAN_2,Indonesian 2,57,see,melihat,,
INDONESIAN_2-58-1,INDONESIAN_2,Indonesian 2,58,hear,mendeNar,,
INDONESIAN_2-61-1,INDONESIAN_2,Indonesian 2,61,die,mati,,
INDONESIAN_2-66-1,INDONESIAN_2,Indonesian 2,66,come,dataN,,
INDONESIAN_2-72-1,INDONESIAN_2,Indonesian 2,72,sun,matahari,,
INDONESIAN_2-72-2,INDONESIAN_2,Indonesian 2,72,sun,mentari,,
INDONESIAN_2-74-1,INDONESIAN_2,Indonesian 2,74,star,bintaN,,
INDONESIAN_2-75-1,INDONESIAN_2,Indonesian 2,75,water,air,,
INDONESIAN_2-77-1,INDONESIAN_2,Indonesian 2,77,stone,batu,,
INDONESIAN_2-82-1,INDONESIAN_2,Indonesian 2,82,fire,api,,
INDONESIAN_2-85-1,INDONESIAN_2,Indonesian 2,85,path,jalaN,,
INDONESIAN_2-86-1,INDONESIAN_2,Indonesian 2,86,mountain,bukit,,
INDONESIAN_2-92-1,INDONESIAN_2,Indonesian 2,92,night,malam,,
INDONESIAN_2-95-1,INDONESIAN_2,Indonesian 2,95,full,penuh,,
INDONESIAN_2-96-1,INDONESIAN_2,Indonesian 2,96,new,baru,,
INDONESIAN_2-100-1,INDONESIAN_2,Indonesian 2,100,name,nama,,
