ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
INDUS_KOHISTANI-19-1,INDUS_KOHISTANI,Indus Kohistani,19,fish,chim,,
INDUS_KOHISTANI-21-1,INDUS_KOHISTANI,Indus Kohistani,21,dog,kucor,,
INDUS_KOHISTANI-21-2,INDUS_KOHISTANI,Indus Kohistani,21,dog,kukh~,,
INDUS_KOHISTANI-22-1,INDUS_KOHISTANI,Indus Kohistani,22,louse,zui,,
INDUS_KOHISTANI-22-2,INDUS_KOHISTANI,Indus Kohistani,22,louse,lh~is,,
INDUS_KOHISTANI-25-1,INDUS_KOHISTANI,Indus Kohistani,25,leaf,pond,,
INDUS_KOHISTANI-28-1,INDUS_KOHISTANI,Indus Kohistani,28,skin,com,,
INDUS_KOHISTANI-28-2,INDUS_KOHISTANI,Indus Kohistani,28,skin,path~,,
INDUS_KOHISTANI-30-1,INDUS_KOHISTANI,Indus Kohistani,30,blood,roth~,,
INDUS_KOHISTANI-31-1,INDUS_KOHISTANI,Indus Kohistani,31,bone,hor,,
INDUS_KOHISTANI-34-1,INDUS_KOHISTANI,Indus Kohistani,34,horn,Sing,,
INDUS_KOHISTANI-39-1,INDUS_KOHISTANI,Indus Kohistani,39,ear,kan,,
INDUS_KOHISTANI-40-1,INDUS_KOHISTANI,Indus Kohistani,40,eye,oych~i,,
INDUS_KOHISTANI-40-2,INDUS_KOHISTANI,Indus Kohistani,40,eye,ach~,,
INDUS_KOHISTANI-43-1,INDUS_KOHISTANI,Indus Kohistani,43,tooth,dan,,
INDUS_KOHISTANI-44-1,INDUS_KOHISTANI,Indus Kohistani,44,tongue,zib,,
INDUS_KOHISTANI-47-1,INDUS_KOHISTANI,Indus Kohistani,47,knee,kuth~,,
INDUS_KOHISTANI-48-1,INDUS_KOHISTANI,Indus Kohistani,48,hand,ha,,
INDUS_KOHISTANI-51-1,INDUS_KOHISTANI,Indus Kohistani,51,breast,hil,,
INDUS_KOHISTANI-53-1,INDUS_KOHISTANI,Indus Kohistani,53,liver,Sur,,
INDUS_KOHISTANI-54-1,INDUS_KOHISTANI,Indus Kohistani,54,drink,puyov,,
INDUS_KOHISTANI-58-1,INDUS_KOHISTANI,Indus Kohistani,58,hear,Suyov,,
INDUS_KOHISTANI-61-1,INDUS_KOHISTANI,Indus Kohistani,61,die,marov,,
INDUS_KOHISTANI-61-2,INDUS_KOHISTANI,Indus Kohistani,61,die,dam diyov,,
INDUS_KOHISTANI-66-1,INDUS_KOHISTANI,Indus Kohistani,66,come,iav,,
INDUS_KOHISTANI-74-1,INDUS_KOHISTANI,Indus Kohistani,74,star,tar,,
INDUS_KOHISTANI-75-1,INDUS_KOHISTANI,Indus Kohistani,75,water,vi,,
INDUS_KOHISTANI-77-1,INDUS_KOHISTANI,Indus Kohistani,77,stone,both~,,
INDUS_KOHISTANI-82-1,INDUS_KOHISTANI,Indus Kohistani,82,fire,ongar,,
INDUS_KOHISTANI-82-2,INDUS_KOHISTANI,Indus Kohistani,82,fire,ur,,
INDUS_KOHISTANI-85-1,INDUS_KOHISTANI,Indus Kohistani,85,path,pan,,
INDUS_KOHISTANI-86-1,INDUS_KOHISTANI,Indus Kohistani,86,mountain,khan,,
INDUS_KOHISTANI-92-1,INDUS_KOHISTANI,Indus Kohistani,92,night,rol,,
INDUS_KOHISTANI-95-1,INDUS_KOHISTANI,Indus Kohistani,95,full,cupel,,
INDUS_KOHISTANI-95-2,INDUS_KOHISTANI,Indus Kohistani,95,full,sar,,
INDUS_KOHISTANI-96-1,INDUS_KOHISTANI,Indus Kohistani,96,new,noyov,,
INDUS_KOHISTANI-96-2,INDUS_KOHISTANI,Indus Kohistani,96,new,nov,,
