ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
IXCATEC-1-1,IXCATEC,Ixcatec,1,I,inana,,
IXCATEC-2-1,IXCATEC,Ixcatec,2,you,ila,,
IXCATEC-3-1,IXCATEC,Ixcatec,3,we,ni,,
IXCATEC-11-1,IXCATEC,Ixcatec,11,one,hngu,,
IXCATEC-12-1,IXCATEC,Ixcatec,12,two,yuhu,,
IXCATEC-19-1,IXCATEC,Ixcatec,19,fish,Cee,,
IXCATEC-21-1,IXCATEC,Ixcatec,21,dog,ni5a,,
IXCATEC-22-1,IXCATEC,Ixcatec,22,louse,Ce,,
IXCATEC-23-1,IXCATEC,Ixcatec,23,tree,yaa,,
IXCATEC-25-1,IXCATEC,Ixcatec,25,leaf,Ska,,
IXCATEC-28-1,IXCATEC,Ixcatec,28,skin,ruwa,,
IXCATEC-30-1,IXCATEC,Ixcatec,30,blood,hi*,,
IXCATEC-31-1,IXCATEC,Ixcatec,31,bone,indy~a,,
IXCATEC-34-1,IXCATEC,Ixcatec,34,horn,indy~askeeba,,
IXCATEC-39-1,IXCATEC,Ixcatec,39,ear,rachu*,,
IXCATEC-40-1,IXCATEC,Ixcatec,40,eye,ty~uSku*,,
IXCATEC-41-1,IXCATEC,Ixcatec,41,nose,City~hu*,,
IXCATEC-43-1,IXCATEC,Ixcatec,43,tooth,na5u,,
IXCATEC-44-1,IXCATEC,Ixcatec,44,tongue,ni*h5e*,,
IXCATEC-47-1,IXCATEC,Ixcatec,47,knee,C7i,,
IXCATEC-48-1,IXCATEC,Ixcatec,48,hand,rha,,
IXCATEC-51-1,IXCATEC,Ixcatec,51,breast,cu,,
IXCATEC-53-1,IXCATEC,Ixcatec,53,liver,aku*,,
IXCATEC-54-1,IXCATEC,Ixcatec,54,drink,f7i,,
IXCATEC-54-2,IXCATEC,Ixcatec,54,drink,ting~i7e,,
IXCATEC-57-1,IXCATEC,Ixcatec,57,see,biSku*,,
IXCATEC-57-2,IXCATEC,Ixcatec,57,see,f7iSku*,,
IXCATEC-58-1,IXCATEC,Ixcatec,58,hear,mi7e,,
IXCATEC-61-1,IXCATEC,Ixcatec,61,die,me,,
IXCATEC-61-2,IXCATEC,Ixcatec,61,die,me*,,
IXCATEC-66-1,IXCATEC,Ixcatec,66,come,bi7i,,
IXCATEC-66-2,IXCATEC,Ixcatec,66,come,f7i,,
IXCATEC-72-1,IXCATEC,Ixcatec,72,sun,Caku,,
IXCATEC-74-1,IXCATEC,Ixcatec,74,star,uce,,
IXCATEC-75-1,IXCATEC,Ixcatec,75,water,ind~a,,
IXCATEC-77-1,IXCATEC,Ixcatec,77,stone,Su,,
IXCATEC-82-1,IXCATEC,Ixcatec,82,fire,S7wi,,
IXCATEC-85-1,IXCATEC,Ixcatec,85,path,nd~iya,,
IXCATEC-86-1,IXCATEC,Ixcatec,86,mountain,h5a,,
IXCATEC-95-1,IXCATEC,Ixcatec,95,full,siSte,,
IXCATEC-100-1,IXCATEC,Ixcatec,100,name,5ee,,
