ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
J31c_BUKUSU-11-1,J31c_BUKUSU,J31c Bukusu,11,one,dada,,
J31c_BUKUSU-11-2,J31c_BUKUSU,J31c Bukusu,11,one,lala,,
J31c_BUKUSU-12-1,J31c_BUKUSU,J31c Bukusu,12,two,bidi,,
J31c_BUKUSU-12-2,J31c_BUKUSU,J31c Bukusu,12,two,bili,,
J31c_BUKUSU-18-1,J31c_BUKUSU,J31c Bukusu,18,person,ndu,,
J31c_BUKUSU-19-1,J31c_BUKUSU,J31c Bukusu,19,fish,keni,,
J31c_BUKUSU-21-1,J31c_BUKUSU,J31c Bukusu,21,dog,bua,,
J31c_BUKUSU-21-2,J31c_BUKUSU,J31c Bukusu,21,dog,bwa,,
J31c_BUKUSU-22-1,J31c_BUKUSU,J31c Bukusu,22,louse,tapa,,
J31c_BUKUSU-22-2,J31c_BUKUSU,J31c Bukusu,22,louse,nda,,
J31c_BUKUSU-23-1,J31c_BUKUSU,J31c Bukusu,23,tree,sala,,
J31c_BUKUSU-23-2,J31c_BUKUSU,J31c Bukusu,23,tree,loNgolo,,
J31c_BUKUSU-25-1,J31c_BUKUSU,J31c Bukusu,25,leaf,safu,,
J31c_BUKUSU-28-1,J31c_BUKUSU,J31c Bukusu,28,skin,xoba,,
J31c_BUKUSU-30-1,J31c_BUKUSU,J31c Bukusu,30,blood,fuki,,
J31c_BUKUSU-31-1,J31c_BUKUSU,J31c Bukusu,31,bone,kumba,,
J31c_BUKUSU-31-2,J31c_BUKUSU,J31c Bukusu,31,bone,gumba,,
J31c_BUKUSU-34-1,J31c_BUKUSU,J31c Bukusu,34,horn,xombi,,
J31c_BUKUSU-34-2,J31c_BUKUSU,J31c Bukusu,34,horn,lwika,,
J31c_BUKUSU-39-1,J31c_BUKUSU,J31c Bukusu,39,ear,ru,,
J31c_BUKUSU-40-1,J31c_BUKUSU,J31c Bukusu,40,eye,bon,,
J31c_BUKUSU-40-2,J31c_BUKUSU,J31c Bukusu,40,eye,mon,,
J31c_BUKUSU-41-1,J31c_BUKUSU,J31c Bukusu,41,nose,lyolu,,
J31c_BUKUSU-43-1,J31c_BUKUSU,J31c Bukusu,43,tooth,jino,,
J31c_BUKUSU-43-2,J31c_BUKUSU,J31c Bukusu,43,tooth,lino,,
J31c_BUKUSU-44-1,J31c_BUKUSU,J31c Bukusu,44,tongue,dimi,,
J31c_BUKUSU-44-2,J31c_BUKUSU,J31c Bukusu,44,tongue,limi,,
J31c_BUKUSU-47-1,J31c_BUKUSU,J31c Bukusu,47,knee,sigam,,
J31c_BUKUSU-47-2,J31c_BUKUSU,J31c Bukusu,47,knee,sikam,,
J31c_BUKUSU-48-1,J31c_BUKUSU,J31c Bukusu,48,hand,xono,,
J31c_BUKUSU-51-1,J31c_BUKUSU,J31c Bukusu,51,breast,bede,,
J31c_BUKUSU-51-2,J31c_BUKUSU,J31c Bukusu,51,breast,bele,,
J31c_BUKUSU-53-1,J31c_BUKUSU,J31c Bukusu,53,liver,ni,,
J31c_BUKUSU-54-1,J31c_BUKUSU,J31c Bukusu,54,drink,5o,,
J31c_BUKUSU-57-1,J31c_BUKUSU,J31c Bukusu,57,see,bon,,
J31c_BUKUSU-58-1,J31c_BUKUSU,J31c Bukusu,58,hear,pudid,,
J31c_BUKUSU-61-1,J31c_BUKUSU,J31c Bukusu,61,die,fu,,
J31c_BUKUSU-66-1,J31c_BUKUSU,J31c Bukusu,66,come,jiT,,
J31c_BUKUSU-72-1,J31c_BUKUSU,J31c Bukusu,72,sun,5aNga,,
J31c_BUKUSU-74-1,J31c_BUKUSU,J31c Bukusu,74,star,geniesi,,
J31c_BUKUSU-75-1,J31c_BUKUSU,J31c Bukusu,75,water,jiTi,,
J31c_BUKUSU-75-2,J31c_BUKUSU,J31c Bukusu,75,water,meTi,,
J31c_BUKUSU-75-3,J31c_BUKUSU,J31c Bukusu,75,water,luTi,,
J31c_BUKUSU-77-1,J31c_BUKUSU,J31c Bukusu,77,stone,bade,,
J31c_BUKUSU-77-2,J31c_BUKUSU,J31c Bukusu,77,stone,bale,,
J31c_BUKUSU-82-1,J31c_BUKUSU,J31c Bukusu,82,fire,dido,,
J31c_BUKUSU-82-2,J31c_BUKUSU,J31c Bukusu,82,fire,lilo,,
J31c_BUKUSU-85-1,J31c_BUKUSU,J31c Bukusu,85,path,gida,,
J31c_BUKUSU-85-2,J31c_BUKUSU,J31c Bukusu,85,path,gila,,
J31c_BUKUSU-86-1,J31c_BUKUSU,J31c Bukusu,86,mountain,gudu,,
J31c_BUKUSU-86-2,J31c_BUKUSU,J31c Bukusu,86,mountain,kulu,,
J31c_BUKUSU-92-1,J31c_BUKUSU,J31c Bukusu,92,night,do,,
J31c_BUKUSU-92-2,J31c_BUKUSU,J31c Bukusu,92,night,lo,,
J31c_BUKUSU-95-1,J31c_BUKUSU,J31c Bukusu,95,full,jiTud,,
J31c_BUKUSU-96-1,J31c_BUKUSU,J31c Bukusu,96,new,piaxa,,
J31c_BUKUSU-100-1,J31c_BUKUSU,J31c Bukusu,100,name,sina,,
