ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
J321_MARAMA-11-1,J321_MARAMA,J321 Marama,11,one,lala,,
J321_MARAMA-12-1,J321_MARAMA,J321 Marama,12,two,bili,,
J321_MARAMA-18-1,J321_MARAMA,J321 Marama,18,person,ndu,,
J321_MARAMA-19-1,J321_MARAMA,J321 Marama,19,fish,nyeni,,
J321_MARAMA-21-1,J321_MARAMA,J321 Marama,21,dog,bwa,,
J321_MARAMA-22-1,J321_MARAMA,J321 Marama,22,louse,nda,,
J321_MARAMA-23-1,J321_MARAMA,J321 Marama,23,tree,sala,,
J321_MARAMA-25-1,J321_MARAMA,J321 Marama,25,leaf,safu,,
J321_MARAMA-28-1,J321_MARAMA,J321 Marama,28,skin,sero,,
J321_MARAMA-30-1,J321_MARAMA,J321 Marama,30,blood,cayi,,
J321_MARAMA-31-1,J321_MARAMA,J321 Marama,31,bone,kumba,,
J321_MARAMA-39-1,J321_MARAMA,J321 Marama,39,ear,rwi,,
J321_MARAMA-40-1,J321_MARAMA,J321 Marama,40,eye,moni,,
J321_MARAMA-41-1,J321_MARAMA,J321 Marama,41,nose,ulu,,
J321_MARAMA-43-1,J321_MARAMA,J321 Marama,43,tooth,ino,,
J321_MARAMA-44-1,J321_MARAMA,J321 Marama,44,tongue,limi,,
J321_MARAMA-53-1,J321_MARAMA,J321 Marama,53,liver,kurumani,,
J321_MARAMA-54-1,J321_MARAMA,J321 Marama,54,drink,nywa,,
J321_MARAMA-57-1,J321_MARAMA,J321 Marama,57,see,lola,,
J321_MARAMA-58-1,J321_MARAMA,J321 Marama,58,hear,hulila,,
J321_MARAMA-61-1,J321_MARAMA,J321 Marama,61,die,fwa,,
J321_MARAMA-66-1,J321_MARAMA,J321 Marama,66,come,ica,,
J321_MARAMA-72-1,J321_MARAMA,J321 Marama,72,sun,ura,,
J321_MARAMA-74-1,J321_MARAMA,J321 Marama,74,star,ng,,
J321_MARAMA-75-1,J321_MARAMA,J321 Marama,75,water,ci,,
J321_MARAMA-77-1,J321_MARAMA,J321 Marama,77,stone,Cina,,
J321_MARAMA-77-2,J321_MARAMA,J321 Marama,77,stone,bale,,
J321_MARAMA-82-1,J321_MARAMA,J321 Marama,82,fire,liro,,
J321_MARAMA-85-1,J321_MARAMA,J321 Marama,85,path,handa,,
J321_MARAMA-86-1,J321_MARAMA,J321 Marama,86,mountain,kulu,,
J321_MARAMA-92-1,J321_MARAMA,J321 Marama,92,night,lo,,
J321_MARAMA-96-1,J321_MARAMA,J321 Marama,96,new,hiya,,
J321_MARAMA-100-1,J321_MARAMA,J321 Marama,100,name,ira,,
