ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
J52_HAVU_2-11-1,J52_HAVU_2,J52 Havu 2,11,one,guma,,
J52_HAVU_2-12-1,J52_HAVU_2,J52 Havu 2,12,two,biri,,
J52_HAVU_2-18-1,J52_HAVU_2,J52 Havu 2,18,person,ntu,,
J52_HAVU_2-19-1,J52_HAVU_2,J52 Havu 2,19,fish,fi,,
J52_HAVU_2-21-1,J52_HAVU_2,J52 Havu 2,21,dog,bwa,,
J52_HAVU_2-22-1,J52_HAVU_2,J52 Havu 2,22,louse,sirhu,,
J52_HAVU_2-23-1,J52_HAVU_2,J52 Havu 2,23,tree,rhi,,
J52_HAVU_2-25-1,J52_HAVU_2,J52 Havu 2,25,leaf,babi,,
J52_HAVU_2-28-1,J52_HAVU_2,J52 Havu 2,28,skin,biri,,
J52_HAVU_2-30-1,J52_HAVU_2,J52 Havu 2,30,blood,Sagama,,
J52_HAVU_2-31-1,J52_HAVU_2,J52 Havu 2,31,bone,vuha,,
J52_HAVU_2-31-2,J52_HAVU_2,J52 Havu 2,31,bone,gufa,,
J52_HAVU_2-34-1,J52_HAVU_2,J52 Havu 2,34,horn,hembi,,
J52_HAVU_2-39-1,J52_HAVU_2,J52 Havu 2,39,ear,rhwi,,
J52_HAVU_2-40-1,J52_HAVU_2,J52 Havu 2,40,eye,iSo,,
J52_HAVU_2-40-2,J52_HAVU_2,J52 Havu 2,40,eye,esu,,
J52_HAVU_2-41-1,J52_HAVU_2,J52 Havu 2,41,nose,zulu,,
J52_HAVU_2-43-1,J52_HAVU_2,J52 Havu 2,43,tooth,inyo,,
J52_HAVU_2-44-1,J52_HAVU_2,J52 Havu 2,44,tongue,limi,,
J52_HAVU_2-44-2,J52_HAVU_2,J52 Havu 2,44,tongue,olu,,
J52_HAVU_2-44-3,J52_HAVU_2,J52 Havu 2,44,tongue,dimi,,
J52_HAVU_2-47-1,J52_HAVU_2,J52 Havu 2,47,knee,vi,,
J52_HAVU_2-51-1,J52_HAVU_2,J52 Havu 2,51,breast,bere,,
J52_HAVU_2-53-1,J52_HAVU_2,J52 Havu 2,53,liver,diku,,
J52_HAVU_2-54-1,J52_HAVU_2,J52 Havu 2,54,drink,nywa,,
J52_HAVU_2-57-1,J52_HAVU_2,J52 Havu 2,57,see,bona,,
J52_HAVU_2-58-1,J52_HAVU_2,J52 Havu 2,58,hear,yumva,,
J52_HAVU_2-61-1,J52_HAVU_2,J52 Havu 2,61,die,fa,,
J52_HAVU_2-66-1,J52_HAVU_2,J52 Havu 2,66,come,yinja,,
J52_HAVU_2-72-1,J52_HAVU_2,J52 Havu 2,72,sun,zuba,,
J52_HAVU_2-74-1,J52_HAVU_2,J52 Havu 2,74,star,nyenyezi,,
J52_HAVU_2-75-1,J52_HAVU_2,J52 Havu 2,75,water,inji,,
J52_HAVU_2-77-1,J52_HAVU_2,J52 Havu 2,77,stone,bale,,
J52_HAVU_2-82-1,J52_HAVU_2,J52 Havu 2,82,fire,liro,,
J52_HAVU_2-85-1,J52_HAVU_2,J52 Havu 2,85,path,jira,,
J52_HAVU_2-86-1,J52_HAVU_2,J52 Havu 2,86,mountain,sozi,,
J52_HAVU_2-92-1,J52_HAVU_2,J52 Havu 2,92,night,dufu,,
J52_HAVU_2-92-2,J52_HAVU_2,J52 Havu 2,92,night,juku,,
J52_HAVU_2-95-1,J52_HAVU_2,J52 Havu 2,95,full,yunjwire,,
J52_HAVU_2-96-1,J52_HAVU_2,J52 Havu 2,96,new,hyahya,,
J52_HAVU_2-100-1,J52_HAVU_2,J52 Havu 2,100,name,zina,,
J52_HAVU_2-100-2,J52_HAVU_2,J52 Havu 2,100,name,zino,,
