ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JANJERO-1-1,JANJERO,Janjero,1,I,ta,,
JANJERO-2-1,JANJERO,Janjero,2,you,ne,,
JANJERO-3-1,JANJERO,Janjero,3,we,ino,,
JANJERO-11-1,JANJERO,Janjero,11,one,ison,,
JANJERO-12-1,JANJERO,Janjero,12,two,hEp,,
JANJERO-18-1,JANJERO,Janjero,18,person,asu,,
JANJERO-19-1,JANJERO,Janjero,19,fish,"k""urtumi",,
JANJERO-21-1,JANJERO,Janjero,21,dog,kana,,
JANJERO-22-1,JANJERO,Janjero,22,louse,tu7a,,
JANJERO-23-1,JANJERO,Janjero,23,tree,i7y~o,,
JANJERO-25-1,JANJERO,Janjero,25,leaf,toSa,,
JANJERO-28-1,JANJERO,Janjero,28,skin,gogo,,
JANJERO-30-1,JANJERO,Janjero,30,blood,ana,,
JANJERO-30-2,JANJERO,Janjero,30,blood,hana,,
JANJERO-31-1,JANJERO,Janjero,31,bone,megE,,
JANJERO-34-1,JANJERO,Janjero,34,horn,k3la,,
JANJERO-39-1,JANJERO,Janjero,39,ear,odo,,
JANJERO-40-1,JANJERO,Janjero,40,eye,afa,,
JANJERO-41-1,JANJERO,Janjero,41,nose,siya,,
JANJERO-43-1,JANJERO,Janjero,43,tooth,a7y~a,,
JANJERO-44-1,JANJERO,Janjero,44,tongue,tEr3ma,,
JANJERO-44-2,JANJERO,Janjero,44,tongue,tErma,,
JANJERO-47-1,JANJERO,Janjero,47,knee,ke7a,,
JANJERO-48-1,JANJERO,Janjero,48,hand,kuSu,,
JANJERO-51-1,JANJERO,Janjero,51,breast,tama,,
JANJERO-53-1,JANJERO,Janjero,53,liver,zogara,,
JANJERO-54-1,JANJERO,Janjero,54,drink,uSuwa,,
JANJERO-57-1,JANJERO,Janjero,57,see,biwa,,
JANJERO-58-1,JANJERO,Janjero,58,hear,odowa,,
JANJERO-61-1,JANJERO,Janjero,61,die,kitu,,
JANJERO-66-1,JANJERO,Janjero,66,come,iyowa,,
JANJERO-72-1,JANJERO,Janjero,72,sun,awa,,
JANJERO-74-1,JANJERO,Janjero,74,star,bakura,,
JANJERO-75-1,JANJERO,Janjero,75,water,aka,,
JANJERO-77-1,JANJERO,Janjero,77,stone,Su7w~a,,
JANJERO-77-2,JANJERO,Janjero,77,stone,Su7a,,
JANJERO-82-1,JANJERO,Janjero,82,fire,geya,,
JANJERO-85-1,JANJERO,Janjero,85,path,og3na,,
JANJERO-85-2,JANJERO,Janjero,85,path,ogna,,
JANJERO-86-1,JANJERO,Janjero,86,mountain,kuma,,
JANJERO-92-1,JANJERO,Janjero,92,night,wala,,
JANJERO-96-1,JANJERO,Janjero,96,new,gEdo,,
JANJERO-100-1,JANJERO,Janjero,100,name,suna,,
