ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JAQARU-1-1,JAQARU,Jaqaru,1,I,na,,
JAQARU-2-1,JAQARU,Jaqaru,2,you,xuma,,
JAQARU-3-1,JAQARU,Jaqaru,3,we,xiwsa,,
JAQARU-11-1,JAQARU,Jaqaru,11,one,maya,,
JAQARU-12-1,JAQARU,Jaqaru,12,two,paxa,,
JAQARU-12-2,JAQARU,Jaqaru,12,two,pani,,
JAQARU-18-1,JAQARU,Jaqaru,18,person,xaqi,,
JAQARU-19-1,JAQARU,Jaqaru,19,fish,TaLwa,,
JAQARU-21-1,JAQARU,Jaqaru,21,dog,xaLqu,,
JAQARU-22-1,JAQARU,Jaqaru,22,louse,"nap""a",,
JAQARU-23-1,JAQARU,Jaqaru,23,tree,arbuli,,
JAQARU-23-2,JAQARU,Jaqaru,23,tree,munti,,
JAQARU-25-1,JAQARU,Jaqaru,25,leaf,naph~ra,,
JAQARU-28-1,JAQARU,Jaqaru,28,skin,qara,,
JAQARU-30-1,JAQARU,Jaqaru,30,blood,wila,,
JAQARU-31-1,JAQARU,Jaqaru,31,bone,"c""aka",,
JAQARU-34-1,JAQARU,Jaqaru,34,horn,waxra,,
JAQARU-39-1,JAQARU,Jaqaru,39,ear,xinTu,,
JAQARU-40-1,JAQARU,Jaqaru,40,eye,nayra,,
JAQARU-41-1,JAQARU,Jaqaru,41,nose,nasa,,
JAQARU-43-1,JAQARU,Jaqaru,43,tooth,Simi,,
JAQARU-44-1,JAQARU,Jaqaru,44,tongue,naxra,,
JAQARU-47-1,JAQARU,Jaqaru,47,knee,qh~unquru,,
JAQARU-47-2,JAQARU,Jaqaru,47,knee,quLuLu,,
JAQARU-48-1,JAQARU,Jaqaru,48,hand,ampara,,
JAQARU-51-1,JAQARU,Jaqaru,51,breast,5u5u,,
JAQARU-53-1,JAQARU,Jaqaru,53,liver,"k""ipca",,
JAQARU-53-2,JAQARU,Jaqaru,53,liver,"k""ipTa",,
JAQARU-54-1,JAQARU,Jaqaru,54,drink,uma,,
JAQARU-54-2,JAQARU,Jaqaru,54,drink,"umt""a",,
JAQARU-57-1,JAQARU,Jaqaru,57,see,iLa,,
JAQARU-58-1,JAQARU,Jaqaru,58,hear,iSapa,,
JAQARU-61-1,JAQARU,Jaqaru,61,die,xiwa,,
JAQARU-61-2,JAQARU,Jaqaru,61,die,wixTiSi,,
JAQARU-66-1,JAQARU,Jaqaru,66,come,uxta,,
JAQARU-72-1,JAQARU,Jaqaru,72,sun,inti,,
JAQARU-72-2,JAQARU,Jaqaru,72,sun,"nup""i",,
JAQARU-74-1,JAQARU,Jaqaru,74,star,waraxa,,
JAQARU-75-1,JAQARU,Jaqaru,75,water,uma,,
JAQARU-77-1,JAQARU,Jaqaru,77,stone,qala,,
JAQARU-82-1,JAQARU,Jaqaru,82,fire,nina,,
JAQARU-85-1,JAQARU,Jaqaru,85,path,thaki,,
JAQARU-86-1,JAQARU,Jaqaru,86,mountain,qaqa,,
JAQARU-86-2,JAQARU,Jaqaru,86,mountain,urqu,,
JAQARU-92-1,JAQARU,Jaqaru,92,night,aruma,,
JAQARU-92-2,JAQARU,Jaqaru,92,night,"T""ama",,
JAQARU-95-1,JAQARU,Jaqaru,95,full,ph~uqa,,
JAQARU-96-1,JAQARU,Jaqaru,96,new,maTaqa,,
JAQARU-100-1,JAQARU,Jaqaru,100,name,SuCi,,
