ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JICALTEPEC_MIXTEC-1-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,1,I,yu7u,,
JICALTEPEC_MIXTEC-1-2,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,1,I,i,,
JICALTEPEC_MIXTEC-2-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,2,you,yo7o,,
JICALTEPEC_MIXTEC-2-2,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,2,you,ku,,
JICALTEPEC_MIXTEC-3-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,3,we,yo,,
JICALTEPEC_MIXTEC-3-2,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,3,we,di,,
JICALTEPEC_MIXTEC-11-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,11,one,i,,
JICALTEPEC_MIXTEC-12-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,12,two,uwi,,
JICALTEPEC_MIXTEC-18-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,18,person,rai,,
JICALTEPEC_MIXTEC-21-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,21,dog,ina,,
JICALTEPEC_MIXTEC-22-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,22,louse,tu7u,,
JICALTEPEC_MIXTEC-23-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,23,tree,yutu,,
JICALTEPEC_MIXTEC-28-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,28,skin,5i,,
JICALTEPEC_MIXTEC-30-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,30,blood,nini,,
JICALTEPEC_MIXTEC-34-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,34,horn,diki,,
JICALTEPEC_MIXTEC-39-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,39,ear,so7o,,
JICALTEPEC_MIXTEC-41-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,41,nose,Siti,,
JICALTEPEC_MIXTEC-43-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,43,tooth,nu7u,,
JICALTEPEC_MIXTEC-44-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,44,tongue,ya,,
JICALTEPEC_MIXTEC-48-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,48,hand,da7a,,
JICALTEPEC_MIXTEC-51-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,51,breast,dika,,
JICALTEPEC_MIXTEC-54-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,54,drink,Tini,,
JICALTEPEC_MIXTEC-57-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,57,see,de7e,,
JICALTEPEC_MIXTEC-61-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,61,die,kuwi,,
JICALTEPEC_MIXTEC-61-2,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,61,die,Ti7i,,
JICALTEPEC_MIXTEC-66-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,66,come,kiTi,,
JICALTEPEC_MIXTEC-66-2,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,66,come,waTi,,
JICALTEPEC_MIXTEC-72-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,72,sun,nikadi,,
JICALTEPEC_MIXTEC-74-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,74,star,tinu,,
JICALTEPEC_MIXTEC-75-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,75,water,duta,,
JICALTEPEC_MIXTEC-77-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,77,stone,yu,,
JICALTEPEC_MIXTEC-85-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,85,path,iti,,
JICALTEPEC_MIXTEC-86-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,86,mountain,yuku,,
JICALTEPEC_MIXTEC-96-1,JICALTEPEC_MIXTEC,Jicaltepec Mixtec,96,new,Ta,,
