ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JINDUN_BAI-1-1,JINDUN_BAI,Jindun Bai,1,I,No,,
JINDUN_BAI-2-1,JINDUN_BAI,Jindun Bai,2,you,Na,,
JINDUN_BAI-3-1,JINDUN_BAI,Jindun Bai,3,we,sy~i,,
JINDUN_BAI-11-1,JINDUN_BAI,Jindun Bai,11,one,yi,,
JINDUN_BAI-12-1,JINDUN_BAI,Jindun Bai,12,two,cu,,
JINDUN_BAI-18-1,JINDUN_BAI,Jindun Bai,18,person,th~u,,
JINDUN_BAI-19-1,JINDUN_BAI,Jindun Bai,19,fish,u*,,
JINDUN_BAI-21-1,JINDUN_BAI,Jindun Bai,21,dog,khw$a*,,
JINDUN_BAI-22-1,JINDUN_BAI,Jindun Bai,22,louse,sy~i,,
JINDUN_BAI-25-1,JINDUN_BAI,Jindun Bai,25,leaf,sh~e,,
JINDUN_BAI-30-1,JINDUN_BAI,Jindun Bai,30,blood,sh~wa,,
JINDUN_BAI-31-1,JINDUN_BAI,Jindun Bai,31,bone,kw~a tu,,
JINDUN_BAI-34-1,JINDUN_BAI,Jindun Bai,34,horn,kw~o,,
JINDUN_BAI-39-1,JINDUN_BAI,Jindun Bai,39,ear,5i to*,,
JINDUN_BAI-40-1,JINDUN_BAI,Jindun Bai,40,eye,we*,,
JINDUN_BAI-41-1,JINDUN_BAI,Jindun Bai,41,nose,wo tu,,
JINDUN_BAI-42-1,JINDUN_BAI,Jindun Bai,42,mouth,ch~i pa,,
JINDUN_BAI-43-1,JINDUN_BAI,Jindun Bai,43,tooth,ce ph~i*,,
JINDUN_BAI-44-1,JINDUN_BAI,Jindun Bai,44,tongue,no,,
JINDUN_BAI-47-1,JINDUN_BAI,Jindun Bai,47,knee,khw$a tu ce,,
JINDUN_BAI-48-1,JINDUN_BAI,Jindun Bai,48,hand,sh~u,,
JINDUN_BAI-51-1,JINDUN_BAI,Jindun Bai,51,breast,pa tu,,
JINDUN_BAI-53-1,JINDUN_BAI,Jindun Bai,53,liver,ka*,,
JINDUN_BAI-54-1,JINDUN_BAI,Jindun Bai,54,drink,u,,
JINDUN_BAI-57-1,JINDUN_BAI,Jindun Bai,57,see,ke*,,
JINDUN_BAI-58-1,JINDUN_BAI,Jindun Bai,58,hear,cyh$a*,,
JINDUN_BAI-66-1,JINDUN_BAI,Jindun Bai,66,come,xu,,
JINDUN_BAI-72-1,JINDUN_BAI,Jindun Bai,72,sun,yi* ph~i*,,
JINDUN_BAI-74-1,JINDUN_BAI,Jindun Bai,74,star,syh$a* kh~o,,
JINDUN_BAI-75-1,JINDUN_BAI,Jindun Bai,75,water,ko*u,,
JINDUN_BAI-77-1,JINDUN_BAI,Jindun Bai,77,stone,cou khw$e,,
JINDUN_BAI-82-1,JINDUN_BAI,Jindun Bai,82,fire,xh~we,,
JINDUN_BAI-85-1,JINDUN_BAI,Jindun Bai,85,path,yi* ka* yi*,,
JINDUN_BAI-86-1,JINDUN_BAI,Jindun Bai,86,mountain,swo,,
JINDUN_BAI-95-1,JINDUN_BAI,Jindun Bai,95,full,ma,,
JINDUN_BAI-96-1,JINDUN_BAI,Jindun Bai,96,new,syh$i*,,
JINDUN_BAI-100-1,JINDUN_BAI,Jindun Bai,100,name,mia,,
