ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JOLA-1-1,JOLA,Jola,1,I,inje,,
JOLA-2-1,JOLA,Jola,2,you,au,,
JOLA-3-1,JOLA,Jola,3,we,ololal,,
JOLA-11-1,JOLA,Jola,11,one,ano,,
JOLA-11-2,JOLA,Jola,11,one,yano,,
JOLA-12-1,JOLA,Jola,12,two,silhuba,,
JOLA-18-1,JOLA,Jola,18,person,alha hukow,,
JOLA-18-2,JOLA,Jola,18,person,an,,
JOLA-19-1,JOLA,Jola,19,fish,ewol,,
JOLA-21-1,JOLA,Jola,21,dog,ejangi,,
JOLA-23-1,JOLA,Jola,23,tree,bunuhuken,,
JOLA-23-2,JOLA,Jola,23,tree,bununuk,,
JOLA-25-1,JOLA,Jola,25,leaf,katoj,,
JOLA-28-1,JOLA,Jola,28,skin,kafoNol,,
JOLA-30-1,JOLA,Jola,30,blood,hasim,,
JOLA-30-2,JOLA,Jola,30,blood,husim,,
JOLA-31-1,JOLA,Jola,31,bone,eul,,
JOLA-34-1,JOLA,Jola,34,horn,kasyn,,
JOLA-34-2,JOLA,Jola,34,horn,kasin,,
JOLA-39-1,JOLA,Jola,39,ear,ejan,,
JOLA-40-1,JOLA,Jola,40,eye,jikil,,
JOLA-40-2,JOLA,Jola,40,eye,jimkil,,
JOLA-41-1,JOLA,Jola,41,nose,egnindu,,
JOLA-41-2,JOLA,Jola,41,nose,eghendu,,
JOLA-43-1,JOLA,Jola,43,tooth,kaghigh,,
JOLA-44-1,JOLA,Jola,44,tongue,huleluf,,
JOLA-47-1,JOLA,Jola,47,knee,hujul,,
JOLA-48-1,JOLA,Jola,48,hand,kaghen,,
JOLA-53-1,JOLA,Jola,53,liver,hugn,,
JOLA-54-1,JOLA,Jola,54,drink,bahob,,
JOLA-54-2,JOLA,Jola,54,drink,kahob,,
JOLA-57-1,JOLA,Jola,57,see,kajuk,,
JOLA-58-1,JOLA,Jola,58,hear,kajam,,
JOLA-61-1,JOLA,Jola,61,die,eket,,
JOLA-66-1,JOLA,Jola,66,come,ebil,,
JOLA-72-1,JOLA,Jola,72,sun,tinak,,
JOLA-72-2,JOLA,Jola,72,sun,banak,,
JOLA-74-1,JOLA,Jola,74,star,eut,,
JOLA-74-2,JOLA,Jola,74,star,ewut,,
JOLA-75-1,JOLA,Jola,75,water,mal,,
JOLA-77-1,JOLA,Jola,77,stone,egisa,,
JOLA-82-1,JOLA,Jola,82,fire,sambun,,
JOLA-85-1,JOLA,Jola,85,path,butin,,
JOLA-92-1,JOLA,Jola,92,night,huk,,
JOLA-92-2,JOLA,Jola,92,night,ehuka,,
JOLA-95-1,JOLA,Jola,95,full,meghe,,
JOLA-96-1,JOLA,Jola,96,new,wunkuloe,,
JOLA-100-1,JOLA,Jola,100,name,kasaf,,
JOLA-100-2,JOLA,Jola,100,name,kasanta,,
JOLA-100-3,JOLA,Jola,100,name,kajaw,,
