ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
JOMANG-1-1,JOMANG,Jomang,1,I,No5,,
JOMANG-2-1,JOMANG,Jomang,2,you,NoN,,
JOMANG-3-1,JOMANG,Jomang,3,we,Nori,,
JOMANG-11-1,JOMANG,Jomang,11,one,yillik,,
JOMANG-12-1,JOMANG,Jomang,12,two,yilrak,,
JOMANG-18-1,JOMANG,Jomang,18,person,bar,,
JOMANG-19-1,JOMANG,Jomang,19,fish,Naba,,
JOMANG-21-1,JOMANG,Jomang,21,dog,duk,,
JOMANG-22-1,JOMANG,Jomang,22,louse,g3ra,,
JOMANG-23-1,JOMANG,Jomang,23,tree,bira,,
JOMANG-28-1,JOMANG,Jomang,28,skin,gedu,,
JOMANG-30-1,JOMANG,Jomang,30,blood,Nisuk,,
JOMANG-31-1,JOMANG,Jomang,31,bone,Tima,,
JOMANG-34-1,JOMANG,Jomang,34,horn,dubik,,
JOMANG-39-1,JOMANG,Jomang,39,ear,ganu,,
JOMANG-40-1,JOMANG,Jomang,40,eye,NaTik,,
JOMANG-41-1,JOMANG,Jomang,41,nose,ginT~i,,
JOMANG-43-1,JOMANG,Jomang,43,tooth,Ti5i,,
JOMANG-44-1,JOMANG,Jomang,44,tongue,duluNa,,
JOMANG-48-1,JOMANG,Jomang,48,hand,sugw~iN,,
JOMANG-51-1,JOMANG,Jomang,51,breast,Tisik,,
JOMANG-53-1,JOMANG,Jomang,53,liver,duNg~a,,
JOMANG-53-2,JOMANG,Jomang,53,liver,duNgw$a,,
JOMANG-54-1,JOMANG,Jomang,54,drink,yigu,,
JOMANG-57-1,JOMANG,Jomang,57,see,uNw~a,,
JOMANG-58-1,JOMANG,Jomang,58,hear,5Tattagok,,
JOMANG-61-1,JOMANG,Jomang,61,die,iNo,,
JOMANG-66-1,JOMANG,Jomang,66,come,agu,,
JOMANG-72-1,JOMANG,Jomang,72,sun,TiNg~i,,
JOMANG-74-1,JOMANG,Jomang,74,star,To8ok,,
JOMANG-75-1,JOMANG,Jomang,75,water,Nir,,
JOMANG-77-1,JOMANG,Jomang,77,stone,ga8ok,,
JOMANG-82-1,JOMANG,Jomang,82,fire,dik,,
JOMANG-85-1,JOMANG,Jomang,85,path,doa,,
JOMANG-86-1,JOMANG,Jomang,86,mountain,barrok,,
JOMANG-92-1,JOMANG,Jomang,92,night,laNg~ora,,
JOMANG-95-1,JOMANG,Jomang,95,full,To5agada,,
JOMANG-96-1,JOMANG,Jomang,96,new,dassa,,
JOMANG-100-1,JOMANG,Jomang,100,name,garinN~a,,
