ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KACHURA_SHINA-1-1,KACHURA_SHINA,Kachura Shina,1,I,mo*,,
KACHURA_SHINA-2-1,KACHURA_SHINA,Kachura Shina,2,you,tu,,
KACHURA_SHINA-3-1,KACHURA_SHINA,Kachura Shina,3,we,bEh,,
KACHURA_SHINA-11-1,KACHURA_SHINA,Kachura Shina,11,one,Ek,,
KACHURA_SHINA-12-1,KACHURA_SHINA,Kachura Shina,12,two,du,,
KACHURA_SHINA-19-1,KACHURA_SHINA,Kachura Shina,19,fish,Cimo,,
KACHURA_SHINA-21-1,KACHURA_SHINA,Kachura Shina,21,dog,Su*,,
KACHURA_SHINA-21-2,KACHURA_SHINA,Kachura Shina,21,dog,Si*u*,,
KACHURA_SHINA-23-1,KACHURA_SHINA,Kachura Shina,23,tree,stoxozi,,
KACHURA_SHINA-25-1,KACHURA_SHINA,Kachura Shina,25,leaf,poto,,
KACHURA_SHINA-28-1,KACHURA_SHINA,Kachura Shina,28,skin,Cum,,
KACHURA_SHINA-31-1,KACHURA_SHINA,Kachura Shina,31,bone,o*ti,,
KACHURA_SHINA-34-1,KACHURA_SHINA,Kachura Shina,34,horn,SiNo,,
KACHURA_SHINA-39-1,KACHURA_SHINA,Kachura Shina,39,ear,kon,,
KACHURA_SHINA-40-1,KACHURA_SHINA,Kachura Shina,40,eye,oCi,,
KACHURA_SHINA-41-1,KACHURA_SHINA,Kachura Shina,41,nose,noth~o,,
KACHURA_SHINA-43-1,KACHURA_SHINA,Kachura Shina,43,tooth,don,,
KACHURA_SHINA-44-1,KACHURA_SHINA,Kachura Shina,44,tongue,jip,,
KACHURA_SHINA-51-1,KACHURA_SHINA,Kachura Shina,51,breast,ko,,
KACHURA_SHINA-72-1,KACHURA_SHINA,Kachura Shina,72,sun,suri,,
KACHURA_SHINA-74-1,KACHURA_SHINA,Kachura Shina,74,star,toro,,
KACHURA_SHINA-75-1,KACHURA_SHINA,Kachura Shina,75,water,wei,,
KACHURA_SHINA-77-1,KACHURA_SHINA,Kachura Shina,77,stone,bot,,
KACHURA_SHINA-82-1,KACHURA_SHINA,Kachura Shina,82,fire,ph~u,,
KACHURA_SHINA-85-1,KACHURA_SHINA,Kachura Shina,85,path,pon,,
KACHURA_SHINA-92-1,KACHURA_SHINA,Kachura Shina,92,night,roti,,
KACHURA_SHINA-96-1,KACHURA_SHINA,Kachura Shina,96,new,no*u*,,
KACHURA_SHINA-100-1,KACHURA_SHINA,Kachura Shina,100,name,no*m,,
KACHURA_SHINA-100-2,KACHURA_SHINA,Kachura Shina,100,name,nom,,
