ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KADUGLI_2-1-1,KADUGLI_2,Kadugli 2,1,I,a7a,,
KADUGLI_2-2-1,KADUGLI_2,Kadugli 2,2,you,o7o,,
KADUGLI_2-2-2,KADUGLI_2,Kadugli 2,2,you,aga,,
KADUGLI_2-3-1,KADUGLI_2,Kadugli 2,3,we,aNa,,
KADUGLI_2-11-1,KADUGLI_2,Kadugli 2,11,one,uNoto,,
KADUGLI_2-11-2,KADUGLI_2,Kadugli 2,11,one,uNotok,,
KADUGLI_2-12-1,KADUGLI_2,Kadugli 2,12,two,Era,,
KADUGLI_2-18-1,KADUGLI_2,Kadugli 2,18,person,mi8E,,
KADUGLI_2-19-1,KADUGLI_2,Kadugli 2,19,fish,mi8ilogo,,
KADUGLI_2-21-1,KADUGLI_2,Kadugli 2,21,dog,i8eni,,
KADUGLI_2-21-2,KADUGLI_2,Kadugli 2,21,dog,8era,,
KADUGLI_2-22-1,KADUGLI_2,Kadugli 2,22,louse,kidikidik,,
KADUGLI_2-23-1,KADUGLI_2,Kadugli 2,23,tree,fa,,
KADUGLI_2-25-1,KADUGLI_2,Kadugli 2,25,leaf,nd~aro,,
KADUGLI_2-28-1,KADUGLI_2,Kadugli 2,28,skin,8o,,
KADUGLI_2-30-1,KADUGLI_2,Kadugli 2,30,blood,Eri8o,,
KADUGLI_2-31-1,KADUGLI_2,Kadugli 2,31,bone,8oNoba,,
KADUGLI_2-34-1,KADUGLI_2,Kadugli 2,34,horn,in8~ini8o,,
KADUGLI_2-39-1,KADUGLI_2,Kadugli 2,39,ear,nazo,,
KADUGLI_2-40-1,KADUGLI_2,Kadugli 2,40,eye,aye,,
KADUGLI_2-41-1,KADUGLI_2,Kadugli 2,41,nose,amb~orok,,
KADUGLI_2-43-1,KADUGLI_2,Kadugli 2,43,tooth,tiNini,,
KADUGLI_2-44-1,KADUGLI_2,Kadugli 2,44,tongue,aNg~ado,,
KADUGLI_2-47-1,KADUGLI_2,Kadugli 2,47,knee,kugE,,
KADUGLI_2-48-1,KADUGLI_2,Kadugli 2,48,hand,nizo,,
KADUGLI_2-51-1,KADUGLI_2,Kadugli 2,51,breast,8onogo,,
KADUGLI_2-54-1,KADUGLI_2,Kadugli 2,54,drink,owE,,
KADUGLI_2-54-2,KADUGLI_2,Kadugli 2,54,drink,awE,,
KADUGLI_2-58-1,KADUGLI_2,Kadugli 2,58,hear,fu5o,,
KADUGLI_2-58-2,KADUGLI_2,Kadugli 2,58,hear,ofu5o,,
KADUGLI_2-61-1,KADUGLI_2,Kadugli 2,61,die,ay,,
KADUGLI_2-66-1,KADUGLI_2,Kadugli 2,66,come,adak,,
KADUGLI_2-66-2,KADUGLI_2,Kadugli 2,66,come,ayu,,
KADUGLI_2-72-1,KADUGLI_2,Kadugli 2,72,sun,in8~inaia,,
KADUGLI_2-74-1,KADUGLI_2,Kadugli 2,74,star,8imi8igE,,
KADUGLI_2-75-1,KADUGLI_2,Kadugli 2,75,water,bi8i,,
KADUGLI_2-77-1,KADUGLI_2,Kadugli 2,77,stone,misi,,
KADUGLI_2-82-1,KADUGLI_2,Kadugli 2,82,fire,isi,,
KADUGLI_2-85-1,KADUGLI_2,Kadugli 2,85,path,fini,,
KADUGLI_2-86-1,KADUGLI_2,Kadugli 2,86,mountain,5a,,
KADUGLI_2-92-1,KADUGLI_2,Kadugli 2,92,night,oso,,
KADUGLI_2-96-1,KADUGLI_2,Kadugli 2,96,new,mibitiNo,,
KADUGLI_2-100-1,KADUGLI_2,Kadugli 2,100,name,ErE,,
