ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KAIPI-1-1,KAIPI,Kaipi,1,I,ara,,
KAIPI-2-1,KAIPI,Kaipi,2,you,a,,
KAIPI-3-1,KAIPI,Kaipi,3,we,ereiCa,,
KAIPI-11-1,KAIPI,Kaipi,11,one,fareapo,,
KAIPI-12-1,KAIPI,Kaipi,12,two,orale,,
KAIPI-18-1,KAIPI,Kaipi,18,person,karu,,
KAIPI-19-1,KAIPI,Kaipi,19,fish,tava,,
KAIPI-21-1,KAIPI,Kaipi,21,dog,ave,,
KAIPI-22-1,KAIPI,Kaipi,22,louse,saruCa,,
KAIPI-23-1,KAIPI,Kaipi,23,tree,tola,,
KAIPI-25-1,KAIPI,Kaipi,25,leaf,tolotolo,,
KAIPI-28-1,KAIPI,Kaipi,28,skin,maea ruru,,
KAIPI-30-1,KAIPI,Kaipi,30,blood,ovo,,
KAIPI-31-1,KAIPI,Kaipi,31,bone,uti,,
KAIPI-34-1,KAIPI,Kaipi,34,horn,kea,,
KAIPI-39-1,KAIPI,Kaipi,39,ear,avala,,
KAIPI-40-1,KAIPI,Kaipi,40,eye,ofae,,
KAIPI-41-1,KAIPI,Kaipi,41,nose,evera,,
KAIPI-43-1,KAIPI,Kaipi,43,tooth,tao,,
KAIPI-44-1,KAIPI,Kaipi,44,tongue,uri,,
KAIPI-44-2,KAIPI,Kaipi,44,tongue,lauri,,
KAIPI-47-1,KAIPI,Kaipi,47,knee,arihau,,
KAIPI-48-1,KAIPI,Kaipi,48,hand,mai,,
KAIPI-51-1,KAIPI,Kaipi,51,breast,ko,,
KAIPI-53-1,KAIPI,Kaipi,53,liver,hai,,
KAIPI-54-1,KAIPI,Kaipi,54,drink,ma lala,,
KAIPI-57-1,KAIPI,Kaipi,57,see,ofae eovi,,
KAIPI-58-1,KAIPI,Kaipi,58,hear,avapai,,
KAIPI-61-1,KAIPI,Kaipi,61,die,opia,,
KAIPI-66-1,KAIPI,Kaipi,66,come,iti,,
KAIPI-66-2,KAIPI,Kaipi,66,come,kwoti,,
KAIPI-72-1,KAIPI,Kaipi,72,sun,sare,,
KAIPI-74-1,KAIPI,Kaipi,74,star,koru,,
KAIPI-75-1,KAIPI,Kaipi,75,water,ma,,
KAIPI-77-1,KAIPI,Kaipi,77,stone,fave,,
KAIPI-82-1,KAIPI,Kaipi,82,fire,a,,
KAIPI-85-1,KAIPI,Kaipi,85,path,otiharo,,
KAIPI-86-1,KAIPI,Kaipi,86,mountain,raepa,,
KAIPI-92-1,KAIPI,Kaipi,92,night,faiCa,,
KAIPI-95-1,KAIPI,Kaipi,95,full,ape furiCa,,
KAIPI-96-1,KAIPI,Kaipi,96,new,are,,
KAIPI-100-1,KAIPI,Kaipi,100,name,lare,,
