ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KAMASAU-1-1,KAMASAU,Kamasau,1,I,Ne,,
KAMASAU-2-1,KAMASAU,Kamasau,2,you,nu,,
KAMASAU-3-1,KAMASAU,Kamasau,3,we,bexi,,
KAMASAU-11-1,KAMASAU,Kamasau,11,one,iri,,
KAMASAU-12-1,KAMASAU,Kamasau,12,two,temi,,
KAMASAU-19-1,KAMASAU,Kamasau,19,fish,wuye umo,,
KAMASAU-21-1,KAMASAU,Kamasau,21,dog,5omb~ui,,
KAMASAU-22-1,KAMASAU,Kamasau,22,louse,imb~iski,,
KAMASAU-23-1,KAMASAU,Kamasau,23,tree,5umo,,
KAMASAU-25-1,KAMASAU,Kamasau,25,leaf,ra7e,,
KAMASAU-28-1,KAMASAU,Kamasau,28,skin,CoNo,,
KAMASAU-30-1,KAMASAU,Kamasau,30,blood,yavi,,
KAMASAU-31-1,KAMASAU,Kamasau,31,bone,Nape,,
KAMASAU-39-1,KAMASAU,Kamasau,39,ear,aNe,,
KAMASAU-40-1,KAMASAU,Kamasau,40,eye,rar,,
KAMASAU-41-1,KAMASAU,Kamasau,41,nose,kime,,
KAMASAU-43-1,KAMASAU,Kamasau,43,tooth,sawo,,
KAMASAU-44-1,KAMASAU,Kamasau,44,tongue,minj~u7,,
KAMASAU-47-1,KAMASAU,Kamasau,47,knee,suNomy~u,,
KAMASAU-48-1,KAMASAU,Kamasau,48,hand,si,,
KAMASAU-51-1,KAMASAU,Kamasau,51,breast,mi5,,
KAMASAU-53-1,KAMASAU,Kamasau,53,liver,jag,,
KAMASAU-54-1,KAMASAU,Kamasau,54,drink,ne,,
KAMASAU-57-1,KAMASAU,Kamasau,57,see,nu7oind~,,
KAMASAU-58-1,KAMASAU,Kamasau,58,hear,tutuNu,,
KAMASAU-61-1,KAMASAU,Kamasau,61,die,nati,,
KAMASAU-61-2,KAMASAU,Kamasau,61,die,no,,
KAMASAU-66-1,KAMASAU,Kamasau,66,come,nand~i,,
KAMASAU-72-1,KAMASAU,Kamasau,72,sun,Ni5,,
KAMASAU-74-1,KAMASAU,Kamasau,74,star,tomnj~i,,
KAMASAU-75-1,KAMASAU,Kamasau,75,water,wuye,,
KAMASAU-77-1,KAMASAU,Kamasau,77,stone,wet 5aw,,
KAMASAU-82-1,KAMASAU,Kamasau,82,fire,wase,,
KAMASAU-85-1,KAMASAU,Kamasau,85,path,Nim,,
KAMASAU-86-1,KAMASAU,Kamasau,86,mountain,rand~,,
KAMASAU-92-1,KAMASAU,Kamasau,92,night,bur,,
KAMASAU-95-1,KAMASAU,Kamasau,95,full,bre,,
KAMASAU-96-1,KAMASAU,Kamasau,96,new,urupui,,
KAMASAU-100-1,KAMASAU,Kamasau,100,name,5amb~,,
