ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KAMBA-1-1,KAMBA,Kamba,1,I,da,,
KAMBA-2-1,KAMBA,Kamba,2,you,na,,
KAMBA-3-1,KAMBA,Kamba,3,we,ig,,
KAMBA-11-1,KAMBA,Kamba,11,one,usif,,
KAMBA-12-1,KAMBA,Kamba,12,two,3rit,,
KAMBA-19-1,KAMBA,Kamba,19,fish,dor,,
KAMBA-19-2,KAMBA,Kamba,19,fish,kakE,,
KAMBA-21-1,KAMBA,Kamba,21,dog,pE,,
KAMBA-22-1,KAMBA,Kamba,22,louse,mi,,
KAMBA-23-1,KAMBA,Kamba,23,tree,k3r,,
KAMBA-28-1,KAMBA,Kamba,28,skin,gonE,,
KAMBA-30-1,KAMBA,Kamba,30,blood,kar3,,
KAMBA-31-1,KAMBA,Kamba,31,bone,kEfsi,,
KAMBA-39-1,KAMBA,Kamba,39,ear,dau,,
KAMBA-40-1,KAMBA,Kamba,40,eye,amE,,
KAMBA-41-1,KAMBA,Kamba,41,nose,no,,
KAMBA-44-1,KAMBA,Kamba,44,tongue,lEmru,,
KAMBA-47-1,KAMBA,Kamba,47,knee,gatE,,
KAMBA-51-1,KAMBA,Kamba,51,breast,auma,,
KAMBA-53-1,KAMBA,Kamba,53,liver,kuru gagrag,,
KAMBA-57-1,KAMBA,Kamba,57,see,pi,,
KAMBA-57-2,KAMBA,Kamba,57,see,pE,,
KAMBA-58-1,KAMBA,Kamba,58,hear,du,,
KAMBA-61-1,KAMBA,Kamba,61,die,mous,,
KAMBA-66-1,KAMBA,Kamba,66,come,uri,,
KAMBA-72-1,KAMBA,Kamba,72,sun,kEm,,
KAMBA-74-1,KAMBA,Kamba,74,star,sorwE,,
KAMBA-75-1,KAMBA,Kamba,75,water,lE,,
KAMBA-77-1,KAMBA,Kamba,77,stone,b3r,,
KAMBA-82-1,KAMBA,Kamba,82,fire,kEb,,
KAMBA-85-1,KAMBA,Kamba,85,path,if,,
KAMBA-86-1,KAMBA,Kamba,86,mountain,boku,,
KAMBA-92-1,KAMBA,Kamba,92,night,tup3n manE,,
KAMBA-95-1,KAMBA,Kamba,95,full,amb~E,,
KAMBA-96-1,KAMBA,Kamba,96,new,faug,,
KAMBA-100-1,KAMBA,Kamba,100,name,wEni,,
