ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KARELIAN-1-1,KARELIAN,Karelian,1,I,mie,,
KARELIAN-2-1,KARELIAN,Karelian,2,you,sie,,
KARELIAN-3-1,KARELIAN,Karelian,3,we,mie,,
KARELIAN-11-1,KARELIAN,Karelian,11,one,iksi,,
KARELIAN-12-1,KARELIAN,Karelian,12,two,koksi,,
KARELIAN-18-1,KARELIAN,Karelian,18,person,imine,,
KARELIAN-18-2,KARELIAN,Karelian,18,person,mies,,
KARELIAN-19-1,KARELIAN,Karelian,19,fish,kolo,,
KARELIAN-21-1,KARELIAN,Karelian,21,dog,koiro,,
KARELIAN-22-1,KARELIAN,Karelian,22,louse,tEi,,
KARELIAN-23-1,KARELIAN,Karelian,23,tree,pu,,
KARELIAN-25-1,KARELIAN,Karelian,25,leaf,leti,,
KARELIAN-28-1,KARELIAN,Karelian,28,skin,noko,,
KARELIAN-30-1,KARELIAN,Karelian,30,blood,veri,,
KARELIAN-31-1,KARELIAN,Karelian,31,bone,lu,,
KARELIAN-34-1,KARELIAN,Karelian,34,horn,sorvi,,
KARELIAN-39-1,KARELIAN,Karelian,39,ear,korvo,,
KARELIAN-40-1,KARELIAN,Karelian,40,eye,silmE,,
KARELIAN-41-1,KARELIAN,Karelian,41,nose,nenE,,
KARELIAN-43-1,KARELIAN,Karelian,43,tooth,homos,,
KARELIAN-44-1,KARELIAN,Karelian,44,tongue,kieli,,
KARELIAN-47-1,KARELIAN,Karelian,47,knee,polvi,,
KARELIAN-48-1,KARELIAN,Karelian,48,hand,kEzi,,
KARELIAN-51-1,KARELIAN,Karelian,51,breast,rindo,,
KARELIAN-53-1,KARELIAN,Karelian,53,liver,mokso,,
KARELIAN-54-1,KARELIAN,Karelian,54,drink,yuodo,,
KARELIAN-54-2,KARELIAN,Karelian,54,drink,yuvo,,
KARELIAN-57-1,KARELIAN,Karelian,57,see,nEhE,,
KARELIAN-58-1,KARELIAN,Karelian,58,hear,kulo,,
KARELIAN-61-1,KARELIAN,Karelian,61,die,kuolo,,
KARELIAN-66-1,KARELIAN,Karelian,66,come,tulo,,
KARELIAN-72-1,KARELIAN,Karelian,72,sun,pEivEine,,
KARELIAN-74-1,KARELIAN,Karelian,74,star,tEti,,
KARELIAN-75-1,KARELIAN,Karelian,75,water,vesi,,
KARELIAN-77-1,KARELIAN,Karelian,77,stone,kivi,,
KARELIAN-82-1,KARELIAN,Karelian,82,fire,tuli,,
KARELIAN-85-1,KARELIAN,Karelian,85,path,tie,,
KARELIAN-86-1,KARELIAN,Karelian,86,mountain,mEgi,,
KARELIAN-95-1,KARELIAN,Karelian,95,full,tEizi,,
KARELIAN-96-1,KARELIAN,Karelian,96,new,uzi,,
KARELIAN-100-1,KARELIAN,Karelian,100,name,nimi,,
