ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KATO-1-1,KATO,Kato,1,I,Si,,
KATO-2-1,KATO,Kato,2,you,niN,,
KATO-3-1,KATO,Kato,3,we,nehiN,,
KATO-11-1,KATO,Kato,11,one,Laha7,,
KATO-12-1,KATO,Kato,12,two,naka7,,
KATO-18-1,KATO,Kato,18,person,n3nkad3N,,
KATO-19-1,KATO,Kato,19,fish,"Lok""",,
KATO-21-1,KATO,Kato,21,dog,Lo,,
KATO-22-1,KATO,Kato,22,louse,ya7,,
KATO-23-1,KATO,Kato,23,tree,C3n,,
KATO-30-1,KATO,Kato,30,blood,selin,,
KATO-31-1,KATO,Kato,31,bone,"c""3N",,
KATO-34-1,KATO,Kato,34,horn,de7,,
KATO-39-1,KATO,Kato,39,ear,"C""ge7",,
KATO-40-1,KATO,Kato,40,eye,na7,,
KATO-41-1,KATO,Kato,41,nose,unC,,
KATO-43-1,KATO,Kato,43,tooth,wo7,,
KATO-44-1,KATO,Kato,44,tongue,so7,,
KATO-47-1,KATO,Kato,47,knee,"qot""",,
KATO-48-1,KATO,Kato,48,hand,la7,,
KATO-54-1,KATO,Kato,54,drink,nan,,
KATO-57-1,KATO,Kato,57,see,"iN""",,
KATO-58-1,KATO,Kato,58,hear,"c""eg",,
KATO-61-1,KATO,Kato,61,die,d3n,,
KATO-72-1,KATO,Kato,72,sun,Sa,,
KATO-74-1,KATO,Kato,74,star,s3n,,
KATO-75-1,KATO,Kato,75,water,to,,
KATO-77-1,KATO,Kato,77,stone,se,,
KATO-82-1,KATO,Kato,82,fire,"koN""",,
KATO-85-1,KATO,Kato,85,path,t3nni,,
KATO-92-1,KATO,Kato,92,night,"L""e7",,
KATO-95-1,KATO,Kato,95,full,"b3N""",,
KATO-100-1,KATO,Kato,100,name,yi,,
