ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KAYAH_LI_EASTERN-11-1,KAYAH_LI_EASTERN,Kayah Li Eastern,11,one,t3,,
KAYAH_LI_EASTERN-12-1,KAYAH_LI_EASTERN,Kayah Li Eastern,12,two,no,,
KAYAH_LI_EASTERN-18-1,KAYAH_LI_EASTERN,Kayah Li Eastern,18,person,k3ya,,
KAYAH_LI_EASTERN-19-1,KAYAH_LI_EASTERN,Kayah Li Eastern,19,fish,te,,
KAYAH_LI_EASTERN-19-2,KAYAH_LI_EASTERN,Kayah Li Eastern,19,fish,teu,,
KAYAH_LI_EASTERN-21-1,KAYAH_LI_EASTERN,Kayah Li Eastern,21,dog,8w~i,,
KAYAH_LI_EASTERN-22-1,KAYAH_LI_EASTERN,Kayah Li Eastern,22,louse,so,,
KAYAH_LI_EASTERN-23-1,KAYAH_LI_EASTERN,Kayah Li Eastern,23,tree,so,,
KAYAH_LI_EASTERN-25-1,KAYAH_LI_EASTERN,Kayah Li Eastern,25,leaf,le,,
KAYAH_LI_EASTERN-28-1,KAYAH_LI_EASTERN,Kayah Li Eastern,28,skin,pa,,
KAYAH_LI_EASTERN-30-1,KAYAH_LI_EASTERN,Kayah Li Eastern,30,blood,swi,,
KAYAH_LI_EASTERN-31-1,KAYAH_LI_EASTERN,Kayah Li Eastern,31,bone,xrwi,,
KAYAH_LI_EASTERN-34-1,KAYAH_LI_EASTERN,Kayah Li Eastern,34,horn,no,,
KAYAH_LI_EASTERN-39-1,KAYAH_LI_EASTERN,Kayah Li Eastern,39,ear,keleko,,
KAYAH_LI_EASTERN-40-1,KAYAH_LI_EASTERN,Kayah Li Eastern,40,eye,beseplo,,
KAYAH_LI_EASTERN-41-1,KAYAH_LI_EASTERN,Kayah Li Eastern,41,nose,kupo,,
KAYAH_LI_EASTERN-43-1,KAYAH_LI_EASTERN,Kayah Li Eastern,43,tooth,kuxo,,
KAYAH_LI_EASTERN-44-1,KAYAH_LI_EASTERN,Kayah Li Eastern,44,tongue,pli,,
KAYAH_LI_EASTERN-47-1,KAYAH_LI_EASTERN,Kayah Li Eastern,47,knee,xama,,
KAYAH_LI_EASTERN-48-1,KAYAH_LI_EASTERN,Kayah Li Eastern,48,hand,kuxu,,
KAYAH_LI_EASTERN-51-1,KAYAH_LI_EASTERN,Kayah Li Eastern,51,breast,inu,,
KAYAH_LI_EASTERN-53-1,KAYAH_LI_EASTERN,Kayah Li Eastern,53,liver,aso,,
KAYAH_LI_EASTERN-57-1,KAYAH_LI_EASTERN,Kayah Li Eastern,57,see,8o,,
KAYAH_LI_EASTERN-57-2,KAYAH_LI_EASTERN,Kayah Li Eastern,57,see,ma8o,,
KAYAH_LI_EASTERN-58-1,KAYAH_LI_EASTERN,Kayah Li Eastern,58,hear,niho,,
KAYAH_LI_EASTERN-61-1,KAYAH_LI_EASTERN,Kayah Li Eastern,61,die,so,,
KAYAH_LI_EASTERN-72-1,KAYAH_LI_EASTERN,Kayah Li Eastern,72,sun,mo,,
KAYAH_LI_EASTERN-72-2,KAYAH_LI_EASTERN,Kayah Li Eastern,72,sun,t3mo,,
KAYAH_LI_EASTERN-74-1,KAYAH_LI_EASTERN,Kayah Li Eastern,74,star,Te,,
KAYAH_LI_EASTERN-75-1,KAYAH_LI_EASTERN,Kayah Li Eastern,75,water,8o,,
KAYAH_LI_EASTERN-82-1,KAYAH_LI_EASTERN,Kayah Li Eastern,82,fire,mi,,
KAYAH_LI_EASTERN-85-1,KAYAH_LI_EASTERN,Kayah Li Eastern,85,path,kla,,
KAYAH_LI_EASTERN-86-1,KAYAH_LI_EASTERN,Kayah Li Eastern,86,mountain,To,,
KAYAH_LI_EASTERN-92-1,KAYAH_LI_EASTERN,Kayah Li Eastern,92,night,se,,
KAYAH_LI_EASTERN-95-1,KAYAH_LI_EASTERN,Kayah Li Eastern,95,full,ba,,
KAYAH_LI_EASTERN-95-2,KAYAH_LI_EASTERN,Kayah Li Eastern,95,full,ko,,
KAYAH_LI_EASTERN-96-1,KAYAH_LI_EASTERN,Kayah Li Eastern,96,new,se,,
KAYAH_LI_EASTERN-100-1,KAYAH_LI_EASTERN,Kayah Li Eastern,100,name,mi,,
