ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KAYTETYE-1-1,KAYTETYE,Kaytetye,1,I,aty~e,,
KAYTETYE-1-2,KAYTETYE,Kaytetye,1,I,ayeNe,,
KAYTETYE-2-1,KAYTETYE,Kaytetye,2,you,nte,,
KAYTETYE-2-2,KAYTETYE,Kaytetye,2,you,Ne,,
KAYTETYE-3-1,KAYTETYE,Kaytetye,3,we,ayleme,,
KAYTETYE-3-2,KAYTETYE,Kaytetye,3,we,aylake,,
KAYTETYE-11-1,KAYTETYE,Kaytetye,11,one,awe5ere,,
KAYTETYE-12-1,KAYTETYE,Kaytetye,12,two,tere,,
KAYTETYE-18-1,KAYTETYE,Kaytetye,18,person,eyterty~e,,
KAYTETYE-21-1,KAYTETYE,Kaytetye,21,dog,aleke,,
KAYTETYE-23-1,KAYTETYE,Kaytetye,23,tree,arwele,,
KAYTETYE-23-2,KAYTETYE,Kaytetye,23,tree,ateye,,
KAYTETYE-25-1,KAYTETYE,Kaytetye,25,leaf,alpere,,
KAYTETYE-28-1,KAYTETYE,Kaytetye,28,skin,pert5e,,
KAYTETYE-30-1,KAYTETYE,Kaytetye,30,blood,arkNe,,
KAYTETYE-31-1,KAYTETYE,Kaytetye,31,bone,Nkwerne,,
KAYTETYE-39-1,KAYTETYE,Kaytetye,39,ear,eylpe,,
KAYTETYE-40-1,KAYTETYE,Kaytetye,40,eye,e	rlwe,,
KAYTETYE-41-1,KAYTETYE,Kaytetye,41,nose,elhe,,
KAYTETYE-43-1,KAYTETYE,Kaytetye,43,tooth,erty~werne,,
KAYTETYE-44-1,KAYTETYE,Kaytetye,44,tongue,ale5e,,
KAYTETYE-47-1,KAYTETYE,Kaytetye,47,knee,erpe,,
KAYTETYE-48-1,KAYTETYE,Kaytetye,48,hand,eltye,,
KAYTETYE-51-1,KAYTETYE,Kaytetye,51,breast,aylpatye,,
KAYTETYE-53-1,KAYTETYE,Kaytetye,53,liver,aleme,,
KAYTETYE-54-1,KAYTETYE,Kaytetye,54,drink,kwtenke,,
KAYTETYE-57-1,KAYTETYE,Kaytetye,57,see,arenke,,
KAYTETYE-58-1,KAYTETYE,Kaytetye,58,hear,elpatenke,,
KAYTETYE-61-1,KAYTETYE,Kaytetye,61,die,a	mpwarenke,,
KAYTETYE-66-1,KAYTETYE,Kaytetye,66,come,apenkerne,,
KAYTETYE-72-1,KAYTETYE,Kaytetye,72,sun,aherke,,
KAYTETYE-74-1,KAYTETYE,Kaytetye,74,star,kweraly~e,,
KAYTETYE-77-1,KAYTETYE,Kaytetye,77,stone,artente,,
KAYTETYE-82-1,KAYTETYE,Kaytetye,82,fire,ware,,
KAYTETYE-86-1,KAYTETYE,Kaytetye,86,mountain,artnte,,
KAYTETYE-92-1,KAYTETYE,Kaytetye,92,night,atnkware5e,,
KAYTETYE-96-1,KAYTETYE,Kaytetye,96,new,rleNke5e,,
