ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KEI-1-1,KEI,Kei,1,I,ya7a,,
KEI-2-1,KEI,Kei,2,you,o,,
KEI-2-2,KEI,Kei,2,you,muom,,
KEI-3-1,KEI,Kei,3,we,it,,
KEI-11-1,KEI,Kei,11,one,ns~a,,
KEI-12-1,KEI,Kei,12,two,ndr$u,,
KEI-18-1,KEI,Kei,18,person,umat,,
KEI-19-1,KEI,Kei,19,fish,bu7ut,,
KEI-21-1,KEI,Kei,21,dog,yaha,,
KEI-22-1,KEI,Kei,22,louse,utav,,
KEI-25-1,KEI,Kei,25,leaf,roan,,
KEI-28-1,KEI,Kei,28,skin,ili,,
KEI-30-1,KEI,Kei,30,blood,lara,,
KEI-31-1,KEI,Kei,31,bone,liri,,
KEI-39-1,KEI,Kei,39,ear,aru,,
KEI-40-1,KEI,Kei,40,eye,mata,,
KEI-41-1,KEI,Kei,41,nose,nuru,,
KEI-43-1,KEI,Kei,43,tooth,nifa,,
KEI-44-1,KEI,Kei,44,tongue,e7ar,,
KEI-48-1,KEI,Kei,48,hand,lima,,
KEI-51-1,KEI,Kei,51,breast,susav,,
KEI-51-2,KEI,Kei,51,breast,sus,,
KEI-53-1,KEI,Kei,53,liver,yata,,
KEI-54-1,KEI,Kei,54,drink,en,,
KEI-57-1,KEI,Kei,57,see,li7ik,,
KEI-58-1,KEI,Kei,58,hear,denar,,
KEI-61-1,KEI,Kei,61,die,mat,,
KEI-66-1,KEI,Kei,66,come,ma,,
KEI-74-1,KEI,Kei,74,star,nar,,
KEI-75-1,KEI,Kei,75,water,wear,,
KEI-77-1,KEI,Kei,77,stone,bat,,
KEI-82-1,KEI,Kei,82,fire,yafav,,
KEI-85-1,KEI,Kei,85,path,ba,,
KEI-92-1,KEI,Kei,92,night,dedan,,
KEI-96-1,KEI,Kei,96,new,bat,,
KEI-100-1,KEI,Kei,100,name,mema,,
