ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KESAA_SAKATA-11-1,KESAA_SAKATA,Kesaa Sakata,11,one,mon3,,
KESAA_SAKATA-12-1,KESAA_SAKATA,Kesaa Sakata,12,two,pi,,
KESAA_SAKATA-18-1,KESAA_SAKATA,Kesaa Sakata,18,person,ur3,,
KESAA_SAKATA-19-1,KESAA_SAKATA,Kesaa Sakata,19,fish,c3,,
KESAA_SAKATA-21-1,KESAA_SAKATA,Kesaa Sakata,21,dog,mva,,
KESAA_SAKATA-22-1,KESAA_SAKATA,Kesaa Sakata,22,louse,s3na,,
KESAA_SAKATA-23-1,KESAA_SAKATA,Kesaa Sakata,23,tree,t3,,
KESAA_SAKATA-25-1,KESAA_SAKATA,Kesaa Sakata,25,leaf,kya,,
KESAA_SAKATA-28-1,KESAA_SAKATA,Kesaa Sakata,28,skin,pi,,
KESAA_SAKATA-30-1,KESAA_SAKATA,Kesaa Sakata,30,blood,kla,,
KESAA_SAKATA-31-1,KESAA_SAKATA,Kesaa Sakata,31,bone,hua,,
KESAA_SAKATA-34-1,KESAA_SAKATA,Kesaa Sakata,34,horn,so,,
KESAA_SAKATA-39-1,KESAA_SAKATA,Kesaa Sakata,39,ear,ti,,
KESAA_SAKATA-40-1,KESAA_SAKATA,Kesaa Sakata,40,eye,i,,
KESAA_SAKATA-41-1,KESAA_SAKATA,Kesaa Sakata,41,nose,ul3,,
KESAA_SAKATA-43-1,KESAA_SAKATA,Kesaa Sakata,43,tooth,n3,,
KESAA_SAKATA-44-1,KESAA_SAKATA,Kesaa Sakata,44,tongue,n3m3,,
KESAA_SAKATA-47-1,KESAA_SAKATA,Kesaa Sakata,47,knee,vu,,
KESAA_SAKATA-51-1,KESAA_SAKATA,Kesaa Sakata,51,breast,vije,,
KESAA_SAKATA-53-1,KESAA_SAKATA,Kesaa Sakata,53,liver,ina,,
KESAA_SAKATA-54-1,KESAA_SAKATA,Kesaa Sakata,54,drink,na,,
KESAA_SAKATA-57-1,KESAA_SAKATA,Kesaa Sakata,57,see,mwi,,
KESAA_SAKATA-58-1,KESAA_SAKATA,Kesaa Sakata,58,hear,zuka,,
KESAA_SAKATA-61-1,KESAA_SAKATA,Kesaa Sakata,61,die,pfa,,
KESAA_SAKATA-66-1,KESAA_SAKATA,Kesaa Sakata,66,come,za,,
KESAA_SAKATA-72-1,KESAA_SAKATA,Kesaa Sakata,72,sun,b3l3,,
KESAA_SAKATA-74-1,KESAA_SAKATA,Kesaa Sakata,74,star,So*r,,
KESAA_SAKATA-75-1,KESAA_SAKATA,Kesaa Sakata,75,water,ji,,
KESAA_SAKATA-77-1,KESAA_SAKATA,Kesaa Sakata,77,stone,Xul3,,
KESAA_SAKATA-82-1,KESAA_SAKATA,Kesaa Sakata,82,fire,ya,,
KESAA_SAKATA-85-1,KESAA_SAKATA,Kesaa Sakata,85,path,vwa*,,
KESAA_SAKATA-86-1,KESAA_SAKATA,Kesaa Sakata,86,mountain,ta,,
KESAA_SAKATA-92-1,KESAA_SAKATA,Kesaa Sakata,92,night,Ti,,
KESAA_SAKATA-95-1,KESAA_SAKATA,Kesaa Sakata,95,full,Edjuya,,
KESAA_SAKATA-96-1,KESAA_SAKATA,Kesaa Sakata,96,new,ombik3,,
KESAA_SAKATA-100-1,KESAA_SAKATA,Kesaa Sakata,100,name,ina,,
