ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KHAKAS-1-1,KHAKAS,Khakas,1,I,min,,
KHAKAS-2-1,KHAKAS,Khakas,2,you,sin,,
KHAKAS-3-1,KHAKAS,Khakas,3,we,pis,,
KHAKAS-11-1,KHAKAS,Khakas,11,one,pir,,
KHAKAS-12-1,KHAKAS,Khakas,12,two,iki,,
KHAKAS-19-1,KHAKAS,Khakas,19,fish,pEluX,,
KHAKAS-21-1,KHAKAS,Khakas,21,dog,EdEy,,
KHAKAS-22-1,KHAKAS,Khakas,22,louse,pit,,
KHAKAS-23-1,KHAKAS,Khakas,23,tree,EXEs,,
KHAKAS-31-1,KHAKAS,Khakas,31,bone,sEk,,
KHAKAS-34-1,KHAKAS,Khakas,34,horn,mis,,
KHAKAS-40-1,KHAKAS,Khakas,40,eye,kEs,,
KHAKAS-41-1,KHAKAS,Khakas,41,nose,purun,,
KHAKAS-43-1,KHAKAS,Khakas,43,tooth,tis,,
KHAKAS-44-1,KHAKAS,Khakas,44,tongue,til,,
KHAKAS-47-1,KHAKAS,Khakas,47,knee,tizEk,,
KHAKAS-51-1,KHAKAS,Khakas,51,breast,kEksi,,
KHAKAS-54-1,KHAKAS,Khakas,54,drink,is,,
KHAKAS-57-1,KHAKAS,Khakas,57,see,kEr,,
KHAKAS-61-1,KHAKAS,Khakas,61,die,El,,
KHAKAS-66-1,KHAKAS,Khakas,66,come,kil,,
KHAKAS-72-1,KHAKAS,Khakas,72,sun,kik,,
KHAKAS-75-1,KHAKAS,Khakas,75,water,suX,,
KHAKAS-77-1,KHAKAS,Khakas,77,stone,tEs,,
KHAKAS-82-1,KHAKAS,Khakas,82,fire,ot,,
KHAKAS-86-1,KHAKAS,Khakas,86,mountain,tEsXul,,
KHAKAS-92-1,KHAKAS,Khakas,92,night,tin,,
KHAKAS-95-1,KHAKAS,Khakas,95,full,toldurE,,
KHAKAS-100-1,KHAKAS,Khakas,100,name,EdEs,,
