ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KHARMANG_BALTI-1-1,KHARMANG_BALTI,Kharmang Balti,1,I,No,,
KHARMANG_BALTI-2-1,KHARMANG_BALTI,Kharmang Balti,2,you,khy$oN,,
KHARMANG_BALTI-3-1,KHARMANG_BALTI,Kharmang Balti,3,we,notoN,,
KHARMANG_BALTI-11-1,KHARMANG_BALTI,Kharmang Balti,11,one,cik,,
KHARMANG_BALTI-12-1,KHARMANG_BALTI,Kharmang Balti,12,two,nis,,
KHARMANG_BALTI-19-1,KHARMANG_BALTI,Kharmang Balti,19,fish,ny~o,,
KHARMANG_BALTI-21-1,KHARMANG_BALTI,Kharmang Balti,21,dog,kh~i,,
KHARMANG_BALTI-23-1,KHARMANG_BALTI,Kharmang Balti,23,tree,stoxci,,
KHARMANG_BALTI-25-1,KHARMANG_BALTI,Kharmang Balti,25,leaf,lomo,,
KHARMANG_BALTI-28-1,KHARMANG_BALTI,Kharmang Balti,28,skin,boxspo,,
KHARMANG_BALTI-30-1,KHARMANG_BALTI,Kharmang Balti,30,blood,kh~roq,,
KHARMANG_BALTI-31-1,KHARMANG_BALTI,Kharmang Balti,31,bone,ruspo,,
KHARMANG_BALTI-34-1,KHARMANG_BALTI,Kharmang Balti,34,horn,rwo,,
KHARMANG_BALTI-39-1,KHARMANG_BALTI,Kharmang Balti,39,ear,Sno,,
KHARMANG_BALTI-40-1,KHARMANG_BALTI,Kharmang Balti,40,eye,mik,,
KHARMANG_BALTI-41-1,KHARMANG_BALTI,Kharmang Balti,41,nose,snomsul,,
KHARMANG_BALTI-43-1,KHARMANG_BALTI,Kharmang Balti,43,tooth,so,,
KHARMANG_BALTI-44-1,KHARMANG_BALTI,Kharmang Balti,44,tongue,Lce,,
KHARMANG_BALTI-51-1,KHARMANG_BALTI,Kharmang Balti,51,breast,broN,,
KHARMANG_BALTI-72-1,KHARMANG_BALTI,Kharmang Balti,72,sun,nimo,,
KHARMANG_BALTI-74-1,KHARMANG_BALTI,Kharmang Balti,74,star,skormo,,
KHARMANG_BALTI-75-1,KHARMANG_BALTI,Kharmang Balti,75,water,ch~u,,
KHARMANG_BALTI-77-1,KHARMANG_BALTI,Kharmang Balti,77,stone,rd~wo,,
KHARMANG_BALTI-82-1,KHARMANG_BALTI,Kharmang Balti,82,fire,mE,,
KHARMANG_BALTI-85-1,KHARMANG_BALTI,Kharmang Balti,85,path,lom,,
KHARMANG_BALTI-92-1,KHARMANG_BALTI,Kharmang Balti,92,night,ch~on,,
KHARMANG_BALTI-96-1,KHARMANG_BALTI,Kharmang Balti,96,new,somo,,
KHARMANG_BALTI-100-1,KHARMANG_BALTI,Kharmang Balti,100,name,mintox,,
