ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KICHEE_ZACUALPA-1-1,KICHEE_ZACUALPA,Kichee Zacualpa,1,I,in,,
KICHEE_ZACUALPA-2-1,KICHEE_ZACUALPA,Kichee Zacualpa,2,you,at,,
KICHEE_ZACUALPA-3-1,KICHEE_ZACUALPA,Kichee Zacualpa,3,we,oX,,
KICHEE_ZACUALPA-11-1,KICHEE_ZACUALPA,Kichee Zacualpa,11,one,Xun,,
KICHEE_ZACUALPA-12-1,KICHEE_ZACUALPA,Kichee Zacualpa,12,two,"keb""",,
KICHEE_ZACUALPA-18-1,KICHEE_ZACUALPA,Kichee Zacualpa,18,person,wnaq,,
KICHEE_ZACUALPA-18-2,KICHEE_ZACUALPA,Kichee Zacualpa,18,person,unaq,,
KICHEE_ZACUALPA-19-1,KICHEE_ZACUALPA,Kichee Zacualpa,19,fish,k3r,,
KICHEE_ZACUALPA-21-1,KICHEE_ZACUALPA,Kichee Zacualpa,21,dog,"c""i7",,
KICHEE_ZACUALPA-22-1,KICHEE_ZACUALPA,Kichee Zacualpa,22,louse,"squk""",,
KICHEE_ZACUALPA-23-1,KICHEE_ZACUALPA,Kichee Zacualpa,23,tree,Ce7,,
KICHEE_ZACUALPA-25-1,KICHEE_ZACUALPA,Kichee Zacualpa,25,leaf,uSaq,,
KICHEE_ZACUALPA-28-1,KICHEE_ZACUALPA,Kichee Zacualpa,28,skin,"ac""umal",,
KICHEE_ZACUALPA-30-1,KICHEE_ZACUALPA,Kichee Zacualpa,30,blood,"kik""",,
KICHEE_ZACUALPA-31-1,KICHEE_ZACUALPA,Kichee Zacualpa,31,bone,"b""aq",,
KICHEE_ZACUALPA-39-1,KICHEE_ZACUALPA,Kichee Zacualpa,39,ear,Skin,,
KICHEE_ZACUALPA-40-1,KICHEE_ZACUALPA,Kichee Zacualpa,40,eye,aXoC,,
KICHEE_ZACUALPA-40-2,KICHEE_ZACUALPA,Kichee Zacualpa,40,eye,"rub""aXawuC",,
KICHEE_ZACUALPA-41-1,KICHEE_ZACUALPA,Kichee Zacualpa,41,nose,ca7m,,
KICHEE_ZACUALPA-41-2,KICHEE_ZACUALPA,Kichee Zacualpa,41,nose,ca7maX,,
KICHEE_ZACUALPA-43-1,KICHEE_ZACUALPA,Kichee Zacualpa,43,tooth,we7e,,
KICHEE_ZACUALPA-43-2,KICHEE_ZACUALPA,Kichee Zacualpa,43,tooth,iyaX,,
KICHEE_ZACUALPA-43-3,KICHEE_ZACUALPA,Kichee Zacualpa,43,tooth,ware,,
KICHEE_ZACUALPA-44-1,KICHEE_ZACUALPA,Kichee Zacualpa,44,tongue,awaX,,
KICHEE_ZACUALPA-47-1,KICHEE_ZACUALPA,Kichee Zacualpa,47,knee,"uXlomaC""ek",,
KICHEE_ZACUALPA-47-2,KICHEE_ZACUALPA,Kichee Zacualpa,47,knee,"aC""ek",,
KICHEE_ZACUALPA-48-1,KICHEE_ZACUALPA,Kichee Zacualpa,48,hand,"aXab""",,
KICHEE_ZACUALPA-51-1,KICHEE_ZACUALPA,Kichee Zacualpa,51,breast,"uwa uk""u7S",,
KICHEE_ZACUALPA-51-2,KICHEE_ZACUALPA,Kichee Zacualpa,51,breast,tu7,,
KICHEE_ZACUALPA-53-1,KICHEE_ZACUALPA,Kichee Zacualpa,53,liver,"aseb""",,
KICHEE_ZACUALPA-54-1,KICHEE_ZACUALPA,Kichee Zacualpa,54,drink,kaqmuX,,
KICHEE_ZACUALPA-54-2,KICHEE_ZACUALPA,Kichee Zacualpa,54,drink,kaqumuX,,
KICHEE_ZACUALPA-57-1,KICHEE_ZACUALPA,Kichee Zacualpa,57,see,kawlo,,
KICHEE_ZACUALPA-57-2,KICHEE_ZACUALPA,Kichee Zacualpa,57,see,Srilo,,
KICHEE_ZACUALPA-58-1,KICHEE_ZACUALPA,Kichee Zacualpa,58,hear,kato,,
KICHEE_ZACUALPA-61-1,KICHEE_ZACUALPA,Kichee Zacualpa,61,die,kamik,,
KICHEE_ZACUALPA-66-1,KICHEE_ZACUALPA,Kichee Zacualpa,66,come,Spitik,,
KICHEE_ZACUALPA-66-2,KICHEE_ZACUALPA,Kichee Zacualpa,66,come,Spetik,,
KICHEE_ZACUALPA-66-3,KICHEE_ZACUALPA,Kichee Zacualpa,66,come,"Sk""unik",,
KICHEE_ZACUALPA-72-1,KICHEE_ZACUALPA,Kichee Zacualpa,72,sun,XiX,,
KICHEE_ZACUALPA-74-1,KICHEE_ZACUALPA,Kichee Zacualpa,74,star,"C""imil",,
KICHEE_ZACUALPA-74-2,KICHEE_ZACUALPA,Kichee Zacualpa,74,star,"C""mil",,
KICHEE_ZACUALPA-75-1,KICHEE_ZACUALPA,Kichee Zacualpa,75,water,Xa7,,
KICHEE_ZACUALPA-77-1,KICHEE_ZACUALPA,Kichee Zacualpa,77,stone,"ab""aX",,
KICHEE_ZACUALPA-82-1,KICHEE_ZACUALPA,Kichee Zacualpa,82,fire,XaX,,
KICHEE_ZACUALPA-85-1,KICHEE_ZACUALPA,Kichee Zacualpa,85,path,"b""e",,
KICHEE_ZACUALPA-92-1,KICHEE_ZACUALPA,Kichee Zacualpa,92,night,"CaXab""",,
