ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KICHEE_ZUNIL-1-1,KICHEE_ZUNIL,Kichee Zunil,1,I,in,,
KICHEE_ZUNIL-3-1,KICHEE_ZUNIL,Kichee Zunil,3,we,uX,,
KICHEE_ZUNIL-11-1,KICHEE_ZUNIL,Kichee Zunil,11,one,Xun,,
KICHEE_ZUNIL-12-1,KICHEE_ZUNIL,Kichee Zunil,12,two,"keb""",,
KICHEE_ZUNIL-18-1,KICHEE_ZUNIL,Kichee Zunil,18,person,winaq,,
KICHEE_ZUNIL-19-1,KICHEE_ZUNIL,Kichee Zunil,19,fish,kar,,
KICHEE_ZUNIL-21-1,KICHEE_ZUNIL,Kichee Zunil,21,dog,"c""i7",,
KICHEE_ZUNIL-22-1,KICHEE_ZUNIL,Kichee Zunil,22,louse,"squk""",,
KICHEE_ZUNIL-23-1,KICHEE_ZUNIL,Kichee Zunil,23,tree,Ce7,,
KICHEE_ZUNIL-25-1,KICHEE_ZUNIL,Kichee Zunil,25,leaf,uSaq,,
KICHEE_ZUNIL-28-1,KICHEE_ZUNIL,Kichee Zunil,28,skin,"uc""umal",,
KICHEE_ZUNIL-30-1,KICHEE_ZUNIL,Kichee Zunil,30,blood,"kik""",,
KICHEE_ZUNIL-31-1,KICHEE_ZUNIL,Kichee Zunil,31,bone,"b""aq",,
KICHEE_ZUNIL-39-1,KICHEE_ZUNIL,Kichee Zunil,39,ear,Sikin,,
KICHEE_ZUNIL-40-1,KICHEE_ZUNIL,Kichee Zunil,40,eye,waCaX,,
KICHEE_ZUNIL-41-1,KICHEE_ZUNIL,Kichee Zunil,41,nose,ca7m,,
KICHEE_ZUNIL-43-1,KICHEE_ZUNIL,Kichee Zunil,43,tooth,ware,,
KICHEE_ZUNIL-44-1,KICHEE_ZUNIL,Kichee Zunil,44,tongue,aX,,
KICHEE_ZUNIL-47-1,KICHEE_ZUNIL,Kichee Zunil,47,knee,"C""ekaX",,
KICHEE_ZUNIL-48-1,KICHEE_ZUNIL,Kichee Zunil,48,hand,"Xab""",,
KICHEE_ZUNIL-54-1,KICHEE_ZUNIL,Kichee Zunil,54,drink,kaqumuX,,
KICHEE_ZUNIL-57-1,KICHEE_ZUNIL,Kichee Zunil,57,see,il,,
KICHEE_ZUNIL-58-1,KICHEE_ZUNIL,Kichee Zunil,58,hear,kato,,
KICHEE_ZUNIL-61-1,KICHEE_ZUNIL,Kichee Zunil,61,die,kam,,
KICHEE_ZUNIL-66-1,KICHEE_ZUNIL,Kichee Zunil,66,come,pet,,
KICHEE_ZUNIL-72-1,KICHEE_ZUNIL,Kichee Zunil,72,sun,XiX,,
KICHEE_ZUNIL-74-1,KICHEE_ZUNIL,Kichee Zunil,74,star,"C""mil",,
KICHEE_ZUNIL-75-1,KICHEE_ZUNIL,Kichee Zunil,75,water,Xoron,,
KICHEE_ZUNIL-77-1,KICHEE_ZUNIL,Kichee Zunil,77,stone,"ab""aX",,
KICHEE_ZUNIL-82-1,KICHEE_ZUNIL,Kichee Zunil,82,fire,XaX,,
KICHEE_ZUNIL-85-1,KICHEE_ZUNIL,Kichee Zunil,85,path,"b""e",,
KICHEE_ZUNIL-92-1,KICHEE_ZUNIL,Kichee Zunil,92,night,"CaXab""",,
KICHEE_ZUNIL-95-1,KICHEE_ZUNIL,Kichee Zunil,95,full,noX,,
KICHEE_ZUNIL-96-1,KICHEE_ZUNIL,Kichee Zunil,96,new,"k""ak""",,
KICHEE_ZUNIL-100-1,KICHEE_ZUNIL,Kichee Zunil,100,name,"b""i7",,
