ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KIHOLU-2-1,KIHOLU,Kiholu,2,you,nu,,
KIHOLU-3-1,KIHOLU,Kiholu,3,we,tu,,
KIHOLU-12-1,KIHOLU,Kiholu,12,two,badi,,
KIHOLU-19-1,KIHOLU,Kiholu,19,fish,si,,
KIHOLU-21-1,KIHOLU,Kiholu,21,dog,bw~a,,
KIHOLU-22-1,KIHOLU,Kiholu,22,louse,na,,
KIHOLU-23-1,KIHOLU,Kiholu,23,tree,ti,,
KIHOLU-25-1,KIHOLU,Kiholu,25,leaf,fuku,,
KIHOLU-28-1,KIHOLU,Kiholu,28,skin,balamb~a,,
KIHOLU-30-1,KIHOLU,Kiholu,30,blood,ke5i,,
KIHOLU-30-2,KIHOLU,Kiholu,30,blood,5iNg~a,,
KIHOLU-31-1,KIHOLU,Kiholu,31,bone,fuwa,,
KIHOLU-34-1,KIHOLU,Kiholu,34,horn,biNg~a,,
KIHOLU-39-1,KIHOLU,Kiholu,39,ear,itu,,
KIHOLU-40-1,KIHOLU,Kiholu,40,eye,isu,,
KIHOLU-41-1,KIHOLU,Kiholu,41,nose,zulu,,
KIHOLU-43-1,KIHOLU,Kiholu,43,tooth,izu,,
KIHOLU-44-1,KIHOLU,Kiholu,44,tongue,imi,,
KIHOLU-47-1,KIHOLU,Kiholu,47,knee,di,,
KIHOLU-48-1,KIHOLU,Kiholu,48,hand,bond~i,,
KIHOLU-51-1,KIHOLU,Kiholu,51,breast,th~ulu,,
KIHOLU-53-1,KIHOLU,Kiholu,53,liver,bi,,
KIHOLU-54-1,KIHOLU,Kiholu,54,drink,nu,,
KIHOLU-57-1,KIHOLU,Kiholu,57,see,mon,,
KIHOLU-58-1,KIHOLU,Kiholu,58,hear,iv,,
KIHOLU-61-1,KIHOLU,Kiholu,61,die,fu,,
KIHOLU-66-1,KIHOLU,Kiholu,66,come,iz,,
KIHOLU-72-1,KIHOLU,Kiholu,72,sun,kumb~i,,
KIHOLU-74-1,KIHOLU,Kiholu,74,star,th~etekedy~a,,
KIHOLU-75-1,KIHOLU,Kiholu,75,water,eya,,
KIHOLU-77-1,KIHOLU,Kiholu,77,stone,iwu,,
KIHOLU-77-2,KIHOLU,Kiholu,77,stone,bang~a,,
KIHOLU-82-1,KIHOLU,Kiholu,82,fire,ya,,
KIHOLU-85-1,KIHOLU,Kiholu,85,path,kidi,,
KIHOLU-85-2,KIHOLU,Kiholu,85,path,zila,,
KIHOLU-86-1,KIHOLU,Kiholu,86,mountain,lund~u,,
KIHOLU-92-1,KIHOLU,Kiholu,92,night,fuku,,
KIHOLU-96-1,KIHOLU,Kiholu,96,new,wiyi,,
KIHOLU-100-1,KIHOLU,Kiholu,100,name,zina,,
