ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KIMAGHAMA-1-1,KIMAGHAMA,Kimaghama,1,I,no,,
KIMAGHAMA-2-1,KIMAGHAMA,Kimaghama,2,you,iNgi,,
KIMAGHAMA-2-2,KIMAGHAMA,Kimaghama,2,you,uNgu,,
KIMAGHAMA-3-1,KIMAGHAMA,Kimaghama,3,we,ni,,
KIMAGHAMA-11-1,KIMAGHAMA,Kimaghama,11,one,nevara,,
KIMAGHAMA-12-1,KIMAGHAMA,Kimaghama,12,two,kave,,
KIMAGHAMA-18-1,KIMAGHAMA,Kimaghama,18,person,Ci,,
KIMAGHAMA-19-1,KIMAGHAMA,Kimaghama,19,fish,de,,
KIMAGHAMA-21-1,KIMAGHAMA,Kimaghama,21,dog,nee,,
KIMAGHAMA-22-1,KIMAGHAMA,Kimaghama,22,louse,nema,,
KIMAGHAMA-23-1,KIMAGHAMA,Kimaghama,23,tree,do,,
KIMAGHAMA-25-1,KIMAGHAMA,Kimaghama,25,leaf,Cuku,,
KIMAGHAMA-28-1,KIMAGHAMA,Kimaghama,28,skin,krara,,
KIMAGHAMA-30-1,KIMAGHAMA,Kimaghama,30,blood,dere,,
KIMAGHAMA-31-1,KIMAGHAMA,Kimaghama,31,bone,duno,,
KIMAGHAMA-31-2,KIMAGHAMA,Kimaghama,31,bone,duro,,
KIMAGHAMA-39-1,KIMAGHAMA,Kimaghama,39,ear,Cakra,,
KIMAGHAMA-40-1,KIMAGHAMA,Kimaghama,40,eye,avua,,
KIMAGHAMA-40-2,KIMAGHAMA,Kimaghama,40,eye,avuvo,,
KIMAGHAMA-43-1,KIMAGHAMA,Kimaghama,43,tooth,trava*e,,
KIMAGHAMA-44-1,KIMAGHAMA,Kimaghama,44,tongue,maku,,
KIMAGHAMA-47-1,KIMAGHAMA,Kimaghama,47,knee,iduve,,
KIMAGHAMA-48-1,KIMAGHAMA,Kimaghama,48,hand,kiCa,,
KIMAGHAMA-51-1,KIMAGHAMA,Kimaghama,51,breast,ma,,
KIMAGHAMA-54-1,KIMAGHAMA,Kimaghama,54,drink,muya,,
KIMAGHAMA-57-1,KIMAGHAMA,Kimaghama,57,see,avu,,
KIMAGHAMA-58-1,KIMAGHAMA,Kimaghama,58,hear,Cara,,
KIMAGHAMA-61-1,KIMAGHAMA,Kimaghama,61,die,burao,,
KIMAGHAMA-66-1,KIMAGHAMA,Kimaghama,66,come,bu,,
KIMAGHAMA-72-1,KIMAGHAMA,Kimaghama,72,sun,era,,
KIMAGHAMA-74-1,KIMAGHAMA,Kimaghama,74,star,berae,,
KIMAGHAMA-75-1,KIMAGHAMA,Kimaghama,75,water,Cu,,
KIMAGHAMA-77-1,KIMAGHAMA,Kimaghama,77,stone,mata,,
KIMAGHAMA-82-1,KIMAGHAMA,Kimaghama,82,fire,i,,
KIMAGHAMA-85-1,KIMAGHAMA,Kimaghama,85,path,kura da,,
KIMAGHAMA-86-1,KIMAGHAMA,Kimaghama,86,mountain,bamu,,
KIMAGHAMA-92-1,KIMAGHAMA,Kimaghama,92,night,ko,,
KIMAGHAMA-95-1,KIMAGHAMA,Kimaghama,95,full,Camba,,
KIMAGHAMA-96-1,KIMAGHAMA,Kimaghama,96,new,CiCiraxa,,
KIMAGHAMA-100-1,KIMAGHAMA,Kimaghama,100,name,ne,,
