ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KLON-1-1,KLON,Klon,1,I,non,,
KLON-2-1,KLON,Klon,2,you,an,,
KLON-3-1,KLON,Klon,3,we,pian,,
KLON-11-1,KLON,Klon,11,one,nuk,,
KLON-12-1,KLON,Klon,12,two,3ruk,,
KLON-18-1,KLON,Klon,18,person,oninok,,
KLON-19-1,KLON,Klon,19,fish,3bi,,
KLON-21-1,KLON,Klon,21,dog,kur,,
KLON-22-1,KLON,Klon,22,louse,3koin,,
KLON-23-1,KLON,Klon,23,tree,3t37,,
KLON-25-1,KLON,Klon,25,leaf,ata,,
KLON-25-2,KLON,Klon,25,leaf,wai,,
KLON-28-1,KLON,Klon,28,skin,kui,,
KLON-30-1,KLON,Klon,30,blood,wa7,,
KLON-31-1,KLON,Klon,31,bone,t3rop,,
KLON-34-1,KLON,Klon,34,horn,g3muk,,
KLON-39-1,KLON,Klon,39,ear,g3war,,
KLON-40-1,KLON,Klon,40,eye,gan,,
KLON-41-1,KLON,Klon,41,nose,g3moin,,
KLON-43-1,KLON,Klon,43,tooth,g3wah,,
KLON-44-1,KLON,Klon,44,tongue,g3lab,,
KLON-47-1,KLON,Klon,47,knee,gaiuk,,
KLON-48-1,KLON,Klon,48,hand,g3ton,,
KLON-51-1,KLON,Klon,51,breast,dut,,
KLON-53-1,KLON,Klon,53,liver,n3bur,,
KLON-54-1,KLON,Klon,54,drink,no7,,
KLON-57-1,KLON,Klon,57,see,g3ur,,
KLON-58-1,KLON,Klon,58,hear,m3gih,,
KLON-61-1,KLON,Klon,61,die,3bar,,
KLON-66-1,KLON,Klon,66,come,od,,
KLON-72-1,KLON,Klon,72,sun,m3di,,
KLON-74-1,KLON,Klon,74,star,ib,,
KLON-77-1,KLON,Klon,77,stone,wor,,
KLON-82-1,KLON,Klon,82,fire,3do,,
KLON-85-1,KLON,Klon,85,path,aga7,,
KLON-86-1,KLON,Klon,86,mountain,dol,,
KLON-92-1,KLON,Klon,92,night,3kon,,
KLON-95-1,KLON,Klon,95,full,umi,,
KLON-96-1,KLON,Klon,96,new,h3bo,,
KLON-100-1,KLON,Klon,100,name,g3na7,,
