ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KOLO_BAWAH_BAJAU-1-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,1,I,aku,,
KOLO_BAWAH_BAJAU-3-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,3,we,kita,,
KOLO_BAWAH_BAJAU-11-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,11,one,is37,,
KOLO_BAWAH_BAJAU-12-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,12,two,dua,,
KOLO_BAWAH_BAJAU-18-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,18,person,manusia,,
KOLO_BAWAH_BAJAU-19-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,19,fish,dayah,,
KOLO_BAWAH_BAJAU-21-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,21,dog,asu,,
KOLO_BAWAH_BAJAU-22-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,22,louse,kutu,,
KOLO_BAWAH_BAJAU-25-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,25,leaf,daoN,,
KOLO_BAWAH_BAJAU-28-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,28,skin,kuli7,,
KOLO_BAWAH_BAJAU-30-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,30,blood,laha7,,
KOLO_BAWAH_BAJAU-31-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,31,bone,bakas,,
KOLO_BAWAH_BAJAU-40-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,40,eye,mata,,
KOLO_BAWAH_BAJAU-41-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,41,nose,uroh,,
KOLO_BAWAH_BAJAU-43-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,43,tooth,gigi,,
KOLO_BAWAH_BAJAU-44-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,44,tongue,della7,,
KOLO_BAWAH_BAJAU-48-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,48,hand,taNan,,
KOLO_BAWAH_BAJAU-51-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,51,breast,susu,,
KOLO_BAWAH_BAJAU-51-2,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,51,breast,bittah,,
KOLO_BAWAH_BAJAU-53-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,53,liver,atay,,
KOLO_BAWAH_BAJAU-54-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,54,drink,NinoN,,
KOLO_BAWAH_BAJAU-57-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,57,see,Nit3,,
KOLO_BAWAH_BAJAU-58-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,58,hear,makali,,
KOLO_BAWAH_BAJAU-61-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,61,die,matay,,
KOLO_BAWAH_BAJAU-66-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,66,come,tikk3,,
KOLO_BAWAH_BAJAU-74-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,74,star,karagintah,,
KOLO_BAWAH_BAJAU-75-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,75,water,boe7,,
KOLO_BAWAH_BAJAU-77-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,77,stone,butu,,
KOLO_BAWAH_BAJAU-82-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,82,fire,api,,
KOLO_BAWAH_BAJAU-85-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,85,path,lalaN,,
KOLO_BAWAH_BAJAU-92-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,92,night,saNaN,,
KOLO_BAWAH_BAJAU-96-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,96,new,bau,,
KOLO_BAWAH_BAJAU-100-1,KOLO_BAWAH_BAJAU,Kolo Bawah Bajau,100,name,araN,,
