ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KOMBAI-1-1,KOMBAI,Kombai,1,I,nu,,
KOMBAI-2-1,KOMBAI,Kombai,2,you,Ng~u,,
KOMBAI-3-1,KOMBAI,Kombai,3,we,aNg~u,,
KOMBAI-11-1,KOMBAI,Kombai,11,one,mopenand~i,,
KOMBAI-12-1,KOMBAI,Kombai,12,two,molumo,,
KOMBAI-18-1,KOMBAI,Kombai,18,person,xo,,
KOMBAI-19-1,KOMBAI,Kombai,19,fish,nd~uwoy,,
KOMBAI-21-1,KOMBAI,Kombai,21,dog,maxi,,
KOMBAI-23-1,KOMBAI,Kombai,23,tree,nd~ond~o,,
KOMBAI-28-1,KOMBAI,Kombai,28,skin,xa,,
KOMBAI-30-1,KOMBAI,Kombai,30,blood,rere,,
KOMBAI-31-1,KOMBAI,Kombai,31,bone,piya,,
KOMBAI-40-1,KOMBAI,Kombai,40,eye,xoro,,
KOMBAI-47-1,KOMBAI,Kombai,47,knee,mb~ou,,
KOMBAI-48-1,KOMBAI,Kombai,48,hand,iramb~i,,
KOMBAI-54-1,KOMBAI,Kombai,54,drink,mi,,
KOMBAI-57-1,KOMBAI,Kombai,57,see,pera,,
KOMBAI-66-1,KOMBAI,Kombai,66,come,me,,
KOMBAI-72-1,KOMBAI,Kombai,72,sun,rei,,
KOMBAI-75-1,KOMBAI,Kombai,75,water,ox,,
KOMBAI-77-1,KOMBAI,Kombai,77,stone,riNg~a,,
KOMBAI-92-1,KOMBAI,Kombai,92,night,pi,,
