ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KOMI_ZYRIAN-1-1,KOMI_ZYRIAN,Komi Zyrian,1,I,my~e,,
KOMI_ZYRIAN-2-1,KOMI_ZYRIAN,Komi Zyrian,2,you,te,,
KOMI_ZYRIAN-3-1,KOMI_ZYRIAN,Komi Zyrian,3,we,mi,,
KOMI_ZYRIAN-11-1,KOMI_ZYRIAN,Komi Zyrian,11,one,3ti,,
KOMI_ZYRIAN-12-1,KOMI_ZYRIAN,Komi Zyrian,12,two,k3k,,
KOMI_ZYRIAN-18-1,KOMI_ZYRIAN,Komi Zyrian,18,person,mort,,
KOMI_ZYRIAN-19-1,KOMI_ZYRIAN,Komi Zyrian,19,fish,cy~eri,,
KOMI_ZYRIAN-21-1,KOMI_ZYRIAN,Komi Zyrian,21,dog,pon,,
KOMI_ZYRIAN-23-1,KOMI_ZYRIAN,Komi Zyrian,23,tree,pu,,
KOMI_ZYRIAN-25-1,KOMI_ZYRIAN,Komi Zyrian,25,leaf,kor,,
KOMI_ZYRIAN-30-1,KOMI_ZYRIAN,Komi Zyrian,30,blood,vir,,
KOMI_ZYRIAN-31-1,KOMI_ZYRIAN,Komi Zyrian,31,bone,l3,,
KOMI_ZYRIAN-34-1,KOMI_ZYRIAN,Komi Zyrian,34,horn,sy~ur,,
KOMI_ZYRIAN-39-1,KOMI_ZYRIAN,Komi Zyrian,39,ear,peL,,
KOMI_ZYRIAN-39-2,KOMI_ZYRIAN,Komi Zyrian,39,ear,pely~,,
KOMI_ZYRIAN-40-1,KOMI_ZYRIAN,Komi Zyrian,40,eye,sin,,
KOMI_ZYRIAN-41-1,KOMI_ZYRIAN,Komi Zyrian,41,nose,n3r,,
KOMI_ZYRIAN-43-1,KOMI_ZYRIAN,Komi Zyrian,43,tooth,pi5,,
KOMI_ZYRIAN-43-2,KOMI_ZYRIAN,Komi Zyrian,43,tooth,piny~,,
KOMI_ZYRIAN-44-1,KOMI_ZYRIAN,Komi Zyrian,44,tongue,k3v,,
KOMI_ZYRIAN-47-1,KOMI_ZYRIAN,Komi Zyrian,47,knee,p3cy~3s,,
KOMI_ZYRIAN-48-1,KOMI_ZYRIAN,Komi Zyrian,48,hand,ki,,
KOMI_ZYRIAN-51-1,KOMI_ZYRIAN,Komi Zyrian,51,breast,mor3s,,
KOMI_ZYRIAN-53-1,KOMI_ZYRIAN,Komi Zyrian,53,liver,mus,,
KOMI_ZYRIAN-54-1,KOMI_ZYRIAN,Komi Zyrian,54,drink,yun3,,
KOMI_ZYRIAN-57-1,KOMI_ZYRIAN,Komi Zyrian,57,see,adcy~3n3,,
KOMI_ZYRIAN-57-2,KOMI_ZYRIAN,Komi Zyrian,57,see,acy~3n3,,
KOMI_ZYRIAN-58-1,KOMI_ZYRIAN,Komi Zyrian,58,hear,k3vn3,,
KOMI_ZYRIAN-61-1,KOMI_ZYRIAN,Komi Zyrian,61,die,kuvn3,,
KOMI_ZYRIAN-66-1,KOMI_ZYRIAN,Komi Zyrian,66,come,lokn3,,
KOMI_ZYRIAN-74-1,KOMI_ZYRIAN,Komi Zyrian,74,star,kocy~uv,,
KOMI_ZYRIAN-75-1,KOMI_ZYRIAN,Komi Zyrian,75,water,va,,
KOMI_ZYRIAN-77-1,KOMI_ZYRIAN,Komi Zyrian,77,stone,iz,,
KOMI_ZYRIAN-82-1,KOMI_ZYRIAN,Komi Zyrian,82,fire,bi,,
KOMI_ZYRIAN-85-1,KOMI_ZYRIAN,Komi Zyrian,85,path,tuy,,
KOMI_ZYRIAN-86-1,KOMI_ZYRIAN,Komi Zyrian,86,mountain,g3ra,,
KOMI_ZYRIAN-92-1,KOMI_ZYRIAN,Komi Zyrian,92,night,voy,,
KOMI_ZYRIAN-96-1,KOMI_ZYRIAN,Komi Zyrian,96,new,v3L,,
KOMI_ZYRIAN-96-2,KOMI_ZYRIAN,Komi Zyrian,96,new,v3ly~,,
KOMI_ZYRIAN-100-1,KOMI_ZYRIAN,Komi Zyrian,100,name,nim,,
