ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KONO-1-1,KONO,Kono,1,I,n,,
KONO-2-1,KONO,Kono,2,you,i,,
KONO-3-1,KONO,Kono,3,we,mo,,
KONO-11-1,KONO,Kono,11,one,dond~o,,
KONO-12-1,KONO,Kono,12,two,fea,,
KONO-18-1,KONO,Kono,18,person,mo,,
KONO-19-1,KONO,Kono,19,fish,5E,,
KONO-21-1,KONO,Kono,21,dog,wu,,
KONO-22-1,KONO,Kono,22,louse,5ang~a,,
KONO-23-1,KONO,Kono,23,tree,ko,,
KONO-25-1,KONO,Kono,25,leaf,yanb~a,,
KONO-28-1,KONO,Kono,28,skin,gb~o,,
KONO-30-1,KONO,Kono,30,blood,wi,,
KONO-31-1,KONO,Kono,31,bone,ku,,
KONO-34-1,KONO,Kono,34,horn,bena,,
KONO-39-1,KONO,Kono,39,ear,to,,
KONO-40-1,KONO,Kono,40,eye,ya,,
KONO-41-1,KONO,Kono,41,nose,su,,
KONO-43-1,KONO,Kono,43,tooth,5i,,
KONO-44-1,KONO,Kono,44,tongue,nEnEn,,
KONO-47-1,KONO,Kono,47,knee,kunb~ai,,
KONO-48-1,KONO,Kono,48,hand,bo,,
KONO-51-1,KONO,Kono,51,breast,susu,,
KONO-53-1,KONO,Kono,53,liver,fa,,
KONO-54-1,KONO,Kono,54,drink,mi,,
KONO-57-1,KONO,Kono,57,see,ye,,
KONO-58-1,KONO,Kono,58,hear,mi,,
KONO-61-1,KONO,Kono,61,die,fa,,
KONO-66-1,KONO,Kono,66,come,na,,
KONO-72-1,KONO,Kono,72,sun,te,,
KONO-74-1,KONO,Kono,74,star,tonb~oaka,,
KONO-75-1,KONO,Kono,75,water,yi,,
KONO-77-1,KONO,Kono,77,stone,se,,
KONO-82-1,KONO,Kono,82,fire,ta,,
KONO-85-1,KONO,Kono,85,path,Tia,,
KONO-86-1,KONO,Kono,86,mountain,kong~o,,
KONO-92-1,KONO,Kono,92,night,su,,
KONO-95-1,KONO,Kono,95,full,fa,,
KONO-96-1,KONO,Kono,96,new,nama,,
KONO-100-1,KONO,Kono,100,name,to,,
