ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KPASHAM-1-1,KPASHAM,Kpasham,1,I,am,,
KPASHAM-3-1,KPASHAM,Kpasham,3,we,aro,,
KPASHAM-11-1,KPASHAM,Kpasham,11,one,bini,,
KPASHAM-12-1,KPASHAM,Kpasham,12,two,iyE,,
KPASHAM-18-1,KPASHAM,Kpasham,18,person,w3n,,
KPASHAM-19-1,KPASHAM,Kpasham,19,fish,di,,
KPASHAM-21-1,KPASHAM,Kpasham,21,dog,b3za,,
KPASHAM-23-1,KPASHAM,Kpasham,23,tree,si,,
KPASHAM-25-1,KPASHAM,Kpasham,25,leaf,wale,,
KPASHAM-28-1,KPASHAM,Kpasham,28,skin,kw~apm~ene,,
KPASHAM-30-1,KPASHAM,Kpasham,30,blood,midw~ine,,
KPASHAM-31-1,KPASHAM,Kpasham,31,bone,ku*bi,,
KPASHAM-34-1,KPASHAM,Kpasham,34,horn,gb~a,,
KPASHAM-39-1,KPASHAM,Kpasham,39,ear,waswe,,
KPASHAM-40-1,KPASHAM,Kpasham,40,eye,nuE*,,
KPASHAM-41-1,KPASHAM,Kpasham,41,nose,5Esw~E*,,
KPASHAM-43-1,KPASHAM,Kpasham,43,tooth,sibi,,
KPASHAM-44-1,KPASHAM,Kpasham,44,tongue,Nw~ole,,
KPASHAM-47-1,KPASHAM,Kpasham,47,knee,d3n3Nem,,
KPASHAM-51-1,KPASHAM,Kpasham,51,breast,Nw~E*,,
KPASHAM-53-1,KPASHAM,Kpasham,53,liver,nine,,
KPASHAM-54-1,KPASHAM,Kpasham,54,drink,Nu,,
KPASHAM-57-1,KPASHAM,Kpasham,57,see,kiye,,
KPASHAM-58-1,KPASHAM,Kpasham,58,hear,la,,
KPASHAM-61-1,KPASHAM,Kpasham,61,die,biye,,
KPASHAM-66-1,KPASHAM,Kpasham,66,come,ena*,,
KPASHAM-72-1,KPASHAM,Kpasham,72,sun,lw~i,,
KPASHAM-74-1,KPASHAM,Kpasham,74,star,zasuNe,,
KPASHAM-75-1,KPASHAM,Kpasham,75,water,mi,,
KPASHAM-77-1,KPASHAM,Kpasham,77,stone,tale,,
KPASHAM-82-1,KPASHAM,Kpasham,82,fire,la,,
KPASHAM-85-1,KPASHAM,Kpasham,85,path,kp~a,,
KPASHAM-86-1,KPASHAM,Kpasham,86,mountain,go*,,
KPASHAM-92-1,KPASHAM,Kpasham,92,night,zinaN,,
KPASHAM-96-1,KPASHAM,Kpasham,96,new,pefuwo,,
KPASHAM-100-1,KPASHAM,Kpasham,100,name,n3N,,
