ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KUNAMA-1-1,KUNAMA,Kunama,1,I,aba,,
KUNAMA-2-1,KUNAMA,Kunama,2,you,Ena,,
KUNAMA-3-1,KUNAMA,Kunama,3,we,ame,,
KUNAMA-11-1,KUNAMA,Kunama,11,one,Ela,,
KUNAMA-12-1,KUNAMA,Kunama,12,two,bare,,
KUNAMA-18-1,KUNAMA,Kunama,18,person,ka,,
KUNAMA-19-1,KUNAMA,Kunama,19,fish,isa,,
KUNAMA-21-1,KUNAMA,Kunama,21,dog,ta,,
KUNAMA-22-1,KUNAMA,Kunama,22,louse,tila,,
KUNAMA-23-1,KUNAMA,Kunama,23,tree,ela,,
KUNAMA-25-1,KUNAMA,Kunama,25,leaf,durfa,,
KUNAMA-28-1,KUNAMA,Kunama,28,skin,agala,,
KUNAMA-30-1,KUNAMA,Kunama,30,blood,kokoba,,
KUNAMA-31-1,KUNAMA,Kunama,31,bone,sanga,,
KUNAMA-34-1,KUNAMA,Kunama,34,horn,gila,,
KUNAMA-39-1,KUNAMA,Kunama,39,ear,ukuna,,
KUNAMA-40-1,KUNAMA,Kunama,40,eye,wa,,
KUNAMA-41-1,KUNAMA,Kunama,41,nose,bobuna,,
KUNAMA-43-1,KUNAMA,Kunama,43,tooth,ma,,
KUNAMA-44-1,KUNAMA,Kunama,44,tongue,Nela,,
KUNAMA-48-1,KUNAMA,Kunama,48,hand,kona,,
KUNAMA-51-1,KUNAMA,Kunama,51,breast,kuta,,
KUNAMA-53-1,KUNAMA,Kunama,53,liver,desa,,
KUNAMA-54-1,KUNAMA,Kunama,54,drink,no,,
KUNAMA-57-1,KUNAMA,Kunama,57,see,ti,,
KUNAMA-58-1,KUNAMA,Kunama,58,hear,ti,,
KUNAMA-61-1,KUNAMA,Kunama,61,die,Cu,,
KUNAMA-66-1,KUNAMA,Kunama,66,come,aowa,,
KUNAMA-72-1,KUNAMA,Kunama,72,sun,kura,,
KUNAMA-74-1,KUNAMA,Kunama,74,star,Sund~a,,
KUNAMA-75-1,KUNAMA,Kunama,75,water,biya,,
KUNAMA-77-1,KUNAMA,Kunama,77,stone,ugw~a,,
KUNAMA-82-1,KUNAMA,Kunama,82,fire,toma,,
KUNAMA-85-1,KUNAMA,Kunama,85,path,tabila,,
KUNAMA-86-1,KUNAMA,Kunama,86,mountain,aya,,
KUNAMA-92-1,KUNAMA,Kunama,92,night,awada,,
KUNAMA-96-1,KUNAMA,Kunama,96,new,tama,,
KUNAMA-100-1,KUNAMA,Kunama,100,name,kida,,
